System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:02:59:447, 47001538879063,    0.031,   45.000, 3900,  19.491,   0.595,   0.165,  15.879,   0.485,   0.135, 57,  0,   0.000,   0.000,   0.000,   0.532,   0.016,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  377,  45.492
17:02:59:479, 47001627911941,    0.062,   23.000, 4000,  17.405,   1.148,   0.319,  14.090,   0.932,   0.259, 59,  0,   0.000,   0.000,   0.000,   0.092,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  220,  34.121
17:02:59:541, 47001803521209,    0.125,   16.000, 3500,  18.073,   2.280,   0.633,  15.119,   1.879,   0.522, 63,  0,   0.000,   0.000,   0.000,   0.055,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  125,  55.449
17:02:59:994, 47003073667982,    0.578,   23.000, 3600,  15.549,   9.325,   2.590,  12.404,   7.499,   2.083, 60,  0,   0.000,   0.000,   0.000,   0.065,   0.052,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,    9,  82.816
17:03:00:151, 47003512702055,    0.735,   48.000, 3100,  14.006,  11.519,   3.200,  10.605,   9.160,   2.545, 64,  0,   0.000,   0.000,   0.000,   0.033,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,    6,  88.615
17:03:00:214, 47003689504628,    0.798,   31.000, 3400,  22.937,  12.965,   3.602,  19.695,  10.403,   2.890, 65,  0,   0.000,   0.000,   0.000,   0.029,   0.059,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   15,  86.010
17:03:00:245, 47003777325455,    0.829,   19.000, 3800,  13.591,  13.391,   3.720,  10.813,  10.741,   2.984, 65,  0,   0.000,   0.000,   0.000,   0.152,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  502,  30.430
17:03:00:308, 47003953179394,    0.892,   21.000, 4000,  11.914,  14.139,   3.927,   8.723,  11.289,   3.136, 63,  0,   0.000,   0.000,   0.000,   0.060,   0.068,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   34,  63.893
17:03:00:418, 47004261929619,    1.002,   29.000, 4000,  18.308,  16.155,   4.488,  14.981,  12.939,   3.594, 63,  0,   0.000,   0.000,   0.000,   0.141,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  78.737
17:03:00:479, 47004432838340,    1.063,   24.000, 3900,  26.228,  17.754,   4.932,  22.342,  14.301,   3.972, 65,  0,   0.000,   0.000,   0.000,   0.286,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,  150,  56.498
17:03:00:677, 47004985878736,    1.260,   19.000, 4000,  16.053,  20.921,   5.811,  12.654,  16.797,   4.666, 58,  0,   0.000,   0.000,   0.000,   0.035,   0.107,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,    6,  89.394
17:03:00:755, 47005206904841,    1.339,   43.000, 4000,  10.850,  21.777,   6.049,   6.608,  17.318,   4.811, 64,  0,   0.000,   0.000,   0.000,   0.050,   0.111,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  86.075
17:03:00:803, 47005339742837,    1.386,   14.000, 3800,  15.578,  22.515,   6.254,  12.599,  17.915,   4.976, 63,  0,   0.000,   0.000,   0.000,   0.126,   0.117,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,  500,  28.898
