System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:49:31:519, 54828362528607,    0.039,   51.000, 3800,  26.795,   1.043,   0.290,  22.841,   0.889,   0.247, 57,  0,   0.000,   0.000,   0.000,   0.273,   0.011,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  315,  51.355
17:49:31:535, 54828406377961,    0.055,   18.000, 3300,  23.384,   1.409,   0.391,  19.197,   1.189,   0.330, 57,  0,   0.000,   0.000,   0.000,   0.320,   0.016,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  252,  64.352
17:49:31:551, 54828450201489,    0.070,   18.000, 4000,   8.253,   1.538,   0.427,   5.146,   1.270,   0.353, 58,  0,   0.000,   0.000,   0.000,   0.133,   0.018,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  583,  25.159
17:49:31:566, 54828494273151,    0.086,   17.000, 4000,  24.070,   1.916,   0.532,  20.669,   1.595,   0.443, 59,  0,   0.000,   0.000,   0.000,   0.528,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  218,  52.108
17:49:31:582, 54828538140798,    0.102,   18.000, 4000,  11.307,   2.093,   0.581,   8.034,   1.721,   0.478, 57,  0,   0.000,   0.000,   0.000,   0.101,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  116,  56.907
17:49:31:598, 54828581863431,    0.117,   14.000, 4100,   9.032,   2.234,   0.621,   6.081,   1.815,   0.504, 58,  0,   0.000,   0.000,   0.000,   0.086,   0.029,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  24.146
17:49:31:613, 54828625659566,    0.133,   15.000, 4000,  24.069,   2.610,   0.725,  20.713,   2.139,   0.594, 59,  0,   0.000,   0.000,   0.000,   0.094,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  47.290
17:49:31:629, 54828669690343,    0.149,   16.000, 4000,  11.451,   2.790,   0.775,  10.103,   2.298,   0.638, 59,  0,   0.000,   0.000,   0.000,   0.117,   0.032,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  51.910
17:49:31:644, 54828713414254,    0.164,   16.000, 4000,  16.795,   3.052,   0.848,  13.547,   2.509,   0.697, 59,  0,   0.000,   0.000,   0.000,   0.141,   0.034,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  23.846
17:49:31:660, 54828757184591,    0.180,   15.000, 4000,  16.656,   3.312,   0.920,  12.813,   2.709,   0.753, 59,  0,   0.000,   0.000,   0.000,   0.141,   0.037,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  39.619
17:49:31:676, 54828802083961,    0.196,   16.000, 4000,   9.549,   3.465,   0.963,   6.044,   2.806,   0.779, 58,  0,   0.000,   0.000,   0.000,   0.137,   0.039,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  41.253
17:49:31:692, 54828846054158,    0.211,   15.000, 4000,  11.277,   3.642,   1.012,   7.751,   2.927,   0.813, 58,  0,   0.000,   0.000,   0.000,   0.125,   0.041,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  183,  40.132
17:49:31:707, 54828889731411,    0.227,   18.000, 4000,  10.001,   3.798,   1.055,   6.330,   3.026,   0.841, 57,  0,   0.000,   0.000,   0.000,   0.118,   0.043,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  40.089
17:49:31:723, 54828933489308,    0.243,   14.000, 3900,  14.440,   4.023,   1.118,  10.573,   3.191,   0.886, 59,  0,   0.000,   0.000,   0.000,   0.141,   0.045,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  39.125
17:49:31:739, 54828977430170,    0.258,   14.000, 4000,  16.054,   4.275,   1.187,  12.460,   3.386,   0.941, 59,  0,   0.000,   0.000,   0.000,   0.358,   0.050,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  40.368
17:49:31:770, 54829066394576,    0.290,   14.000, 3700,  11.043,   4.625,   1.285,   7.343,   3.620,   1.005, 63,  0,   0.000,   0.000,   0.000,   0.192,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  41.738
17:49:31:786, 54829110162903,    0.306,   37.000, 4000,  15.945,   4.874,   1.354,  11.829,   3.804,   1.057, 62,  0,   0.000,   0.000,   0.000,   0.164,   0.059,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   73,  54.011
17:49:31:848, 54829285179756,    0.368,   53.000, 4100,  19.397,   6.085,   1.690,  15.950,   4.800,   1.333, 65,  0,   0.000,   0.000,   0.000,   0.037,   0.061,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,   18,  86.713
17:49:31:943, 54829550362731,    0.463,   14.000, 4000,  20.021,   7.979,   2.216,  16.507,   6.362,   1.767, 64,  0,   0.000,   0.000,   0.000,   0.079,   0.069,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   33,  84.085
17:49:32:384, 54830787598034,    0.904,   37.000, 1700,  12.894,  13.670,   3.797,   9.581,  10.590,   2.942, 56,  0,   0.000,   0.000,   0.000,   0.002,   0.070,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,    5,  75.445
17:49:32:431, 54830918959622,    0.951,   45.000, 3400,  14.498,  14.349,   3.986,  10.771,  11.095,   3.082, 58,  0,   0.000,   0.000,   0.000,   0.026,   0.071,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  85.863
17:49:32:462, 54831006576324,    0.982,   34.000, 3900,  23.665,  15.089,   4.191,  20.145,  11.724,   3.257, 63,  0,   0.000,   0.000,   0.000,   0.062,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,   27,  86.128
17:49:32:544, 54831235025134,    1.064,   77.000, 4000,  21.612,  16.850,   4.681,  17.356,  13.139,   3.650, 61,  0,   0.000,   0.000,   0.000,   0.184,   0.088,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  78.673
17:49:32:576, 54831323731098,    1.095,   18.000, 4100,  20.351,  17.494,   4.860,  16.499,  13.661,   3.795, 63,  0,   0.000,   0.000,   0.000,   0.274,   0.097,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,  227,  49.222
