System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:40:21:865, 76952408886018,    0.028,    7.000, 1400,   5.834,   0.164,   0.046,   2.936,   0.083,   0.023, 42,  0,   0.000,   0.000,   0.000,   0.489,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,   60,  89.573
13:40:21:897, 76952496656901,    0.059,    3.000, 1300,   4.125,   0.294,   0.082,   0.815,   0.108,   0.030, 41,  0,   0.000,   0.000,   0.000,   0.335,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  524,  22.680
13:40:21:928, 76952584474589,    0.091,    3.000, 1200,   3.937,   0.417,   0.116,   0.779,   0.133,   0.037, 42,  0,   0.000,   0.000,   0.000,   0.343,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   48,  56.476
13:40:21:959, 76952672480627,    0.122,    3.000, 1200,   3.474,   0.526,   0.146,   0.607,   0.152,   0.042, 41,  0,   0.000,   0.000,   0.000,   0.334,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  530,  22.165
13:40:21:991, 76952760863664,    0.154,    4.000, 1200,   3.326,   0.631,   0.175,   0.600,   0.171,   0.047, 42,  0,   0.000,   0.000,   0.000,   0.348,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   86,  24.748
13:40:22:022, 76952848980587,    0.185,   10.000, 1200,   4.153,   0.761,   0.212,   1.037,   0.203,   0.056, 41,  0,   0.000,   0.000,   0.000,   0.315,   0.066,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   86,  23.220
13:40:22:054, 76952937365420,    0.217,   36.000, 1400,   5.095,   0.922,   0.256,   2.664,   0.287,   0.080, 41,  0,   0.000,   0.000,   0.000,   0.120,   0.070,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,  150,  20.522
13:40:22:117, 76953114022111,    0.280,   39.000, 1500,   5.658,   1.279,   0.355,   3.150,   0.486,   0.135, 41,  0,   0.000,   0.000,   0.000,   0.041,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  28.585
13:40:22:148, 76953201235020,    0.311,   16.000, 2100,   6.011,   1.466,   0.407,   4.018,   0.611,   0.170, 42,  0,   0.000,   0.000,   0.000,   0.086,   0.075,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   32,  50.393
13:40:22:164, 76953246762125,    0.327,   13.000, 2000,   5.859,   1.561,   0.434,   2.420,   0.650,   0.181, 41,  0,   0.000,   0.000,   0.000,   0.210,   0.079,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,   63,  83.041
13:40:22:214, 76953387813749,    0.377,    9.000, 1300,   5.659,   1.846,   0.513,   1.803,   0.741,   0.206, 42,  0,   0.000,   0.000,   0.000,   0.289,   0.093,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,  185,  66.971
13:40:22:246, 76953475273705,    0.409,    3.000, 1300,   3.506,   1.955,   0.543,   0.681,   0.762,   0.212, 41,  0,   0.000,   0.000,   0.000,   0.325,   0.104,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  23.641
13:40:22:278, 76953564858036,    0.441,    7.000, 1300,   3.952,   2.081,   0.578,   0.963,   0.793,   0.220, 42,  0,   0.000,   0.000,   0.000,   0.210,   0.110,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,   86,  29.104
13:40:22:309, 76953652288268,    0.472,    3.000, 1300,   4.192,   2.212,   0.614,   0.630,   0.812,   0.226, 41,  0,   0.000,   0.000,   0.000,   0.344,   0.121,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   84,  26.365
13:40:22:340, 76953739912840,    0.503,    3.000, 1200,   2.665,   2.295,   0.638,   0.387,   0.824,   0.229, 41,  0,   0.000,   0.000,   0.000,   0.312,   0.131,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,   47,  50.905
