System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:40:37:547, 33148352701641,    0.018,   23.000, 3900,  11.000,   0.200,   0.056,   7.885,   0.144,   0.040, 44,  0,   0.000,   0.000,   0.000,   0.221,   0.004,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  542,  24.310
15:40:37:578, 33148440744061,    0.050,   19.000, 2000,   8.389,   0.464,   0.129,   4.415,   0.282,   0.078, 43,  0,   0.000,   0.000,   0.000,   0.478,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  211,  50.623
15:40:37:610, 33148530119093,    0.082,   25.000, 2800,   5.217,   0.630,   0.175,   2.247,   0.354,   0.098, 48,  0,   0.000,   0.000,   0.000,   0.295,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  176,  56.538
15:40:37:673, 33148704872132,    0.144,   56.000, 3500,  17.555,   1.725,   0.479,  14.144,   1.236,   0.343, 49,  0,   0.000,   0.000,   0.000,   0.055,   0.032,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  581,  21.031
15:40:37:746, 33148909568893,    0.217,   23.000, 3800,  24.831,   3.538,   0.983,  21.237,   2.786,   0.774, 50,  0,   0.000,   0.000,   0.000,   0.047,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  69.351
15:40:37:793, 33149042520233,    0.264,   13.000, 3600,   9.136,   3.971,   1.103,   5.881,   3.065,   0.852, 45,  0,   0.000,   0.000,   0.000,   0.224,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  86.350
15:40:37:840, 33149173938247,    0.311,   13.000, 4000,  14.115,   4.633,   1.287,  10.759,   3.570,   0.992, 49,  0,   0.000,   0.000,   0.000,   0.023,   0.047,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   19,  87.074
15:40:37:919, 33149394523907,    0.390,   14.000, 3100,   7.683,   5.237,   1.455,   4.748,   3.943,   1.095, 44,  0,   0.000,   0.000,   0.000,   0.098,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   40,  83.473
15:40:38:269, 33150376130571,    0.740,   21.000, 2900,  13.214,   9.865,   2.740,  10.013,   7.450,   2.069, 46,  0,   0.000,   0.000,   0.000,   0.052,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,    7,  85.893
15:40:38:489, 33150993989752,    0.960,   37.000, 3700,  13.992,  12.949,   3.597,  10.250,   9.709,   2.697, 48,  0,   0.000,   0.000,   0.000,   0.014,   0.076,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,    6,  87.231
15:40:38:567, 33151212912536,    1.039,   15.000, 2900,   8.680,  13.626,   3.785,   5.690,  10.153,   2.820, 46,  0,   0.000,   0.000,   0.000,   0.148,   0.087,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  21.095
15:40:38:814, 33151904572618,    1.285,   62.000, 1700,  13.493,  16.956,   4.710,  10.415,  12.723,   3.534, 49,  0,   0.000,   0.000,   0.000,   0.121,   0.117,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,   27,  65.741
15:40:38:861, 33152037322621,    1.333,   15.000, 4000,  31.001,  18.424,   5.118,  28.197,  14.058,   3.905, 55,  0,   0.000,   0.000,   0.000,   0.137,   0.124,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   22,  85.367
15:40:39:255, 33153139946800,    1.726,   22.000, 3900,  12.875,  23.488,   6.524,   9.356,  17.738,   4.927, 52,  0,   0.000,   0.000,   0.000,   0.036,   0.138,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  89.999
