System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:46:34:936, 34150190195248,    0.017,   24.000, 4000,  15.800,   0.265,   0.074,  12.396,   0.208,   0.058, 54,  0,   0.000,   0.000,   0.000,   0.196,   0.003,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  228,  26.372
15:46:34:952, 34150234927208,    0.033,   31.000, 3900,  15.257,   0.509,   0.141,  11.482,   0.391,   0.109, 56,  0,   0.000,   0.000,   0.000,   0.405,   0.010,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  23.988
15:46:34:968, 34150278843373,    0.048,   21.000, 4000,  13.488,   0.720,   0.200,   9.233,   0.536,   0.149, 56,  0,   0.000,   0.000,   0.000,   0.164,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  121,  61.343
15:46:34:984, 34150322690498,    0.064,   17.000, 4000,  15.163,   0.957,   0.266,  11.683,   0.719,   0.200, 56,  0,   0.000,   0.000,   0.000,   0.273,   0.017,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  21.693
15:46:34:999, 34150366851382,    0.080,   17.000, 3800,  13.793,   1.174,   0.326,  10.368,   0.882,   0.245, 59,  0,   0.000,   0.000,   0.000,   0.372,   0.022,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  206,  38.153
15:46:35:027, 34150444017285,    0.107,   18.000, 3900,  23.769,   1.829,   0.508,  19.844,   1.428,   0.397, 61,  0,   0.000,   0.000,   0.000,   0.284,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  257,  42.136
15:46:35:106, 34150666209056,    0.187,   35.000, 3500,  16.792,   3.160,   0.878,  13.021,   2.460,   0.683, 61,  0,   0.000,   0.000,   0.000,   0.165,   0.043,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,   49,  65.456
15:46:35:122, 34150710149823,    0.202,   15.000, 3700,  16.451,   3.418,   0.949,  12.382,   2.654,   0.737, 59,  0,   0.000,   0.000,   0.000,   0.257,   0.047,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  65.961
15:46:35:137, 34150753960462,    0.218,   20.000, 4000,  22.959,   3.776,   1.049,  19.214,   2.955,   0.821, 61,  0,   0.000,   0.000,   0.000,   0.078,   0.049,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   66,  85.055
15:46:35:154, 34150798915249,    0.234,   30.000, 3800,  30.775,   4.270,   1.186,  26.444,   3.379,   0.939, 62,  0,   0.000,   0.000,   0.000,   0.289,   0.053,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  21.594
15:46:35:169, 34150843182330,    0.250,   14.000, 3600,  11.680,   4.454,   1.237,   7.243,   3.493,   0.970, 61,  0,   0.000,   0.000,   0.000,   0.232,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  119,  57.812
15:46:35:185, 34150886951609,    0.265,   16.000, 3800,  24.814,   4.842,   1.345,  21.007,   3.821,   1.061, 62,  0,   0.000,   0.000,   0.000,   0.641,   0.067,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  19.935
15:46:35:200, 34150930757090,    0.281,   27.000, 4000,   9.686,   4.993,   1.387,   6.413,   3.921,   1.089, 58,  0,   0.000,   0.000,   0.000,   0.234,   0.071,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  42.015
15:46:35:216, 34150974049416,    0.296,   39.000, 1600,  26.455,   5.402,   1.500,  22.203,   4.264,   1.185, 59,  0,   0.000,   0.000,   0.000,   0.150,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  39.641
15:46:35:232, 34151018302628,    0.312,   26.000, 3600,  20.251,   5.721,   1.589,  16.316,   4.522,   1.256, 61,  0,   0.000,   0.000,   0.000,   0.193,   0.076,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  37.484
15:46:35:248, 34151063173836,    0.328,   14.000, 3900,  14.703,   5.957,   1.655,  11.653,   4.708,   1.308, 62,  0,   0.000,   0.000,   0.000,   0.214,   0.079,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  48.505
15:46:35:263, 34151107366477,    0.344,   15.000, 4000,  12.799,   6.159,   1.711,   8.967,   4.850,   1.347, 58,  0,   0.000,   0.000,   0.000,   0.170,   0.082,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  581,  21.915
15:46:35:326, 34151282311347,    0.406,   21.000, 4100,  13.698,   7.013,   1.948,  10.885,   5.529,   1.536, 56,  0,   0.000,   0.000,   0.000,   0.115,   0.089,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  42.480
15:46:35:437, 34151592848021,    0.517,   31.000, 3400,  12.677,   8.418,   2.338,   8.786,   6.502,   1.806, 59,  0,   0.000,   0.000,   0.000,   0.006,   0.090,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,    7,  86.981
15:46:35:484, 34151726069131,    0.565,   14.000, 3000,  14.616,   9.112,   2.531,  11.168,   7.033,   1.954, 56,  0,   0.000,   0.000,   0.000,   0.205,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,  350,  47.386
15:46:35:563, 34151946099196,    0.643,   69.000, 4100,  16.840,  10.434,   2.898,  12.485,   8.013,   2.226, 62,  0,   0.000,   0.000,   0.000,   0.163,   0.112,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,  121,  64.814
15:46:35:578, 34151989826972,    0.659,   22.000, 4100,  20.158,  10.749,   2.986,  16.324,   8.268,   2.297, 63,  0,   0.000,   0.000,   0.000,   0.415,   0.119,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,  227,  37.578
15:46:35:594, 34152033665579,    0.674,   29.000, 4000,  26.504,  11.163,   3.101,  22.933,   8.626,   2.396, 63,  0,   0.000,   0.000,   0.000,   0.125,   0.121,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  41.756
15:46:35:610, 34152077374553,    0.690,   24.000, 4000,  24.254,  11.541,   3.206,  20.402,   8.944,   2.485, 61,  0,   0.000,   0.000,   0.000,   0.587,   0.130,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  55.085
