System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:15:34:198, 82873722678148,    0.031,    6.000, 1200,   3.635,   0.113,   0.031,   0.665,   0.021,   0.006, 41,  0,   0.000,   0.000,   0.000,   0.337,   0.010,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  102,  66.531
14:15:34:229, 82873810913934,    0.063,    4.000, 1200,   3.399,   0.220,   0.061,   1.431,   0.066,   0.018, 41,  0,   0.000,   0.000,   0.000,   0.357,   0.022,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  588,  19.290
14:15:34:261, 82873898557522,    0.094,    4.000, 1200,   3.758,   0.338,   0.094,   0.906,   0.094,   0.026, 41,  0,   0.000,   0.000,   0.000,   0.340,   0.032,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  22.811
14:15:34:292, 82873986069056,    0.125,    9.000, 1200,   3.580,   0.450,   0.125,   0.841,   0.120,   0.033, 41,  0,   0.000,   0.000,   0.000,   0.383,   0.044,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  20.028
14:15:34:339, 82874118537527,    0.172,    9.000, 1300,   4.726,   0.673,   0.187,   1.527,   0.193,   0.053, 41,  0,   0.000,   0.000,   0.000,   0.214,   0.054,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  109,  56.407
14:15:34:370, 82874206079652,    0.204,    4.000, 1200,   4.395,   0.810,   0.225,   1.001,   0.224,   0.062, 41,  0,   0.000,   0.000,   0.000,   0.434,   0.068,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,  588,  26.152
14:15:34:402, 82874293360276,    0.235,    6.000, 1200,   3.913,   0.932,   0.259,   1.055,   0.257,   0.071, 42,  0,   0.000,   0.000,   0.000,   0.278,   0.077,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   66,  56.082
14:15:34:434, 82874383373978,    0.267,    3.000, 1300,   3.492,   1.044,   0.290,   0.707,   0.279,   0.078, 41,  0,   0.000,   0.000,   0.000,   0.316,   0.087,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  21.422
14:15:34:465, 82874470692446,    0.298,    3.000, 1200,   3.402,   1.150,   0.319,   0.882,   0.307,   0.085, 42,  0,   0.000,   0.000,   0.000,   0.310,   0.096,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  29.344
14:15:34:496, 82874558663796,    0.329,    4.000, 1200,   3.322,   1.254,   0.348,   0.759,   0.331,   0.092, 41,  0,   0.000,   0.000,   0.000,   0.268,   0.105,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.560
14:15:34:527, 82874646323107,    0.361,    3.000, 1200,   3.636,   1.368,   0.380,   1.116,   0.365,   0.102, 42,  0,   0.000,   0.000,   0.000,   0.293,   0.114,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.074
14:15:34:559, 82874734043204,    0.392,    4.000, 1200,   3.462,   1.476,   0.410,   1.077,   0.399,   0.111, 42,  0,   0.000,   0.000,   0.000,   0.269,   0.122,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  26.015
14:15:34:590, 82874821992886,    0.423,    8.000, 1200,   3.313,   1.580,   0.439,   0.833,   0.425,   0.118, 41,  0,   0.000,   0.000,   0.000,   0.292,   0.132,   0.037,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.064
14:15:34:621, 82874909016585,    0.454,    4.000, 1200,   2.819,   1.668,   0.463,   0.637,   0.445,   0.124, 42,  0,   0.000,   0.000,   0.000,   0.319,   0.141,   0.039,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  23.275
14:15:34:653, 82874997098792,    0.486,    3.000, 1300,   3.493,   1.778,   0.494,   0.796,   0.470,   0.131, 41,  0,   0.000,   0.000,   0.000,   0.284,   0.150,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  23.615
14:15:34:684, 82875084721426,    0.517,    4.000, 1200,   3.948,   1.901,   0.528,   1.246,   0.509,   0.141, 41,  0,   0.000,   0.000,   0.000,   0.348,   0.161,   0.045,  30.000,  60.000, 105.000,  60.000, 100.000,  162,  22.996
14:15:34:715, 82875173332014,    0.549,    5.000, 1200,   3.116,   2.000,   0.555,   0.413,   0.522,   0.145, 41,  0,   0.000,   0.000,   0.000,   0.293,   0.171,   0.047,  30.000,  60.000, 105.000,  60.000, 100.000,   56,  53.777
14:15:34:747, 82875261287719,    0.580,    6.000, 1300,   3.385,   2.106,   0.585,   0.549,   0.539,   0.150, 41,  0,   0.000,   0.000,   0.000,   0.284,   0.179,   0.050,  30.000,  60.000, 105.000,  60.000, 100.000,   53,  86.882
14:15:34:778, 82875348910522,    0.611,    4.000, 1200,   3.685,   2.221,   0.617,   0.648,   0.560,   0.155, 42,  0,   0.000,   0.000,   0.000,   0.414,   0.192,   0.053,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  13.653
14:15:34:795, 82875396773049,    0.628,   12.000, 1200,   2.899,   2.270,   0.631,   0.558,   0.569,   0.158, 41,  0,   0.000,   0.000,   0.000,   0.236,   0.196,   0.055,  30.000,  60.000, 105.000,  60.000, 100.000,  128,  25.204
14:15:34:840, 82875523676948,    0.674,    9.000, 1300,   4.460,   2.472,   0.687,   1.154,   0.621,   0.173, 41,  0,   0.000,   0.000,   0.000,   0.135,   0.203,   0.056,  30.000,  60.000, 105.000,  60.000, 100.000,  172,  22.027
14:15:34:856, 82875567444803,    0.689,   14.000, 1300,   6.122,   2.568,   0.713,   2.416,   0.659,   0.183, 42,  0,   0.000,   0.000,   0.000,   0.657,   0.213,   0.059,  30.000,  60.000, 105.000,  60.000, 100.000,  100,  43.794
14:15:34:888, 82875656321860,    0.721,   10.000, 1400,   4.524,   2.711,   0.753,   2.237,   0.730,   0.203, 41,  0,   0.000,   0.000,   0.000,   0.135,   0.217,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,  237,  22.179
14:15:34:919, 82875744410058,    0.752,    4.000, 1300,   3.908,   2.834,   0.787,   0.594,   0.749,   0.208, 40,  0,   0.000,   0.000,   0.000,   0.307,   0.227,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  30.698
14:15:34:956, 82875846723654,    0.789,    4.000, 1200,   3.443,   2.960,   0.822,   0.722,   0.775,   0.215, 41,  0,   0.000,   0.000,   0.000,   0.294,   0.237,   0.066,  30.000,  60.000, 105.000,  60.000, 100.000,   47,  40.091
14:15:34:987, 82875934153286,    0.820,    3.000, 1200,   4.227,   3.092,   0.859,   0.975,   0.805,   0.224, 41,  0,   0.000,   0.000,   0.000,   0.329,   0.248,   0.069,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  21.491
14:15:35:019, 82876023353612,    0.852,    4.000, 1200,   3.433,   3.201,   0.889,   0.414,   0.819,   0.227, 41,  0,   0.000,   0.000,   0.000,   0.292,   0.257,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.998
14:15:35:050, 82876111410773,    0.883,    5.000, 1200,   3.433,   3.309,   0.919,   0.420,   0.832,   0.231, 40,  0,   0.000,   0.000,   0.000,   0.326,   0.267,   0.074,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  52.058
14:15:35:081, 82876198948851,    0.915,    4.000, 1200,   3.974,   3.433,   0.954,   1.075,   0.865,   0.240, 41,  0,   0.000,   0.000,   0.000,   0.364,   0.279,   0.077,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  22.000
14:15:35:113, 82876286666186,    0.946,    4.000, 1200,   4.127,   3.562,   0.989,   0.737,   0.888,   0.247, 42,  0,   0.000,   0.000,   0.000,   0.281,   0.287,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,  109,  26.687
14:15:35:129, 82876332192129,    0.962,    8.000, 1300,   4.679,   3.638,   1.011,   1.225,   0.908,   0.252, 41,  0,   0.000,   0.000,   0.000,   0.406,   0.294,   0.082,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.975
14:15:35:145, 82876376630042,    0.978,    6.000, 1300,   4.135,   3.703,   1.029,   0.916,   0.923,   0.256, 42,  0,   0.000,   0.000,   0.000,   0.424,   0.301,   0.084,  30.000,  60.000, 105.000,  60.000, 100.000,  181,  26.153
14:15:35:176, 82876464136510,    1.009,    4.000, 1200,   3.203,   3.803,   1.057,   0.399,   0.935,   0.260, 41,  0,   0.000,   0.000,   0.000,   0.325,   0.311,   0.086,  30.000,  60.000, 105.000,  60.000, 100.000,  185,  25.971
14:15:35:207, 82876551598628,    1.040,    5.000, 1200,   3.431,   3.911,   1.086,   0.458,   0.950,   0.264, 41,  0,   0.000,   0.000,   0.000,   0.305,   0.320,   0.089,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  25.916
14:15:35:239, 82876641318503,    1.072,    4.000, 1200,   3.616,   4.026,   1.118,   0.870,   0.977,   0.272, 41,  0,   0.000,   0.000,   0.000,   0.347,   0.331,   0.092,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  21.287
14:15:35:270, 82876728819632,    1.104,    4.000, 1300,   3.158,   4.125,   1.146,   0.282,   0.986,   0.274, 41,  0,   0.000,   0.000,   0.000,   0.383,   0.343,   0.095,  30.000,  60.000, 105.000,  60.000, 100.000,  135,  35.471
14:15:35:302, 82876816282358,    1.135,   10.000, 1300,   3.717,   4.241,   1.178,   0.841,   1.012,   0.281, 42,  0,   0.000,   0.000,   0.000,   0.336,   0.354,   0.098,  30.000,  60.000, 105.000,  60.000, 100.000,  177,  19.955
14:15:35:348, 82876946142033,    1.181,   10.000, 1300,   3.516,   4.404,   1.223,   0.727,   1.046,   0.291, 42,  0,   0.000,   0.000,   0.000,   0.250,   0.365,   0.102,  30.000,  60.000, 105.000,  60.000, 100.000,  115,  58.064
14:15:35:379, 82877033275740,    1.212,    5.000, 1200,   4.940,   4.557,   1.266,   1.492,   1.093,   0.303, 41,  0,   0.000,   0.000,   0.000,   0.467,   0.380,   0.106,  30.000,  60.000, 105.000,  60.000, 100.000,  166,  69.308
14:15:35:410, 82877121428958,    1.244,    9.000, 1200,   3.635,   4.672,   1.298,   0.881,   1.120,   0.311, 41,  0,   0.000,   0.000,   0.000,   0.283,   0.389,   0.108,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  28.313
14:15:35:442, 82877211009213,    1.276,    3.000, 1200,   3.381,   4.780,   1.328,   0.814,   1.146,   0.318, 41,  0,   0.000,   0.000,   0.000,   0.336,   0.400,   0.111,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  26.080
14:15:35:474, 82877298776934,    1.307,    3.000, 1200,   3.259,   4.882,   1.356,   0.694,   1.168,   0.324, 41,  0,   0.000,   0.000,   0.000,   0.320,   0.410,   0.114,  30.000,  60.000, 105.000,  60.000, 100.000,   51,  52.767
14:15:35:505, 82877386359202,    1.338,    4.000, 1200,   3.968,   5.006,   1.390,   1.442,   1.213,   0.337, 41,  0,   0.000,   0.000,   0.000,   0.332,   0.420,   0.117,  30.000,  60.000, 105.000,  60.000, 100.000,  577,  10.974
14:15:35:537, 82877476166793,    1.370,    4.000, 1200,   3.273,   5.110,   1.420,   0.560,   1.231,   0.342, 40,  0,   0.000,   0.000,   0.000,   0.324,   0.430,   0.120,  30.000,  60.000, 105.000,  60.000, 100.000,  192,  19.162
14:15:35:568, 82877563931868,    1.401,    4.000, 1200,   4.416,   5.249,   1.458,   1.310,   1.272,   0.353, 41,  0,   0.000,   0.000,   0.000,   0.320,   0.440,   0.122,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  21.842
