System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:09:16:112, 81813869475880,    0.023,    6.000, 1300,   5.401,   0.123,   0.034,   1.362,   0.031,   0.009, 44,  0,   0.000,   0.000,   0.000,   0.365,   0.008,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.470
14:09:16:128, 81813913777604,    0.039,    7.000, 1300,   4.314,   0.191,   0.053,   1.414,   0.053,   0.015, 44,  0,   0.000,   0.000,   0.000,   0.417,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  192,  31.746
14:09:16:159, 81814001175355,    0.070,   13.000, 1300,   2.764,   0.277,   0.077,   0.626,   0.073,   0.020, 44,  0,   0.000,   0.000,   0.000,   0.141,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  219,  24.084
14:09:16:187, 81814078863476,    0.097,   13.000, 1300,   5.460,   0.429,   0.119,   1.520,   0.115,   0.032, 44,  0,   0.000,   0.000,   0.000,   0.251,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,   82,  37.601
14:09:16:220, 81814169735670,    0.130,    6.000, 1300,   5.046,   0.592,   0.164,   1.634,   0.168,   0.047, 44,  0,   0.000,   0.000,   0.000,   0.331,   0.037,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  27.837
14:09:16:251, 81814257833575,    0.161,    5.000, 1300,   3.016,   0.687,   0.191,   0.260,   0.176,   0.049, 44,  0,   0.000,   0.000,   0.000,   0.287,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  26.669
14:09:16:282, 81814345380211,    0.193,    5.000, 1200,   4.249,   0.820,   0.228,   1.098,   0.210,   0.058, 44,  0,   0.000,   0.000,   0.000,   0.344,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  53.370
14:09:16:314, 81814434235820,    0.224,    4.000, 1200,   3.782,   0.940,   0.261,   1.067,   0.244,   0.068, 44,  0,   0.000,   0.000,   0.000,   0.254,   0.065,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  21.480
14:09:16:345, 81814521555841,    0.255,    4.000, 1200,   3.464,   1.047,   0.291,   0.603,   0.263,   0.073, 44,  0,   0.000,   0.000,   0.000,   0.357,   0.076,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  45.204
14:09:16:376, 81814609301640,    0.287,    6.000, 1200,   3.789,   1.166,   0.324,   0.647,   0.283,   0.079, 44,  0,   0.000,   0.000,   0.000,   0.296,   0.085,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  23.112
14:09:16:408, 81814697298637,    0.318,    4.000, 1200,   3.782,   1.285,   0.357,   0.509,   0.299,   0.083, 44,  0,   0.000,   0.000,   0.000,   0.331,   0.096,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  24.001
14:09:16:439, 81814785206724,    0.349,    7.000, 1200,   3.499,   1.394,   0.387,   0.751,   0.323,   0.090, 44,  0,   0.000,   0.000,   0.000,   0.308,   0.105,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  23.612
14:09:16:470, 81814873025808,    0.381,   12.000, 1300,   3.824,   1.514,   0.421,   1.695,   0.376,   0.104, 44,  0,   0.000,   0.000,   0.000,   0.129,   0.109,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,   52,  40.056
