System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:28:08:739, 41140843403182,    0.024,   27.000, 1400,   4.013,   0.097,   0.027,   1.250,   0.030,   0.008, 46,  0,   0.000,   0.000,   0.000,   0.137,   0.003,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  25.591
16:28:08:770, 41140931256198,    0.055,   42.000, 3300,  10.998,   0.441,   0.123,   7.443,   0.263,   0.073, 49,  0,   0.000,   0.000,   0.000,   0.351,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  225,  45.166
16:28:08:786, 41140975084876,    0.071,   31.000, 3900,  13.335,   0.650,   0.181,   9.470,   0.411,   0.114, 47,  0,   0.000,   0.000,   0.000,   0.156,   0.017,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  210,  42.189
16:28:08:801, 41141018879167,    0.087,   31.000, 4000,  10.708,   0.817,   0.227,   7.196,   0.524,   0.146, 49,  0,   0.000,   0.000,   0.000,   0.188,   0.020,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  45.319
16:28:08:817, 41141062719698,    0.102,   31.000, 2100,  14.116,   1.038,   0.288,  10.241,   0.684,   0.190, 50,  0,   0.000,   0.000,   0.000,   0.195,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  41.213
16:28:08:833, 41141106826373,    0.118,   27.000, 3700,  23.566,   1.409,   0.391,  19.799,   0.996,   0.277, 49,  0,   0.000,   0.000,   0.000,   0.349,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  40.894
16:28:08:848, 41141150371143,    0.134,   17.000, 4000,  21.402,   1.741,   0.484,  18.082,   1.276,   0.355, 51,  0,   0.000,   0.000,   0.000,   0.181,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  185,  41.486
16:28:08:880, 41141239291839,    0.165,   22.000, 3900,  17.581,   2.299,   0.639,  14.450,   1.735,   0.482, 48,  0,   0.000,   0.000,   0.000,   0.292,   0.040,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  190,  44.464
16:28:08:911, 41141327056060,    0.197,   15.000, 4000,  15.609,   2.788,   0.774,  12.231,   2.118,   0.588, 55,  0,   0.000,   0.000,   0.000,   0.183,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  43.818
16:28:08:986, 41141537084843,    0.272,   15.000, 3400,   9.456,   3.496,   0.971,   5.976,   2.566,   0.713, 49,  0,   0.000,   0.000,   0.000,   0.161,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  64.937
16:28:09:081, 41141801517038,    0.366,   13.000, 3700,  12.367,   4.663,   1.295,   8.880,   3.403,   0.945, 48,  0,   0.000,   0.000,   0.000,   0.038,   0.062,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  75.732
16:28:09:175, 41142066246913,    0.460,   13.000, 2900,   9.560,   5.566,   1.546,   6.357,   4.004,   1.112, 54,  0,   0.000,   0.000,   0.000,   0.014,   0.063,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  86.132
16:28:09:270, 41142332673226,    0.555,   17.000, 3800,   9.099,   6.430,   1.786,   5.921,   4.566,   1.268, 48,  0,   0.000,   0.000,   0.000,   0.040,   0.067,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.088
16:28:09:302, 41142421705127,    0.587,   13.000, 3400,  10.846,   6.775,   1.882,   6.849,   4.784,   1.329, 53,  0,   0.000,   0.000,   0.000,   0.258,   0.075,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   13,  89.598
16:28:09:380, 41142642264740,    0.666,   13.000, 2700,  15.793,   8.017,   2.227,  12.582,   5.774,   1.604, 52,  0,   0.000,   0.000,   0.000,   0.062,   0.080,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  21.402
16:28:09:427, 41142773800670,    0.713,   15.000, 3800,  13.818,   8.666,   2.407,  10.468,   6.265,   1.740, 54,  0,   0.000,   0.000,   0.000,   0.096,   0.084,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   39,  39.097
16:28:09:503, 41142985880706,    0.788,   14.000, 4000,  11.627,   9.545,   2.652,   8.171,   6.883,   1.912, 49,  0,   0.000,   0.000,   0.000,   0.108,   0.093,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  58.573
16:28:09:597, 41143250170543,    0.883,   16.000, 3500,  10.451,  10.531,   2.925,   7.102,   7.553,   2.098, 50,  0,   0.000,   0.000,   0.000,   0.058,   0.098,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   23,  71.046
16:28:09:692, 41143514422715,    0.977,   16.000, 3600,  13.474,  11.801,   3.278,   9.713,   8.468,   2.352, 54,  0,   0.000,   0.000,   0.000,   0.005,   0.099,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,    9,  86.622
