System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:23:31:274, 40363052179344,    0.031,   27.000, 1400,  14.417,   0.443,   0.123,  10.876,   0.334,   0.093, 51,  0,   0.000,   0.000,   0.000,   0.183,   0.006,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  33.303
16:23:31:290, 40363095963470,    0.046,   20.000, 2400,   8.667,   0.578,   0.161,   4.220,   0.400,   0.111, 51,  0,   0.000,   0.000,   0.000,   0.250,   0.010,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  576,  23.269
16:23:31:305, 40363139550261,    0.062,   17.000, 3800,  10.708,   0.745,   0.207,   7.364,   0.515,   0.143, 53,  0,   0.000,   0.000,   0.000,   0.361,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  232,  51.041
16:23:31:321, 40363183352993,    0.078,   19.000, 3400,  11.300,   0.922,   0.256,   8.210,   0.643,   0.179, 55,  0,   0.000,   0.000,   0.000,   0.320,   0.020,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  216,  40.224
16:23:31:337, 40363227302491,    0.093,   21.000, 4000,  18.087,   1.205,   0.335,  15.066,   0.879,   0.244, 54,  0,   0.000,   0.000,   0.000,   0.156,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  37.422
16:23:31:352, 40363271310638,    0.109,   16.000, 4000,  15.559,   1.449,   0.403,  12.177,   1.070,   0.297, 56,  0,   0.000,   0.000,   0.000,   0.171,   0.025,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  37.348
16:23:31:384, 40363360149856,    0.141,   18.000, 4100,  17.383,   2.000,   0.556,  14.252,   1.522,   0.423, 53,  0,   0.000,   0.000,   0.000,   0.096,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  185,  47.424
16:23:31:400, 40363404252533,    0.156,   20.000, 4000,  14.781,   2.233,   0.620,  11.344,   1.700,   0.472, 56,  0,   0.000,   0.000,   0.000,   0.163,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,   91,  51.885
16:23:31:445, 40363530034028,    0.201,   21.000, 2700,  15.598,   2.933,   0.815,  11.448,   2.214,   0.615, 56,  0,   0.000,   0.000,   0.000,   0.522,   0.054,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  237,  51.919
16:23:31:508, 40363707661736,    0.265,   26.000, 2700,  14.508,   3.852,   1.070,  11.127,   2.919,   0.811, 59,  0,   0.000,   0.000,   0.000,   0.056,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   43,  78.239
