System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:41:00:116, 43303176858897,    0.015,   29.000, 3800,  19.462,   0.295,   0.082,  15.326,   0.232,   0.065, 46,  0,   0.000,   0.000,   0.000,   0.346,   0.005,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  501,  31.419
16:41:00:132, 43303220962707,    0.031,   32.000, 3600,  17.527,   0.571,   0.159,  12.895,   0.435,   0.121, 46,  0,   0.000,   0.000,   0.000,   0.675,   0.016,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  338,  45.196
16:41:00:147, 43303264632913,    0.046,   19.000, 4000,  15.248,   0.808,   0.225,  11.558,   0.615,   0.171, 48,  0,   0.000,   0.000,   0.000,   0.227,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  569,  20.107
16:41:00:163, 43303308377697,    0.062,   16.000, 4000,   7.486,   0.925,   0.257,   4.381,   0.684,   0.190, 48,  0,   0.000,   0.000,   0.000,   0.172,   0.022,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  264,  44.244
16:41:00:179, 43303353307677,    0.078,   24.000, 4100,  25.784,   1.338,   0.372,  22.643,   1.047,   0.291, 49,  0,   0.000,   0.000,   0.000,   0.122,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  121,  31.023
16:41:00:195, 43303397535831,    0.094,   16.000, 4000,   5.203,   1.420,   0.395,   2.251,   1.082,   0.301, 50,  0,   0.000,   0.000,   0.000,   0.170,   0.027,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  24.283
16:41:00:210, 43303441151141,    0.109,   20.000, 3900,  19.763,   1.728,   0.480,  16.617,   1.341,   0.372, 53,  0,   0.000,   0.000,   0.000,   0.298,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  44.930
16:41:00:239, 43303521676010,    0.138,   27.000, 4000,   9.194,   1.992,   0.553,   6.039,   1.514,   0.421, 50,  0,   0.000,   0.000,   0.000,   0.183,   0.037,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  246,  43.481
16:41:00:255, 43303565498830,    0.154,   28.000, 4000,  12.786,   2.192,   0.609,   8.988,   1.655,   0.460, 47,  0,   0.000,   0.000,   0.000,   0.344,   0.042,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  234,  53.920
16:41:00:271, 43303610485579,    0.170,   21.000, 4000,  17.092,   2.466,   0.685,  14.110,   1.881,   0.522, 55,  0,   0.000,   0.000,   0.000,   0.251,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  221,  42.816
16:41:00:381, 43303919377120,    0.280,   13.000, 3300,  15.628,   4.188,   1.163,  12.844,   3.296,   0.916, 54,  0,   0.000,   0.000,   0.000,   0.055,   0.052,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  38.186
16:41:00:475, 43304183843998,    0.374,   14.000, 3600,  13.731,   5.484,   1.523,  11.074,   4.341,   1.206, 53,  0,   0.000,   0.000,   0.000,   0.034,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   17,  64.897
16:41:00:554, 43304403251742,    0.453,   23.000, 4100,  14.291,   6.602,   1.834,  11.667,   5.254,   1.460, 53,  0,   0.000,   0.000,   0.000,   0.045,   0.059,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  87.786
16:41:00:601, 43304536572511,    0.500,   12.000, 3500,  12.070,   7.176,   1.993,   9.481,   5.705,   1.585, 54,  0,   0.000,   0.000,   0.000,   0.087,   0.063,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  20.757
16:41:00:680, 43304756572052,    0.579,   16.000, 2600,  12.901,   8.189,   2.275,  10.239,   6.509,   1.808, 47,  0,   0.000,   0.000,   0.000,   0.314,   0.088,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,   40,  73.208
16:41:00:770, 43305010302225,    0.669,   17.000, 3600,  16.377,   9.671,   2.686,  13.221,   7.705,   2.140, 55,  0,   0.000,   0.000,   0.000,   0.131,   0.099,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  80.163
16:41:00:848, 43305229414737,    0.747,   13.000, 2800,  12.273,  10.631,   2.953,   9.939,   8.482,   2.356, 49,  0,   0.000,   0.000,   0.000,   0.008,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,   20,  83.163
16:41:00:990, 43305625636682,    0.889,   14.000, 2800,  10.833,  12.162,   3.378,   8.184,   9.639,   2.678, 53,  0,   0.000,   0.000,   0.000,   0.039,   0.106,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  22.421
16:41:01:084, 43305890164935,    0.983,   15.000, 3100,  12.935,  13.382,   3.717,  10.197,  10.601,   2.945, 51,  0,   0.000,   0.000,   0.000,   0.035,   0.109,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,   14,  58.115
16:41:01:162, 43306109276764,    1.061,   16.000, 4000,  11.507,  14.282,   3.967,   8.866,  11.294,   3.137, 53,  0,   0.000,   0.000,   0.000,   0.058,   0.113,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  89.057
16:41:01:237, 43306320053851,    1.136,   18.000, 3500,  13.730,  15.314,   4.254,  10.926,  12.116,   3.366, 52,  0,   0.000,   0.000,   0.000,   0.269,   0.134,   0.037,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  71.688
16:41:01:285, 43306453286779,    1.184,   13.000, 1800,  14.316,  15.995,   4.443,  10.977,  12.638,   3.510, 47,  0,   0.000,   0.000,   0.000,   0.221,   0.144,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,  318,  51.735
16:41:01:347, 43306628412532,    1.246,   14.000, 2200,   8.999,  16.557,   4.599,   6.292,  13.031,   3.620, 48,  0,   0.000,   0.000,   0.000,   0.047,   0.147,   0.041,  30.000,  60.000, 105.000,  60.000, 100.000,   34,  61.893
16:41:01:426, 43306849222184,    1.325,   18.000, 2600,  13.128,  17.591,   4.886,  10.541,  13.861,   3.850, 47,  0,   0.000,   0.000,   0.000,   0.059,   0.152,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,   46,  82.409
16:41:01:457, 43306937151274,    1.357,   13.000, 1900,  14.306,  18.040,   5.011,  11.410,  14.219,   3.950, 48,  0,   0.000,   0.000,   0.000,   0.210,   0.158,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  21.864
16:41:01:552, 43307201552324,    1.451,   15.000, 3300,  11.575,  19.131,   5.314,   9.138,  15.081,   4.189, 52,  0,   0.000,   0.000,   0.000,   0.028,   0.161,   0.045,  30.000,  60.000, 105.000,  60.000, 100.000,  107,  32.408
16:41:01:678, 43307554916752,    1.577,   28.000, 3200,  10.101,  20.405,   5.668,   7.401,  16.014,   4.448, 50,  0,   0.000,   0.000,   0.000,   0.025,   0.164,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,   14,  64.978
16:41:01:741, 43307731427976,    1.640,   19.000, 4100,  11.821,  21.149,   5.875,   8.955,  16.578,   4.605, 50,  0,   0.000,   0.000,   0.000,   0.132,   0.172,   0.048,  30.000,  60.000, 105.000,  60.000, 100.000,   28,  88.504
16:41:01:800, 43307896156968,    1.699,   13.000, 3900,  16.059,  22.093,   6.137,  12.381,  17.305,   4.807, 54,  0,   0.000,   0.000,   0.000,   0.521,   0.203,   0.056,  30.000,  60.000, 105.000,  60.000, 100.000,  203,  63.615
16:41:01:878, 43308116494085,    1.777,   15.000, 3100,  10.708,  22.934,   6.371,   7.924,  17.928,   4.980, 51,  0,   0.000,   0.000,   0.000,   0.043,   0.207,   0.057,  30.000,  60.000, 105.000,  60.000, 100.000,   44,  82.469
16:41:01:941, 43308291998446,    1.840,   13.000, 2300,  12.417,  23.712,   6.587,   9.686,  18.534,   5.148, 48,  0,   0.000,   0.000,   0.000,   0.090,   0.212,   0.059,  30.000,  60.000, 105.000,  60.000, 100.000,  499,  29.643
16:41:02:035, 43308557004039,    1.934,   16.000, 1600,  13.115,  24.952,   6.931,  10.473,  19.525,   5.423, 53,  0,   0.000,   0.000,   0.000,   0.027,   0.215,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,   50,  33.705
16:41:02:083, 43308689785923,    1.982,   14.000, 3500,  14.584,  25.642,   7.123,  11.512,  20.070,   5.575, 50,  0,   0.000,   0.000,   0.000,   0.072,   0.218,   0.061,  30.000,  60.000, 105.000,  60.000, 100.000,   31,  43.924
16:41:02:177, 43308954357151,    2.076,   13.000, 1600,   8.156,  26.412,   7.337,   5.600,  20.598,   5.722, 47,  0,   0.000,   0.000,   0.000,   0.057,   0.224,   0.062,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  40.599
16:41:02:284, 43309254220229,    2.183,   19.000, 3000,  13.442,  27.850,   7.736,  10.072,  21.676,   6.021, 51,  0,   0.000,   0.000,   0.000,   0.151,   0.240,   0.067,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  62.460
16:41:02:362, 43309473507931,    2.261,   13.000, 3500,  13.952,  28.942,   8.039,  11.254,  22.556,   6.266, 55,  0,   0.000,   0.000,   0.000,   0.119,   0.249,   0.069,  30.000,  60.000, 105.000,  60.000, 100.000,   19,  87.888
16:41:02:441, 43309694087189,    2.340,   14.000, 3300,  10.137,  29.739,   8.261,   7.349,  23.134,   6.426, 50,  0,   0.000,   0.000,   0.000,   0.070,   0.254,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,   46,  81.950
16:41:02:520, 43309915115267,    2.419,   14.000, 3100,  12.032,  30.688,   8.524,   9.684,  23.898,   6.638, 51,  0,   0.000,   0.000,   0.000,   0.012,   0.255,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,   14,  86.968
16:41:02:583, 43310091484145,    2.482,   13.000, 3400,  10.469,  31.347,   8.707,   7.943,  24.398,   6.777, 50,  0,   0.000,   0.000,   0.000,   0.118,   0.263,   0.073,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  21.981
16:41:02:661, 43310310806915,    2.560,   13.000, 2700,  11.322,  32.232,   8.953,   8.673,  25.076,   6.966, 50,  0,   0.000,   0.000,   0.000,   0.041,   0.266,   0.074,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  65.398
16:41:02:740, 43310531775652,    2.639,   18.000, 3400,  14.924,  33.409,   9.280,  12.209,  26.039,   7.233, 53,  0,   0.000,   0.000,   0.000,   0.026,   0.268,   0.074,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  85.243
16:41:02:803, 43310709302508,    2.702,   22.000, 3500,  11.862,  34.160,   9.489,   8.662,  26.587,   7.385, 55,  0,   0.000,   0.000,   0.000,   0.316,   0.288,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,  183,  58.417
16:41:02:834, 43310796890605,    2.733,   13.000, 3700,  10.980,  34.503,   9.584,   7.837,  26.832,   7.453, 57,  0,   0.000,   0.000,   0.000,   0.148,   0.293,   0.081,  30.000,  60.000, 105.000,  60.000, 100.000,  584,  26.934
16:41:02:929, 43311061523477,    2.828,   13.000, 3700,  10.710,  35.514,   9.865,   8.130,  27.600,   7.667, 51,  0,   0.000,   0.000,   0.000,   0.070,   0.299,   0.083,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  42.159
16:41:03:023, 43311326212788,    2.922,   15.000, 3200,  14.377,  36.872,  10.242,  12.004,  28.733,   7.981, 55,  0,   0.000,   0.000,   0.000,   0.037,   0.303,   0.084,  30.000,  60.000, 105.000,  60.000, 100.000,   18,  65.774
16:41:03:117, 43311590464606,    3.017,   19.000, 3700,  13.867,  38.179,  10.605,  10.896,  29.760,   8.267, 55,  0,   0.000,   0.000,   0.000,   0.026,   0.305,   0.085,  30.000,  60.000, 105.000,  60.000, 100.000,    9,  87.398
16:41:03:196, 43311811248811,    3.095,   17.000, 3200,  13.774,  39.264,  10.907,  11.030,  30.629,   8.508, 54,  0,   0.000,   0.000,   0.000,   0.051,   0.309,   0.086,  30.000,  60.000, 105.000,  60.000, 100.000,   40,  83.557
16:41:03:243, 43311942685389,    3.142,   17.000, 3200,  13.097,  39.878,  11.077,  10.401,  31.117,   8.643, 52,  0,   0.000,   0.000,   0.000,   0.042,   0.311,   0.086,  30.000,  60.000, 105.000,  60.000, 100.000,   20,  80.212
16:41:03:318, 43312153863994,    3.218,   14.000, 2100,  15.765,  41.066,  11.407,  12.511,  32.059,   8.905, 49,  0,   0.000,   0.000,   0.000,   0.423,   0.343,   0.095,  30.000,  60.000, 105.000,  60.000, 100.000,  220,  52.060
16:41:03:413, 43312417906198,    3.312,   13.000, 3500,  14.045,  42.389,  11.775,  11.382,  33.131,   9.203, 54,  0,   0.000,   0.000,   0.000,   0.061,   0.349,   0.097,  30.000,  60.000, 105.000,  60.000, 100.000,   33,  84.772
16:41:03:554, 43312813878898,    3.453,   16.000, 4100,  11.372,  43.995,  12.221,   8.796,  34.374,   9.548, 56,  0,   0.000,   0.000,   0.000,   0.031,   0.353,   0.098,  30.000,  60.000, 105.000,  60.000, 100.000,    7,  87.102
16:41:03:601, 43312946934688,    3.500,   14.000, 3800,  12.207,  44.574,  12.382,   9.274,  34.814,   9.671, 55,  0,   0.000,   0.000,   0.000,   0.185,   0.362,   0.101,  30.000,  60.000, 105.000,  60.000, 100.000,   67,  74.995
16:41:03:680, 43313167346993,    3.579,   14.000, 3400,  12.723,  45.575,  12.660,  10.125,  35.610,   9.892, 50,  0,   0.000,   0.000,   0.000,   0.011,   0.363,   0.101,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  86.758
16:41:03:758, 43313386853971,    3.657,   15.000, 2400,  13.270,  46.614,  12.948,  10.805,  36.456,  10.127, 48,  0,   0.000,   0.000,   0.000,   0.065,   0.368,   0.102,  30.000,  60.000, 105.000,  60.000, 100.000,   53,  80.538
16:41:03:818, 43313553556175,    3.717,   16.000, 3800,  12.310,  47.346,  13.152,   8.939,  36.988,  10.274, 55,  0,   0.000,   0.000,   0.000,   0.374,   0.390,   0.108,  30.000,  60.000, 105.000,  60.000, 100.000,  207,  63.018
16:41:03:897, 43313775573558,    3.796,   13.000, 2900,  12.060,  48.301,  13.417,   9.329,  37.727,  10.480, 54,  0,   0.000,   0.000,   0.000,   0.174,   0.404,   0.112,  30.000,  60.000, 105.000,  60.000, 100.000,  587,  24.628
16:41:03:991, 43314038932989,    3.890,   13.000, 3200,  11.506,  49.382,  13.717,   9.099,  38.581,  10.717, 51,  0,   0.000,   0.000,   0.000,   0.036,   0.407,   0.113,  30.000,  60.000, 105.000,  60.000, 100.000,   19,  63.367
16:41:04:069, 43314257833536,    3.968,   21.000, 3400,   9.948,  50.159,  13.933,   7.241,  39.147,  10.874, 53,  0,   0.000,   0.000,   0.000,   0.019,   0.409,   0.114,  30.000,  60.000, 105.000,  60.000, 100.000,   14,  85.338
16:41:04:195, 43314611572668,    4.094,   16.000, 3300,  15.048,  52.058,  14.461,  11.909,  40.650,  11.292, 56,  0,   0.000,   0.000,   0.000,   0.072,   0.418,   0.116,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  85.330
16:41:04:305, 43314919369499,    4.204,   18.000, 3100,  14.136,  53.610,  14.892,  11.314,  41.892,  11.637, 55,  0,   0.000,   0.000,   0.000,   0.067,   0.425,   0.118,  30.000,  60.000, 105.000,  60.000, 100.000,   15,  90.005
16:41:04:379, 43315127455255,    4.278,   13.000, 3300,  13.240,  54.593,  15.165,  10.049,  42.638,  11.844, 54,  0,   0.000,   0.000,   0.000,   0.252,   0.444,   0.123,  30.000,  60.000, 105.000,  60.000, 100.000,  159,  65.251
16:41:04:489, 43315435292307,    4.388,   16.000, 3600,  14.930,  56.232,  15.620,  12.182,  43.976,  12.215, 49,  0,   0.000,   0.000,   0.000,   0.031,   0.447,   0.124,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  24.615
16:41:04:521, 43315523192333,    4.420,   14.000, 2000,   6.867,  56.448,  15.680,   4.169,  44.106,  12.252, 48,  0,   0.000,   0.000,   0.000,   0.105,   0.451,   0.125,  30.000,  60.000, 105.000,  60.000, 100.000,   27,  50.439
16:41:04:615, 43315787895406,    4.514,   12.000, 2900,  10.034,  57.395,  15.943,   7.565,  44.821,  12.450, 53,  0,   0.000,   0.000,   0.000,   0.048,   0.455,   0.126,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  21.468
16:41:04:694, 43316008680574,    4.593,   13.000, 3300,  15.518,  58.617,  16.283,  12.938,  45.840,  12.733, 50,  0,   0.000,   0.000,   0.000,   0.037,   0.458,   0.127,  30.000,  60.000, 105.000,  60.000, 100.000,   19,  62.286
16:41:04:803, 43316316236268,    4.702,   18.000, 2800,  14.944,  60.257,  16.738,  11.929,  47.149,  13.097, 55,  0,   0.000,   0.000,   0.000,   0.037,   0.462,   0.128,  30.000,  60.000, 105.000,  60.000, 100.000,    6,  86.807
16:41:04:831, 43316393051056,    4.730,   17.000, 3600,  17.340,  60.732,  16.870,  14.634,  47.550,  13.208, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.462,   0.128,  30.000,  60.000, 105.000,  60.000, 100.000,   46,  90.934
16:41:04:878, 43316525928829,    4.777,   23.000, 2600,   8.686,  61.144,  16.984,   5.606,  47.815,  13.282, 52,  0,   0.000,   0.000,   0.000,   0.142,   0.469,   0.130,  30.000,  60.000, 105.000,  60.000, 100.000,   37,  85.834
16:41:04:988, 43316833450148,    4.887,   18.000, 3200,  16.383,  62.941,  17.484,  13.550,  49.302,  13.695, 48,  0,   0.000,   0.000,   0.000,   0.011,   0.470,   0.131,  30.000,  60.000, 105.000,  60.000, 100.000,    8,  87.386
16:41:05:066, 43317052868375,    4.965,   13.000, 3400,  11.960,  63.877,  17.744,   9.226,  50.024,  13.896, 54,  0,   0.000,   0.000,   0.000,   0.053,   0.474,   0.132,  30.000,  60.000, 105.000,  60.000, 100.000,   45,  82.044
16:41:05:161, 43317317991904,    5.060,   13.000, 3700,  10.000,  64.823,  18.006,   7.332,  50.718,  14.088, 55,  0,   0.000,   0.000,   0.000,   0.017,   0.476,   0.132,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  85.530
16:41:05:287, 43317670699594,    5.186,   18.000, 4000,  12.590,  66.407,  18.446,   9.975,  51.973,  14.437, 55,  0,   0.000,   0.000,   0.000,   0.029,   0.479,   0.133,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  85.169
16:41:05:379, 43317929569441,    5.278,   19.000, 3200,  15.723,  67.859,  18.850,  11.761,  53.059,  14.739, 54,  0,   0.000,   0.000,   0.000,   0.291,   0.506,   0.141,  30.000,  60.000, 105.000,  60.000, 100.000,   33,  90.158
16:41:05:410, 43318017694890,    5.309,   13.000, 3000,  11.913,  68.233,  18.954,   9.199,  53.348,  14.819, 51,  0,   0.000,   0.000,   0.000,   0.182,   0.512,   0.142,  30.000,  60.000, 105.000,  60.000, 100.000,   18,  83.512
16:41:05:536, 43318369717255,    5.435,   14.000, 2600,  11.922,  69.731,  19.370,   9.453,  54.535,  15.149, 49,  0,   0.000,   0.000,   0.000,   0.051,   0.518,   0.144,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  83.957
16:41:05:599, 43318546822978,    5.498,   13.000, 3100,  12.969,  70.550,  19.597,  10.296,  55.186,  15.329, 53,  0,   0.000,   0.000,   0.000,   0.033,   0.521,   0.145,  30.000,  60.000, 105.000,  60.000, 100.000,   15,  86.906
16:41:05:740, 43318942814035,    5.639,   14.000, 3400,  13.820,  72.502,  20.139,  11.183,  56.765,  15.768, 55,  0,   0.000,   0.000,   0.000,   0.028,   0.524,   0.146,  30.000,  60.000, 105.000,  60.000, 100.000,   22,  86.996
16:41:05:835, 43319208326125,    5.734,   20.000, 2600,  13.160,  73.749,  20.486,  10.406,  57.751,  16.042, 53,  0,   0.000,   0.000,   0.000,   0.117,   0.536,   0.149,  30.000,  60.000, 105.000,  60.000, 100.000,   16,  88.892
