System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:44:31:571, 67560827232975,    0.031,   11.000, 2000,   5.782,   0.177,   0.049,   1.630,   0.050,   0.014, 40,  0,   0.000,   0.000,   0.000,   0.352,   0.011,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,   27,  68.289
12:44:31:607, 67560928313394,    0.067,   10.000, 2000,   5.598,   0.378,   0.105,   2.265,   0.131,   0.037, 40,  0,   0.000,   0.000,   0.000,   0.525,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  240,  51.349
12:44:31:638, 67561016683596,    0.098,    3.000, 1200,   3.280,   0.482,   0.134,   0.256,   0.140,   0.039, 41,  0,   0.000,   0.000,   0.000,   0.449,   0.044,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  24.341
12:44:31:670, 67561104661783,    0.130,    3.000, 1200,   3.434,   0.590,   0.164,   0.436,   0.153,   0.043, 41,  0,   0.000,   0.000,   0.000,   0.342,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  24.670
12:44:31:701, 67561192169621,    0.161,    3.000, 1200,   3.541,   0.700,   0.194,   0.504,   0.169,   0.047, 40,  0,   0.000,   0.000,   0.000,   0.336,   0.065,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  25.843
12:44:31:732, 67561279796035,    0.192,    3.000, 1200,   3.120,   0.798,   0.222,   0.414,   0.182,   0.051, 41,  0,   0.000,   0.000,   0.000,   0.379,   0.077,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  20.541
12:44:31:764, 67561369617410,    0.224,    3.000, 1200,   3.493,   0.910,   0.253,   0.941,   0.212,   0.059, 40,  0,   0.000,   0.000,   0.000,   0.331,   0.088,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  23.131
12:44:31:795, 67561456578111,    0.255,    4.000, 1100,   3.162,   1.008,   0.280,   0.846,   0.238,   0.066, 40,  0,   0.000,   0.000,   0.000,   0.327,   0.098,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  25.769
12:44:31:827, 67561546347714,    0.287,    5.000, 1200,   3.314,   1.114,   0.309,   0.396,   0.251,   0.070, 40,  0,   0.000,   0.000,   0.000,   0.324,   0.108,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,   63,  55.752
12:44:31:859, 67561635448906,    0.319,    4.000, 1200,   2.978,   1.209,   0.336,   0.453,   0.265,   0.074, 40,  0,   0.000,   0.000,   0.000,   0.323,   0.118,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,  106,  73.813
12:44:31:890, 67561723141166,    0.350,    3.000, 1200,   3.440,   1.316,   0.366,   0.792,   0.290,   0.081, 40,  0,   0.000,   0.000,   0.000,   0.351,   0.129,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,  557,  12.026
12:44:31:922, 67561810701794,    0.381,    3.000, 1200,   3.271,   1.418,   0.394,   0.500,   0.306,   0.085, 40,  0,   0.000,   0.000,   0.000,   0.324,   0.139,   0.039,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  20.025
12:44:31:954, 67561900325251,    0.413,    3.000, 1200,   3.154,   1.519,   0.422,   0.447,   0.320,   0.089, 41,  0,   0.000,   0.000,   0.000,   0.370,   0.151,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,  192,  19.284
12:44:31:985, 67561989353764,    0.445,    5.000, 1200,   3.872,   1.642,   0.456,   1.107,   0.355,   0.099, 40,  0,   0.000,   0.000,   0.000,   0.311,   0.161,   0.045,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  46.937
