System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:42:31:368, 67223875151817,    0.030,    7.000, 1600,   4.379,   0.129,   0.036,   1.799,   0.053,   0.015, 42,  0,   0.000,   0.000,   0.000,   0.393,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,   47,  89.235
12:42:31:400, 67223963173792,    0.061,    4.000, 1300,   4.990,   0.286,   0.079,   1.046,   0.086,   0.024, 42,  0,   0.000,   0.000,   0.000,   0.548,   0.029,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  560,  19.336
12:42:31:431, 67224050716497,    0.092,    5.000, 1200,   2.885,   0.376,   0.104,   0.195,   0.092,   0.026, 42,  0,   0.000,   0.000,   0.000,   0.313,   0.039,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,   71,  54.292
12:42:31:463, 67224138976108,    0.124,    5.000, 1200,   3.751,   0.494,   0.137,   0.950,   0.122,   0.034, 42,  0,   0.000,   0.000,   0.000,   0.291,   0.048,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  108,  37.183
12:42:31:494, 67224227143647,    0.155,    4.000, 1200,   3.235,   0.596,   0.166,   0.586,   0.140,   0.039, 42,  0,   0.000,   0.000,   0.000,   0.419,   0.061,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,  575,  11.125
12:42:31:525, 67224314755723,    0.186,    3.000, 1200,   3.156,   0.695,   0.193,   0.625,   0.160,   0.044, 42,  0,   0.000,   0.000,   0.000,   0.332,   0.071,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  29.189
12:42:31:557, 67224402510809,    0.218,    5.000, 1100,   3.291,   0.798,   0.222,   0.448,   0.174,   0.048, 41,  0,   0.000,   0.000,   0.000,   0.374,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.693
12:42:31:589, 67224492016512,    0.250,    3.000, 1200,   3.951,   0.924,   0.257,   0.879,   0.202,   0.056, 41,  0,   0.000,   0.000,   0.000,   0.352,   0.094,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  26.327
12:42:31:620, 67224580173417,    0.281,    3.000, 1100,   3.955,   1.048,   0.291,   1.017,   0.234,   0.065, 41,  0,   0.000,   0.000,   0.000,   0.342,   0.105,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  24.113
12:42:31:651, 67224667474612,    0.312,    3.000, 1100,   3.855,   1.168,   0.324,   0.804,   0.259,   0.072, 42,  0,   0.000,   0.000,   0.000,   0.345,   0.116,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,   52,  32.993
12:42:31:683, 67224758495615,    0.345,    4.000, 1200,   3.147,   1.270,   0.353,   0.692,   0.281,   0.078, 41,  0,   0.000,   0.000,   0.000,   0.301,   0.125,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  21.749
12:42:31:715, 67224845654213,    0.376,    3.000, 1200,   4.169,   1.400,   0.389,   1.060,   0.314,   0.087, 41,  0,   0.000,   0.000,   0.000,   0.291,   0.135,   0.037,  30.000,  60.000, 105.000,  60.000, 100.000,   90,  24.532
12:42:31:746, 67224934264916,    0.407,    7.000, 1200,   3.597,   1.514,   0.420,   0.541,   0.332,   0.092, 41,  0,   0.000,   0.000,   0.000,   0.336,   0.145,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  56.591
12:42:31:777, 67225021546054,    0.438,    4.000, 1200,   4.079,   1.641,   0.456,   0.890,   0.359,   0.100, 42,  0,   0.000,   0.000,   0.000,   0.357,   0.156,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,  111,  33.103
