System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:30:54:458, 65270287287287,    0.024,    8.000, 1300,   5.657,   0.138,   0.038,   2.388,   0.058,   0.016, 41,  0,   0.000,   0.000,   0.000,   0.477,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  21.734
12:30:54:489, 65270376276203,    0.056,    5.000, 1200,   4.776,   0.289,   0.080,   1.307,   0.100,   0.028, 42,  0,   0.000,   0.000,   0.000,   0.377,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  181,  35.200
12:30:54:521, 65270464451045,    0.088,    3.000, 1200,   4.205,   0.422,   0.117,   1.397,   0.144,   0.040, 42,  0,   0.000,   0.000,   0.000,   0.248,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  215,  22.349
12:30:54:552, 65270551921902,    0.119,    4.000, 1200,   3.687,   0.537,   0.149,   0.610,   0.163,   0.045, 42,  0,   0.000,   0.000,   0.000,   0.293,   0.041,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  27.942
12:30:54:583, 65270639869484,    0.150,    5.000, 1200,   3.568,   0.648,   0.180,   0.887,   0.190,   0.053, 42,  0,   0.000,   0.000,   0.000,   0.412,   0.053,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  163,  23.618
12:30:54:615, 65270729225543,    0.182,    3.000, 1200,   3.339,   0.755,   0.210,   0.797,   0.216,   0.060, 42,  0,   0.000,   0.000,   0.000,   0.333,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  26.742
12:30:54:647, 65270816897270,    0.213,    3.000, 1200,   3.302,   0.858,   0.238,   0.683,   0.237,   0.066, 41,  0,   0.000,   0.000,   0.000,   0.293,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  24.200
12:30:54:678, 65270904802846,    0.245,    4.000, 1200,   3.642,   0.972,   0.270,   0.915,   0.266,   0.074, 41,  0,   0.000,   0.000,   0.000,   0.300,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  163,  19.917
12:30:54:710, 65270993972991,    0.276,   10.000, 1100,   4.144,   1.104,   0.307,   1.347,   0.309,   0.086, 41,  0,   0.000,   0.000,   0.000,   0.315,   0.093,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,   67,  56.233
12:30:54:760, 65271135778535,    0.327,    8.000, 1200,   4.379,   1.326,   0.368,   1.622,   0.391,   0.109, 42,  0,   0.000,   0.000,   0.000,   0.285,   0.107,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  56.126
12:30:54:792, 65271223897638,    0.358,    3.000, 1200,   3.254,   1.428,   0.397,   0.812,   0.416,   0.116, 41,  0,   0.000,   0.000,   0.000,   0.299,   0.116,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  11.603
12:30:54:823, 65271312441560,    0.390,    6.000, 1200,   3.190,   1.529,   0.425,   0.842,   0.443,   0.123, 42,  0,   0.000,   0.000,   0.000,   0.298,   0.126,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,  190,  20.893
12:30:54:855, 65271400554006,    0.421,    3.000, 1200,   3.932,   1.652,   0.459,   0.971,   0.473,   0.131, 41,  0,   0.000,   0.000,   0.000,   0.295,   0.135,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,  111,  25.027
12:30:54:886, 65271489391265,    0.453,    4.000, 1200,   3.532,   1.764,   0.490,   0.924,   0.503,   0.140, 41,  0,   0.000,   0.000,   0.000,   0.351,   0.146,   0.041,  30.000,  60.000, 105.000,  60.000, 100.000,  162,  21.176
12:30:54:918, 65271577429755,    0.485,    3.000, 1100,   3.867,   1.886,   0.524,   1.302,   0.544,   0.151, 42,  0,   0.000,   0.000,   0.000,   0.253,   0.154,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  24.147
12:30:54:950, 65271666327898,    0.516,    3.000, 1200,   3.855,   2.008,   0.558,   1.382,   0.587,   0.163, 41,  0,   0.000,   0.000,   0.000,   0.308,   0.164,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  21.979
12:30:54:981, 65271753949912,    0.548,    6.000, 1200,   3.474,   2.117,   0.588,   0.965,   0.618,   0.172, 42,  0,   0.000,   0.000,   0.000,   0.230,   0.171,   0.048,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  23.287
12:30:55:013, 65271843991616,    0.580,    6.000, 1300,   3.618,   2.233,   0.620,   1.053,   0.651,   0.181, 41,  0,   0.000,   0.000,   0.000,   0.418,   0.185,   0.051,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  37.030
12:30:55:044, 65271931896547,    0.611,    4.000, 1200,   3.930,   2.356,   0.654,   1.433,   0.696,   0.193, 41,  0,   0.000,   0.000,   0.000,   0.265,   0.193,   0.054,  30.000,  60.000, 105.000,  60.000, 100.000,  530,  22.168
12:30:55:076, 65272019870191,    0.642,    3.000, 1200,   3.201,   2.457,   0.682,   0.731,   0.719,   0.200, 42,  0,   0.000,   0.000,   0.000,   0.315,   0.203,   0.056,  30.000,  60.000, 105.000,  60.000, 100.000,  169,  21.437
12:30:55:108, 65272109766690,    0.674,    4.000, 1200,   3.510,   2.569,   0.714,   0.925,   0.749,   0.208, 41,  0,   0.000,   0.000,   0.000,   0.278,   0.212,   0.059,  30.000,  60.000, 105.000,  60.000, 100.000,  108,  43.035
12:30:55:139, 65272197356243,    0.706,    3.000, 1200,   3.080,   2.665,   0.740,   0.586,   0.767,   0.213, 42,  0,   0.000,   0.000,   0.000,   0.285,   0.221,   0.061,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  23.734
12:30:55:170, 65272284922679,    0.737,    3.000, 1200,   3.199,   2.765,   0.768,   0.942,   0.797,   0.221, 42,  0,   0.000,   0.000,   0.000,   0.336,   0.231,   0.064,  30.000,  60.000, 105.000,  60.000, 100.000,  150,  21.374
12:30:55:202, 65272373366103,    0.769,    4.000, 1200,   3.159,   2.865,   0.796,   0.704,   0.819,   0.227, 42,  0,   0.000,   0.000,   0.000,   0.317,   0.241,   0.067,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  23.870
12:30:55:233, 65272462412937,    0.800,   12.000, 1300,   4.062,   2.994,   0.832,   0.957,   0.849,   0.236, 41,  0,   0.000,   0.000,   0.000,   0.200,   0.247,   0.069,  30.000,  60.000, 105.000,  60.000, 100.000,  147,  19.948
12:30:55:267, 65272555905308,    0.834,    9.000, 1300,   4.352,   3.139,   0.872,   1.091,   0.886,   0.246, 41,  0,   0.000,   0.000,   0.000,   0.340,   0.259,   0.072,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  25.660
12:30:55:299, 65272645567803,    0.866,    5.000, 1200,   5.576,   3.317,   0.922,   1.977,   0.949,   0.264, 41,  0,   0.000,   0.000,   0.000,   0.393,   0.271,   0.075,  30.000,  60.000, 105.000,  60.000, 100.000,   74,  53.602
12:30:55:330, 65272733469590,    0.897,    7.000, 1200,   3.165,   3.417,   0.949,   1.218,   0.987,   0.274, 42,  0,   0.000,   0.000,   0.000,   0.292,   0.281,   0.078,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  66.774
12:30:55:361, 65272820725261,    0.928,    9.000, 1300,   3.506,   3.526,   0.979,   0.851,   1.014,   0.282, 42,  0,   0.000,   0.000,   0.000,   0.282,   0.289,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,  531,  22.711
12:30:55:393, 65272909719473,    0.960,   16.000, 1400,   4.689,   3.675,   1.021,   1.834,   1.072,   0.298, 42,  0,   0.000,   0.000,   0.000,   0.069,   0.292,   0.081,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  25.672
12:30:55:409, 65272953918195,    0.976,   16.000, 1400,   4.912,   3.752,   1.042,   1.850,   1.101,   0.306, 41,  0,   0.000,   0.000,   0.000,   0.132,   0.294,   0.082,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  29.889
12:30:55:440, 65273041152441,    1.007,   15.000, 2200,   4.731,   3.899,   1.083,   1.899,   1.160,   0.322, 42,  0,   0.000,   0.000,   0.000,   0.102,   0.297,   0.082,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  23.511
12:30:55:456, 65273085346286,    1.022,    4.000, 1400,   6.918,   4.008,   1.113,   3.686,   1.218,   0.338, 42,  0,   0.000,   0.000,   0.000,   0.511,   0.305,   0.085,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  42.328
12:30:55:487, 65273173663943,    1.054,    7.000, 1300,   4.384,   4.147,   1.152,   1.197,   1.256,   0.349, 42,  0,   0.000,   0.000,   0.000,   0.275,   0.313,   0.087,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  24.724
12:30:55:519, 65273262091505,    1.086,   23.000, 1300,   3.918,   4.270,   1.186,   0.851,   1.283,   0.356, 42,  0,   0.000,   0.000,   0.000,   0.306,   0.323,   0.090,  30.000,  60.000, 105.000,  60.000, 100.000,  141,  34.137
12:30:55:551, 65273351494399,    1.117,    5.000, 1300,   6.801,   4.487,   1.246,   3.793,   1.404,   0.390, 42,  0,   0.000,   0.000,   0.000,   0.230,   0.330,   0.092,  30.000,  60.000, 105.000,  60.000, 100.000,  216,  23.100
12:30:55:582, 65273439429505,    1.149,    5.000, 1200,   4.261,   4.621,   1.284,   1.199,   1.441,   0.400, 41,  0,   0.000,   0.000,   0.000,   0.226,   0.338,   0.094,  30.000,  60.000, 105.000,  60.000, 100.000,   47,  41.150
12:30:55:615, 65273530111352,    1.181,    3.000, 1200,   2.840,   4.713,   1.309,   0.483,   1.457,   0.405, 42,  0,   0.000,   0.000,   0.000,   0.294,   0.347,   0.096,  30.000,  60.000, 105.000,  60.000, 100.000,  530,  22.024
12:30:55:646, 65273619083361,    1.213,    4.000, 1200,   3.444,   4.822,   1.339,   0.965,   1.488,   0.413, 41,  0,   0.000,   0.000,   0.000,   0.304,   0.357,   0.099,  30.000,  60.000, 105.000,  60.000, 100.000,   57,  53.275
12:30:55:678, 65273706905463,    1.244,   15.000, 1300,   4.436,   4.961,   1.378,   1.594,   1.537,   0.427, 42,  0,   0.000,   0.000,   0.000,   0.164,   0.362,   0.101,  30.000,  60.000, 105.000,  60.000, 100.000,  528,  11.082
12:30:55:709, 65273795989884,    1.276,   16.000, 1300,   4.736,   5.111,   1.420,   2.213,   1.608,   0.447, 41,  0,   0.000,   0.000,   0.000,   0.061,   0.364,   0.101,  30.000,  60.000, 105.000,  60.000, 100.000,   56,  38.534
12:30:55:725, 65273839608511,    1.292,   15.000, 1400,   7.366,   5.226,   1.452,   4.581,   1.679,   0.466, 42,  0,   0.000,   0.000,   0.000,   0.149,   0.366,   0.102,  30.000,  60.000, 105.000,  60.000, 100.000,  529,  21.352
12:30:55:751, 65273912843091,    1.318,   17.000, 3300,   7.345,   5.418,   1.505,   4.373,   1.793,   0.498, 42,  0,   0.000,   0.000,   0.000,   0.154,   0.370,   0.103,  30.000,  60.000, 105.000,  60.000, 100.000,   98,  67.103
12:30:55:765, 65273950982961,    1.331,    9.000, 2900,   8.990,   5.540,   1.539,   3.248,   1.838,   0.510, 42,  0,   0.000,   0.000,   0.000,   0.799,   0.381,   0.106,  30.000,  60.000, 105.000,  60.000, 100.000,  227,  65.608
12:30:55:783, 65274004239415,    1.350,    4.000, 1500,   7.126,   5.676,   1.577,   2.409,   1.883,   0.523, 42,  0,   0.000,   0.000,   0.000,   0.765,   0.396,   0.110,  30.000,  60.000, 105.000,  60.000, 100.000,  240,  61.914
12:30:55:816, 65274093681130,    1.382,    3.000, 1200,   3.206,   5.778,   1.605,   0.692,   1.905,   0.529, 41,  0,   0.000,   0.000,   0.000,   0.310,   0.405,   0.113,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  23.290
12:30:55:847, 65274181532203,    1.414,    7.000, 1200,   3.874,   5.899,   1.639,   1.348,   1.948,   0.541, 41,  0,   0.000,   0.000,   0.000,   0.354,   0.417,   0.116,  30.000,  60.000, 105.000,  60.000, 100.000,  161,  21.434
12:30:55:878, 65274268957150,    1.445,    4.000, 1200,   3.949,   6.022,   1.673,   1.280,   1.988,   0.552, 41,  0,   0.000,   0.000,   0.000,   0.297,   0.426,   0.118,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  24.818
12:30:55:910, 65274359026199,    1.477,    4.000, 1200,   3.503,   6.135,   1.704,   1.064,   2.022,   0.562, 41,  0,   0.000,   0.000,   0.000,   0.323,   0.436,   0.121,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  21.430
12:30:55:941, 65274446436132,    1.508,    4.000, 1200,   3.709,   6.251,   1.736,   0.650,   2.042,   0.567, 41,  0,   0.000,   0.000,   0.000,   0.317,   0.446,   0.124,  30.000,  60.000, 105.000,  60.000, 100.000,   56,  34.685
12:30:55:972, 65274533556837,    1.539,   19.000, 1300,   4.061,   6.377,   1.771,   1.461,   2.087,   0.580, 41,  0,   0.000,   0.000,   0.000,   0.165,   0.451,   0.125,  30.000,  60.000, 105.000,  60.000, 100.000,  194,  63.198
12:30:56:005, 65274623254923,    1.571,   18.000, 1400,   3.884,   6.501,   1.806,   1.309,   2.129,   0.591, 42,  0,   0.000,   0.000,   0.000,   0.160,   0.456,   0.127,  30.000,  60.000, 105.000,  60.000, 100.000,  567,  25.120
12:30:56:052, 65274756929914,    1.619,   39.000, 1500,   7.508,   6.859,   1.905,   4.590,   2.348,   0.652, 41,  0,   0.000,   0.000,   0.000,   0.202,   0.466,   0.129,  30.000,  60.000, 105.000,  60.000, 100.000,  122,  51.125
12:30:56:100, 65274890363180,    1.666,   25.000, 3300,   8.396,   7.259,   2.016,   5.321,   2.601,   0.723, 43,  0,   0.000,   0.000,   0.000,   0.044,   0.468,   0.130,  30.000,  60.000, 105.000,  60.000, 100.000,  225,  25.099
12:30:56:115, 65274934655466,    1.682,   14.000, 3300,  19.484,   7.567,   2.102,  16.178,   2.857,   0.794, 44,  0,   0.000,   0.000,   0.000,   0.309,   0.473,   0.131,  30.000,  60.000, 105.000,  60.000, 100.000,   61,  45.667
12:30:56:162, 65275065263857,    1.729,   18.000, 3300,  13.608,   8.201,   2.278,  10.781,   3.359,   0.933, 43,  0,   0.000,   0.000,   0.000,   0.060,   0.476,   0.132,  30.000,  60.000, 105.000,  60.000, 100.000,   53,  74.077
12:30:56:178, 65275109278417,    1.744,   22.000, 3300,  19.724,   8.510,   2.364,  16.567,   3.620,   1.005, 46,  0,   0.000,   0.000,   0.000,   0.194,   0.479,   0.133,  30.000,  60.000, 105.000,  60.000, 100.000,   71,  78.553
12:30:56:210, 65275198024913,    1.776,   24.000, 3900,   9.692,   8.817,   2.449,   6.674,   3.831,   1.064, 43,  0,   0.000,   0.000,   0.000,   0.216,   0.486,   0.135,  30.000,  60.000, 105.000,  60.000, 100.000,   99,  24.669
12:30:56:226, 65275242726203,    1.792,   32.000, 3400,  12.910,   9.023,   2.506,   9.829,   3.988,   1.108, 46,  0,   0.000,   0.000,   0.000,   0.145,   0.488,   0.136,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  23.970
12:30:56:242, 65275287361660,    1.808,   20.000, 3300,  10.453,   9.190,   2.553,   8.755,   4.127,   1.146, 43,  0,   0.000,   0.000,   0.000,   0.207,   0.491,   0.136,  30.000,  60.000, 105.000,  60.000, 100.000,  185,  43.472
12:30:56:271, 65275369851274,    1.837,   11.000, 1500,   8.465,   9.439,   2.622,   3.762,   4.238,   1.177, 42,  0,   0.000,   0.000,   0.000,   0.601,   0.509,   0.141,  30.000,  60.000, 105.000,  60.000, 100.000,  178,  59.565
12:30:56:303, 65275458834199,    1.869,    4.000, 1200,   4.697,   9.588,   2.663,   1.150,   4.274,   1.187, 42,  0,   0.000,   0.000,   0.000,   0.411,   0.522,   0.145,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  27.755
12:30:56:334, 65275547082038,    1.901,    4.000, 1200,   3.633,   9.702,   2.695,   0.702,   4.296,   1.193, 42,  0,   0.000,   0.000,   0.000,   0.279,   0.531,   0.147,  30.000,  60.000, 105.000,  60.000, 100.000,   54,  53.195
12:30:56:365, 65275634694381,    1.932,    8.000, 1200,   3.421,   9.809,   2.725,   0.570,   4.314,   1.198, 41,  0,   0.000,   0.000,   0.000,   0.273,   0.539,   0.150,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  22.348
12:30:56:397, 65275724101384,    1.964,    4.000, 1200,   4.442,   9.951,   2.764,   1.091,   4.349,   1.208, 42,  0,   0.000,   0.000,   0.000,   0.287,   0.548,   0.152,  30.000,  60.000, 105.000,  60.000, 100.000,   51,  48.138
12:30:56:429, 65275812183233,    1.995,    3.000, 1200,   3.267,  10.053,   2.793,   0.330,   4.359,   1.211, 42,  0,   0.000,   0.000,   0.000,   0.315,   0.558,   0.155,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  21.807
12:30:56:460, 65275899492642,    2.026,    4.000, 1200,   4.005,  10.178,   2.827,   0.749,   4.383,   1.217, 41,  0,   0.000,   0.000,   0.000,   0.306,   0.568,   0.158,  30.000,  60.000, 105.000,  60.000, 100.000,  163,  21.819
12:30:56:491, 65275987295185,    2.058,    5.000, 1200,   3.426,  10.285,   2.857,   0.518,   4.399,   1.222, 41,  0,   0.000,   0.000,   0.000,   0.269,   0.576,   0.160,  30.000,  60.000, 105.000,  60.000, 100.000,   68,  53.037
12:30:56:522, 65276075392459,    2.089,    9.000, 1200,   3.401,  10.392,   2.887,   0.633,   4.419,   1.227, 41,  0,   0.000,   0.000,   0.000,   0.256,   0.584,   0.162,  30.000,  60.000, 105.000,  60.000, 100.000,  108,  44.400
12:30:56:554, 65276162971934,    2.120,    4.000, 1200,   3.106,  10.489,   2.914,   0.285,   4.428,   1.230, 42,  0,   0.000,   0.000,   0.000,   0.434,   0.598,   0.166,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  24.939
12:30:56:585, 65276250672134,    2.152,    4.000, 1200,   3.459,  10.598,   2.944,   0.901,   4.456,   1.238, 42,  0,   0.000,   0.000,   0.000,   0.336,   0.608,   0.169,  30.000,  60.000, 105.000,  60.000, 100.000,  181,  21.302
12:30:56:617, 65276340278705,    2.184,    3.000, 1300,   2.856,  10.689,   2.969,   0.611,   4.475,   1.243, 41,  0,   0.000,   0.000,   0.000,   0.344,   0.619,   0.172,  30.000,  60.000, 105.000,  60.000, 100.000,  192,  18.738
12:30:56:648, 65276427780821,    2.215,    3.000, 1200,   3.811,  10.808,   3.002,   0.856,   4.502,   1.251, 41,  0,   0.000,   0.000,   0.000,   0.305,   0.629,   0.175,  30.000,  60.000, 105.000,  60.000, 100.000,  109,  22.470
12:30:56:664, 65276472434170,    2.231,   11.000, 1300,   3.314,  10.861,   3.017,   0.498,   4.510,   1.253, 41,  0,   0.000,   0.000,   0.000,   0.307,   0.634,   0.176,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  25.453
12:30:56:696, 65276561030225,    2.262,    5.000, 1300,   4.140,  10.992,   3.053,   1.352,   4.553,   1.265, 42,  0,   0.000,   0.000,   0.000,   0.232,   0.641,   0.178,  30.000,  60.000, 105.000,  60.000, 100.000,   71,  28.706
12:30:56:727, 65276649332158,    2.294,    3.000, 1200,   3.486,  11.101,   3.084,   0.597,   4.572,   1.270, 41,  0,   0.000,   0.000,   0.000,   0.329,   0.651,   0.181,  30.000,  60.000, 105.000,  60.000, 100.000,  575,  12.715
