System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:33:00:728,6.56242E+13,0.026,6,2000,3.912,0.101,0.028,0.988,0.025,0.007,42,0,0,0,0,0.337,0.009,0.002,30,60,105,60,100,33,82.826
12:33:00:759,6.56243E+13,0.057,4,1300,4.869,0.254,0.071,1.185,0.063,0.017,43,0,0,0,0,0.486,0.024,0.007,30,60,105,60,100,583,21.207
12:33:00:791,6.56244E+13,0.089,4,1300,3.453,0.362,0.101,0.601,0.082,0.023,42,0,0,0,0,0.312,0.034,0.009,30,60,105,60,100,114,23.429
12:33:00:822,6.56245E+13,0.12,4,1200,3.298,0.466,0.129,0.242,0.089,0.025,42,0,0,0,0,0.374,0.046,0.013,30,60,105,60,100,163,18.066
12:33:00:853,6.56246E+13,0.151,12,1200,4.153,0.596,0.166,0.734,0.112,0.031,42,0,0,0,0,0.307,0.055,0.015,30,60,105,60,100,113,26.4
12:33:00:901,6.56247E+13,0.198,26,1300,6.05,0.881,0.245,2.27,0.219,0.061,42,0,0,0,0,0.27,0.068,0.019,30,60,105,60,100,104,48.846
12:33:00:932,6.56248E+13,0.23,10,1300,5.001,1.037,0.288,1.748,0.274,0.076,42,0,0,0,0,0.137,0.072,0.02,30,60,105,60,100,578,24.357
12:33:00:948,6.56249E+13,0.246,13,1300,4.277,1.106,0.307,1.249,0.294,0.082,42,0,0,0,0,0.256,0.076,0.021,30,60,105,60,100,94,28.176
12:33:00:995,6.5625E+13,0.293,14,1300,4.372,1.312,0.364,1.5,0.364,0.101,42,0,0,0,0,0.107,0.081,0.023,30,60,105,60,100,61,68.458
12:33:01:026,6.56251E+13,0.324,8,1300,3.875,1.433,0.398,0.8,0.389,0.108,42,0,0,0,0,0.246,0.089,0.025,30,60,105,60,100,569,22.333
12:33:01:042,6.56251E+13,0.34,8,1300,5.599,1.523,0.423,2.054,0.422,0.117,41,0,0,0,0,0.266,0.093,0.026,30,60,105,60,100,78,32.484
12:33:01:074,6.56252E+13,0.372,4,1200,3.515,1.634,0.454,0.599,0.441,0.123,41,0,0,0,0,0.315,0.103,0.029,30,60,105,60,100,578,23.852
12:33:01:105,6.56253E+13,0.403,4,1200,2.711,1.719,0.478,0.459,0.456,0.127,42,0,0,0,0,0.296,0.113,0.031,30,60,105,60,100,51,53.427
12:33:01:137,6.56254E+13,0.435,4,1200,3.805,1.839,0.511,1.041,0.488,0.136,41,0,0,0,0,0.324,0.123,0.034,30,60,105,60,100,578,21.626
12:33:01:168,6.56255E+13,0.466,3,1200,3.575,1.952,0.542,0.591,0.507,0.141,41,0,0,0,0,0.305,0.132,0.037,30,60,105,60,100,94,24.605
12:33:01:200,6.56256E+13,0.498,4,1200,3.384,2.059,0.572,0.435,0.521,0.145,43,0,0,0,0,0.331,0.143,0.04,30,60,105,60,100,51,31.011
12:33:01:231,6.56257E+13,0.529,10,1200,3.28,2.162,0.6,0.553,0.538,0.149,42,0,0,0,0,0.347,0.154,0.043,30,60,105,60,100,581,11.945
12:33:01:263,6.56257E+13,0.561,7,1200,3.855,2.284,0.635,0.805,0.564,0.157,42,0,0,0,0,0.387,0.166,0.046,30,60,105,60,100,152,47.544
12:33:01:295,6.56258E+13,0.593,8,1200,3.671,2.4,0.667,0.92,0.593,0.165,42,0,0,0,0,0.264,0.174,0.048,30,60,105,60,100,569,22.326
12:33:01:326,6.56259E+13,0.624,6,1300,3.839,2.521,0.7,0.69,0.614,0.171,42,0,0,0,0,0.248,0.182,0.051,30,60,105,60,100,107,25.711
12:33:01:358,6.5626E+13,0.656,6,1300,4.149,2.652,0.737,0.615,0.634,0.176,41,0,0,0,0,0.305,0.192,0.053,30,60,105,60,100,93,22.756
12:33:01:389,6.56261E+13,0.687,12,1300,4.252,2.785,0.774,1.397,0.678,0.188,42,0,0,0,0,0.202,0.198,0.055,30,60,105,60,100,93,25.797
12:33:01:419,6.56262E+13,0.716,9,1300,5.666,2.952,0.82,1.716,0.728,0.202,42,0,0,0,0,0.356,0.209,0.058,30,60,105,60,100,133,34.369
12:33:01:450,6.56263E+13,0.747,4,1200,2.772,3.038,0.844,0.374,0.74,0.205,42,0,0,0,0,0.389,0.221,0.061,30,60,105,60,100,586,25.038
