System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:22:05:954,9.84921E+12,0.014,29,3900,16.641,0.238,0.066,12.576,0.18,0.05,54,0,0,0,0,0.231,0.003,0.001,30,60,105,60,100,289,89.899
13:22:05:970,9.84925E+12,0.03,26,3800,23.31,0.603,0.167,19.423,0.484,0.134,57,0,0,0,0,0.475,0.011,0.003,30,60,105,60,100,62,92.922
13:22:05:985,9.84929E+12,0.046,36,4000,21.788,0.942,0.262,17.454,0.755,0.21,58,0,0,0,0,0.157,0.013,0.004,30,60,105,60,100,159,40.393
13:22:06:033,9.84943E+12,0.093,16,3500,18.272,1.805,0.501,14.596,1.445,0.401,58,0,0,0,0,0.078,0.017,0.005,30,60,105,60,100,69,67.088
13:22:06:250,9.85004E+12,0.31,48,4100,18.827,5.889,1.636,15.093,4.719,1.311,55,0,0,0,0,0.05,0.028,0.008,30,60,105,60,100,10,91.14
13:22:06:313,9.85021E+12,0.373,17,1700,19.483,7.115,1.977,15.081,5.668,1.575,58,0,0,0,0,0.167,0.038,0.011,30,60,105,60,100,570,23.614
13:22:06:376,9.85039E+12,0.436,22,3500,17.081,8.197,2.277,13.468,6.521,1.811,58,0,0,0,0,0.066,0.042,0.012,30,60,105,60,100,49,51.01
13:22:06:455,9.85061E+12,0.515,22,3800,16.318,9.483,2.634,12.614,7.515,2.088,60,0,0,0,0,0.099,0.05,0.014,30,60,105,60,100,27,63.842
13:22:06:518,9.85079E+12,0.578,19,3500,13.099,10.313,2.865,9.853,8.139,2.261,60,0,0,0,0,0.212,0.063,0.018,30,60,105,60,100,200,67.902
13:22:06:659,9.85118E+12,0.719,25,3900,16.349,12.613,3.504,12.877,9.951,2.764,61,0,0,0,0,0.023,0.067,0.019,30,60,105,60,100,22,77.466
13:22:06:796,9.85157E+12,0.856,20,4000,15.029,14.678,4.077,11.518,11.534,3.204,59,0,0,0,0,0.104,0.081,0.023,30,60,105,60,100,91,79.46
13:22:06:890,9.85183E+12,0.95,23,3400,20.27,16.582,4.606,16.798,13.112,3.642,61,0,0,0,0,0.029,0.084,0.023,30,60,105,60,100,25,71.142
13:22:06:985,9.8521E+12,1.045,48,3500,16.06,18.11,5.031,12.189,14.271,3.964,61,0,0,0,0,0.141,0.097,0.027,30,60,105,60,100,567,22.544
13:22:07:016,9.85219E+12,1.077,23,3300,23.351,18.841,5.234,18.805,14.859,4.128,63,0,0,0,0,0.133,0.101,0.028,30,60,105,60,100,32,26.502
13:22:07:111,9.85245E+12,1.171,28,4100,19.7,20.705,5.751,15.552,16.331,4.536,61,0,0,0,0,0.129,0.114,0.032,30,60,105,60,100,62,67.943
13:22:07:206,9.85272E+12,1.266,32,3400,15.695,22.2,6.167,12.174,17.491,4.859,55,0,0,0,0,0.064,0.12,0.033,30,60,105,60,100,570,25.023
13:22:07:238,9.85281E+12,1.298,24,4000,13.118,22.614,6.282,9.061,17.777,4.938,64,0,0,0,0,0.372,0.131,0.036,30,60,105,60,100,59,55.435
13:22:07:318,9.85303E+12,1.378,32,3500,19.713,24.187,6.719,15.91,19.047,5.291,62,0,0,0,0,0.102,0.14,0.039,30,60,105,60,100,60,84.611
13:22:07:365,9.85316E+12,1.425,24,3100,14.046,24.852,6.903,10.593,19.548,5.43,55,0,0,0,0,0.113,0.145,0.04,30,60,105,60,100,571,20.609
13:22:07:443,9.85338E+12,1.503,26,4000,17.848,26.249,7.291,13.906,20.637,5.732,61,0,0,0,0,0.031,0.147,0.041,30,60,105,60,100,67,49.952
