System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:18:04:125, 9171308889940,    0.031,   46.000, 3900,  27.812,   0.860,   0.239,  24.149,   0.747,   0.207, 55,  0,   0.000,   0.000,   0.000,   0.466,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  356,  45.622
13:18:04:141, 9171354067152,    0.047,   44.000, 4000,  37.993,   1.472,   0.409,  34.395,   1.301,   0.361, 56,  0,   0.000,   0.000,   0.000,   0.326,   0.020,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  205,  39.518
13:18:04:169, 9171432230411,    0.075,   26.000, 4000,  27.552,   2.241,   0.622,  24.210,   1.976,   0.549, 58,  0,   0.000,   0.000,   0.000,   0.508,   0.034,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  206,  59.838
13:18:04:200, 9171520047443,    0.106,   45.000, 3600,  15.984,   2.741,   0.761,  12.512,   2.368,   0.658, 61,  0,   0.000,   0.000,   0.000,   0.444,   0.048,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  583,  26.009
13:18:04:216, 9171563725427,    0.122,   17.000, 4000,  22.156,   3.086,   0.857,  18.168,   2.651,   0.736, 60,  0,   0.000,   0.000,   0.000,   0.274,   0.052,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  43.043
13:18:04:341, 9171914217648,    0.247,   15.000, 3400,  13.242,   4.742,   1.317,  10.012,   3.903,   1.084, 58,  0,   0.000,   0.000,   0.000,   0.030,   0.056,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   27,  82.333
13:18:04:653, 9172790096569,    0.559,   28.000, 3400,  16.175,   9.796,   2.721,  13.135,   8.007,   2.224, 62,  0,   0.000,   0.000,   0.000,   0.027,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   14,  89.607
13:18:04:759, 9173085854502,    0.665,   35.000, 3400,  22.249,  12.143,   3.373,  18.802,   9.991,   2.775, 63,  0,   0.000,   0.000,   0.000,   0.176,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  357,  47.784
13:18:04:853, 9173348998018,    0.759,   43.000, 4000,  21.973,  14.206,   3.946,  18.453,  11.723,   3.256, 59,  0,   0.000,   0.000,   0.000,   0.025,   0.085,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,   22,  68.302
13:18:04:899, 9173480419604,    0.806,   14.000, 3600,  15.193,  14.918,   4.144,  12.303,  12.300,   3.417, 59,  0,   0.000,   0.000,   0.000,   0.104,   0.090,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  24.083
13:18:05:239, 9174431555306,    1.145,   18.000, 3800,  15.693,  20.243,   5.623,  12.733,  16.620,   4.617, 55,  0,   0.000,   0.000,   0.000,   0.047,   0.106,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   13,  77.559
13:18:05:317, 9174650698301,    1.223,   40.000, 4000,  11.171,  21.117,   5.866,   7.904,  17.238,   4.788, 57,  0,   0.000,   0.000,   0.000,   0.070,   0.111,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,   20,  87.382
13:18:05:348, 9174738273479,    1.254,   26.000, 1700,  13.223,  21.530,   5.980,  10.558,  17.568,   4.880, 58,  0,   0.000,   0.000,   0.000,   0.156,   0.116,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  21.697
13:18:05:379, 9174825799745,    1.286,   25.000, 2300,  13.400,  21.948,   6.097,  10.106,  17.883,   4.968, 56,  0,   0.000,   0.000,   0.000,   0.090,   0.119,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,  107,  38.753
13:18:05:411, 9174913500306,    1.317,   14.000, 2700,  18.571,  22.529,   6.258,  14.074,  18.324,   5.090, 54,  0,   0.000,   0.000,   0.000,   0.098,   0.122,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  42.342
13:18:05:536, 9175264131777,    1.442,   18.000, 4000,  15.326,  24.446,   6.791,  11.843,  19.805,   5.501, 61,  0,   0.000,   0.000,   0.000,   0.036,   0.126,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  77.573
13:18:05:843, 9176126287832,    1.749,   29.000, 3500,  14.627,  28.945,   8.040,  11.623,  23.380,   6.494, 57,  0,   0.000,   0.000,   0.000,   0.109,   0.160,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,   51,  82.604
13:18:05:968, 9176476726276,    1.874,   23.000, 4000,  18.228,  31.223,   8.673,  15.367,  25.301,   7.028, 61,  0,   0.000,   0.000,   0.000,   0.046,   0.166,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  20.819
13:18:06:047, 9176695895712,    1.953,   13.000, 4000,  16.323,  32.500,   9.028,  13.416,  26.350,   7.319, 62,  0,   0.000,   0.000,   0.000,   0.048,   0.170,   0.047,  30.000,  60.000, 105.000,  60.000, 100.000,   19,  61.706
13:18:06:140, 9176958632976,    2.046,   13.000, 3700,  13.177,  33.735,   9.371,  10.436,  27.328,   7.591, 60,  0,   0.000,   0.000,   0.000,   0.064,   0.176,   0.049,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.931
13:18:06:199, 9177121834899,    2.105,   18.000, 3900,  12.126,  34.441,   9.567,   9.091,  27.857,   7.738, 57,  0,   0.000,   0.000,   0.000,   0.239,   0.189,   0.053,  30.000,  60.000, 105.000,  60.000, 100.000,   59,  50.883
13:18:06:246, 9177254239274,    2.152,   15.000, 2200,  10.268,  34.926,   9.702,   6.854,  28.181,   7.828, 54,  0,   0.000,   0.000,   0.000,   0.496,   0.213,   0.059,  30.000,  60.000, 105.000,  60.000, 100.000,  435,  35.896
13:18:06:558, 9178130180326,    2.464,   31.000, 3400,  11.490,  38.516,  10.699,   8.310,  30.777,   8.549, 57,  0,   0.000,   0.000,   0.000,   0.009,   0.216,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,  122,  31.100
13:18:06:761, 9178699547835,    2.667,   61.000, 3700,  18.460,  42.266,  11.740,  14.729,  33.769,   9.380, 61,  0,   0.000,   0.000,   0.000,   0.063,   0.229,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,    4,  85.281
13:18:06:777, 9178743603733,    2.683,   16.000, 3900,  15.045,  42.502,  11.806,  10.501,  33.934,   9.426, 60,  0,   0.000,   0.000,   0.000,   0.280,   0.233,   0.065,  30.000,  60.000, 105.000,  60.000, 100.000,   72,  80.393
13:18:06:793, 9178787393948,    2.699,   17.000, 4000,  10.495,  42.666,  11.852,   7.205,  34.047,   9.457, 61,  0,   0.000,   0.000,   0.000,   0.352,   0.238,   0.066,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  20.559
13:18:06:808, 9178831231817,    2.714,   14.000, 4000,  19.144,  42.965,  11.935,  15.401,  34.287,   9.524, 63,  0,   0.000,   0.000,   0.000,   0.250,   0.242,   0.067,  30.000,  60.000, 105.000,  60.000, 100.000,  221,  37.959
13:18:06:824, 9178874995940,    2.730,   14.000, 4000,  12.170,  43.155,  11.988,   8.984,  34.428,   9.563, 62,  0,   0.000,   0.000,   0.000,   0.258,   0.246,   0.068,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  36.837
13:18:06:840, 9178918812793,    2.746,   14.000, 4000,  10.680,  43.322,  12.034,   7.466,  34.544,   9.596, 63,  0,   0.000,   0.000,   0.000,   0.648,   0.256,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  36.847
