System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:20:37:011, 73631013742140,    0.033,    5.000, 1400,   5.465,   0.179,   0.050,   2.048,   0.067,   0.019, 44,  0,   0.000,   0.000,   0.000,   0.302,   0.010,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  22.393
13:20:37:043, 73631101570814,    0.064,    8.000, 1200,   4.317,   0.314,   0.087,   1.266,   0.107,   0.030, 42,  0,   0.000,   0.000,   0.000,   0.343,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  153,  38.749
13:20:37:074, 73631189359614,    0.095,    5.000, 1200,   2.773,   0.401,   0.111,   0.748,   0.130,   0.036, 43,  0,   0.000,   0.000,   0.000,   0.366,   0.032,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  49.947
13:20:37:105, 73631276973837,    0.127,    4.000, 1200,   3.273,   0.504,   0.140,   0.746,   0.154,   0.043, 42,  0,   0.000,   0.000,   0.000,   0.309,   0.042,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  22.424
13:20:37:121, 73631322625594,    0.143,    5.000, 1200,   4.239,   0.573,   0.159,   1.259,   0.174,   0.048, 42,  0,   0.000,   0.000,   0.000,   0.352,   0.047,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.676
13:20:37:153, 73631410680825,    0.174,    6.000, 1300,   3.356,   0.678,   0.188,   0.653,   0.195,   0.054, 43,  0,   0.000,   0.000,   0.000,   0.241,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  180,  25.482
13:20:37:184, 73631498276051,    0.206,    3.000, 1200,   3.430,   0.785,   0.218,   0.793,   0.219,   0.061, 42,  0,   0.000,   0.000,   0.000,   0.297,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  27.368
13:20:37:216, 73631586569042,    0.237,    3.000, 1200,   3.959,   0.910,   0.253,   1.333,   0.261,   0.073, 42,  0,   0.000,   0.000,   0.000,   0.271,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  26.840
13:20:37:233, 73631634918697,    0.254,   12.000, 1200,   3.372,   0.968,   0.269,   0.885,   0.277,   0.077, 43,  0,   0.000,   0.000,   0.000,   0.290,   0.078,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  27.480
13:20:37:280, 73631766865766,    0.301,    9.000, 1300,   4.682,   1.188,   0.330,   1.603,   0.352,   0.098, 43,  0,   0.000,   0.000,   0.000,   0.254,   0.090,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  125,  61.573
