System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:22:53:966,7.40149E+13,0.022,7,1400,3.864,0.083,0.023,1.199,0.026,0.007,43,0,0,0,0,0.475,0.01,0.003,30,60,105,60,100,171,64.186
13:22:53:997,7.4015E+13,0.053,7,1300,3.774,0.201,0.056,0.571,0.044,0.012,42,0,0,0,0,0.286,0.019,0.005,30,60,105,60,100,140,72.694
13:22:54:029,7.40151E+13,0.084,4,1300,3.627,0.315,0.088,0.357,0.055,0.015,42,0,0,0,0,0.322,0.029,0.008,30,60,105,60,100,46,86.497
13:22:54:061,7.40152E+13,0.116,5,1300,3.898,0.439,0.122,0.697,0.077,0.021,42,0,0,0,0,0.238,0.037,0.01,30,60,105,60,100,573,22.166
13:22:54:092,7.40153E+13,0.148,4,1200,3.546,0.551,0.153,0.654,0.098,0.027,42,0,0,0,0,0.345,0.048,0.013,30,60,105,60,100,101,24.012
13:22:54:124,7.40154E+13,0.179,4,1200,3.508,0.663,0.184,0.529,0.115,0.032,42,0,0,0,0,0.303,0.057,0.016,30,60,105,60,100,51,48.713
13:22:54:155,7.40155E+13,0.211,4,1200,3.243,0.765,0.212,0.416,0.128,0.035,42,0,0,0,0,0.319,0.067,0.019,30,60,105,60,100,579,21.886
13:22:54:187,7.40155E+13,0.242,4,1200,3.705,0.881,0.245,0.797,0.153,0.042,43,0,0,0,0,0.297,0.077,0.021,30,60,105,60,100,94,25.646
13:22:54:218,7.40156E+13,0.273,4,1300,3.48,0.989,0.275,0.482,0.168,0.047,42,0,0,0,0,0.278,0.085,0.024,30,60,105,60,100,52,42.586
13:22:54:234,7.40157E+13,0.289,6,1200,4.228,1.057,0.294,0.958,0.183,0.051,42,0,0,0,0,0.385,0.092,0.025,30,60,105,60,100,182,42.347
13:22:54:265,7.40158E+13,0.321,3,1300,3.186,1.157,0.322,0.358,0.194,0.054,42,0,0,0,0,0.342,0.102,0.028,30,60,105,60,100,582,10.936
13:22:54:297,7.40159E+13,0.352,3,1200,4.056,1.284,0.357,1.086,0.228,0.063,42,0,0,0,0,0.274,0.111,0.031,30,60,105,60,100,112,23.667
13:22:54:328,7.40159E+13,0.384,9,1300,3.736,1.402,0.389,0.729,0.251,0.07,42,0,0,0,0,0.365,0.122,0.034,30,60,105,60,100,111,46.268
13:22:54:361,7.4016E+13,0.417,26,1300,4.312,1.544,0.429,1.055,0.286,0.079,42,0,0,0,0,0.337,0.133,0.037,30,60,105,60,100,258,40.128
13:22:54:379,7.40161E+13,0.434,5,1300,3.761,1.611,0.447,0.596,0.297,0.082,41,0,0,0,0,0.459,0.142,0.039,30,60,105,60,100,587,26.915
13:22:54:410,7.40162E+13,0.466,4,1200,3.775,1.729,0.48,0.529,0.313,0.087,42,0,0,0,0,0.327,0.152,0.042,30,60,105,60,100,208,23.609
13:22:54:442,7.40163E+13,0.497,4,1200,3.894,1.852,0.514,0.668,0.334,0.093,42,0,0,0,0,0.322,0.162,0.045,30,60,105,60,100,93,25.817
13:22:54:473,7.40163E+13,0.529,4,1200,3.914,1.975,0.549,0.922,0.363,0.101,42,0,0,0,0,0.381,0.174,0.048,30,60,105,60,100,163,21.725
13:22:54:504,7.40164E+13,0.56,6,1200,3.474,2.083,0.578,0.357,0.374,0.104,42,0,0,0,0,0.295,0.183,0.051,30,60,105,60,100,112,26.093
13:22:54:520,7.40165E+13,0.575,10,1300,4.274,2.15,0.597,1.832,0.403,0.112,42,0,0,0,0,0.311,0.188,0.052,30,60,105,60,100,72,34.294
13:22:54:536,7.40165E+13,0.592,7,1300,4.458,2.222,0.617,0.886,0.417,0.116,42,0,0,0,0,0.383,0.194,0.054,30,60,105,60,100,286,47.085
13:22:54:567,7.40166E+13,0.623,4,1300,3.393,2.329,0.647,0.756,0.441,0.123,43,0,0,0,0,0.323,0.204,0.057,30,60,105,60,100,580,21.601
13:22:54:599,7.40167E+13,0.654,3,1200,3.704,2.445,0.679,0.518,0.457,0.127,43,0,0,0,0,0.32,0.214,0.06,30,60,105,60,100,94,24.936
13:22:54:631,7.40168E+13,0.686,4,1300,3.601,2.559,0.711,0.469,0.472,0.131,42,0,0,0,0,0.288,0.224,0.062,30,60,105,60,100,62,53.344
13:22:54:662,7.40169E+13,0.717,4,1300,4.024,2.685,0.746,1.167,0.509,0.141,42,0,0,0,0,0.257,0.232,0.064,30,60,105,60,100,572,22.469
13:22:54:693,7.4017E+13,0.749,3,1200,4.593,2.829,0.786,1.007,0.54,0.15,41,0,0,0,0,0.347,0.242,0.067,30,60,105,60,100,108,27.194
13:22:54:725,7.40171E+13,0.781,3,1300,4.027,2.957,0.821,0.839,0.567,0.158,42,0,0,0,0,0.322,0.253,0.07,30,60,105,60,100,94,26.119
