System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:52:07:732, 24991527281843,    0.019,   26.000, 3500,  13.528,   0.258,   0.072,   9.309,   0.177,   0.049, 48,  0,   0.000,   0.000,   0.000,   0.250,   0.005,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  175,  65.075
14:52:07:763, 24991615348333,    0.050,   19.000, 3700,  12.768,   0.659,   0.183,   9.461,   0.474,   0.132, 49,  0,   0.000,   0.000,   0.000,   0.311,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  223,  64.880
14:52:07:779, 24991659242913,    0.066,   25.000, 4100,  10.462,   0.823,   0.228,   7.383,   0.590,   0.164, 51,  0,   0.000,   0.000,   0.000,   0.210,   0.018,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  24.073
14:52:07:807, 24991737309286,    0.094,   20.000, 4100,  13.384,   1.195,   0.332,   9.911,   0.866,   0.241, 53,  0,   0.000,   0.000,   0.000,   0.206,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  58.202
14:52:07:822, 24991780885415,    0.110,   18.000, 4100,  19.914,   1.505,   0.418,  16.200,   1.118,   0.311, 55,  0,   0.000,   0.000,   0.000,   0.448,   0.031,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  285,  46.869
14:52:07:853, 24991868408252,    0.141,   18.000, 4100,  15.582,   1.991,   0.553,  11.760,   1.485,   0.413, 50,  0,   0.000,   0.000,   0.000,   0.254,   0.038,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  22.765
14:52:07:869, 24991912387160,    0.156,   20.000, 4100,  15.390,   2.233,   0.620,  11.461,   1.665,   0.462, 51,  0,   0.000,   0.000,   0.000,   0.195,   0.042,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,   70,  53.431
14:52:07:963, 24992176825670,    0.251,   23.000, 3600,  13.570,   3.513,   0.976,   9.943,   2.603,   0.723, 55,  0,   0.000,   0.000,   0.000,   0.030,   0.044,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  22.772
14:52:08:026, 24992353756092,    0.314,   14.000, 4000,  14.559,   4.432,   1.231,  11.275,   3.315,   0.921, 56,  0,   0.000,   0.000,   0.000,   0.012,   0.045,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,    6,  87.207
14:52:08:105, 24992572682247,    0.392,   14.000, 3100,  13.655,   5.498,   1.527,  10.604,   4.143,   1.151, 49,  0,   0.000,   0.000,   0.000,   0.033,   0.048,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  87.701
