System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:55:03:863, 25485261179402,    0.030,   37.000, 2000,   8.961,   0.270,   0.075,   4.922,   0.149,   0.041, 47,  0,   0.000,   0.000,   0.000,   0.655,   0.020,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  274,  56.487
14:55:03:895, 25485348880361,    0.061,   32.000, 3800,  11.508,   0.630,   0.175,   6.664,   0.357,   0.099, 47,  0,   0.000,   0.000,   0.000,   0.371,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  318,  52.149
14:55:03:926, 25485437891196,    0.093,   28.000, 4000,   9.273,   0.925,   0.257,   5.701,   0.538,   0.149, 48,  0,   0.000,   0.000,   0.000,   0.096,   0.034,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  224,  36.243
14:55:03:942, 25485482843961,    0.109,   33.000, 1400,  18.779,   1.226,   0.341,  14.653,   0.773,   0.215, 49,  0,   0.000,   0.000,   0.000,   0.167,   0.037,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  43.538
14:55:03:958, 25485526451395,    0.125,   21.000, 4100,  19.857,   1.535,   0.426,  15.867,   1.020,   0.283, 51,  0,   0.000,   0.000,   0.000,   0.173,   0.040,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  181,  38.639
14:55:03:973, 25485570281655,    0.140,   17.000, 4000,  10.579,   1.700,   0.472,   7.190,   1.132,   0.315, 53,  0,   0.000,   0.000,   0.000,   0.219,   0.043,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  40.277
14:55:04:005, 25485657956772,    0.172,   16.000, 4100,  12.417,   2.089,   0.580,   9.281,   1.423,   0.395, 47,  0,   0.000,   0.000,   0.000,   0.101,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  44.299
14:55:04:021, 25485703246250,    0.188,   17.000, 3400,  11.413,   2.273,   0.631,   8.115,   1.554,   0.432, 51,  0,   0.000,   0.000,   0.000,   0.174,   0.049,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  47.246
14:55:04:037, 25485747584143,    0.204,   15.000, 3900,  12.275,   2.467,   0.685,   8.999,   1.696,   0.471, 55,  0,   0.000,   0.000,   0.000,   0.154,   0.052,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  40.777
14:55:04:147, 25486055705203,    0.314,   13.000, 4000,  11.865,   3.771,   1.048,   8.655,   2.647,   0.735, 55,  0,   0.000,   0.000,   0.000,   0.033,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  81.605
