System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:50:01:430,5.83939E+13,0.016,7,2900,7.73,0.127,0.035,4.56,0.075,0.021,41,0,0,0,0,0.365,0.006,0.002,30,60,105,60,100,48,86.802
11:50:01:446,5.8394E+13,0.032,4,2000,6.339,0.227,0.063,0.829,0.088,0.024,41,0,0,0,0,0.907,0.02,0.006,30,60,105,60,100,527,24.304
11:50:01:462,5.8394E+13,0.048,8,1200,3.379,0.28,0.078,0.53,0.096,0.027,41,0,0,0,0,0.276,0.025,0.007,30,60,105,60,100,136,34.634
11:50:01:494,5.83941E+13,0.079,9,1300,4.311,0.416,0.116,1.003,0.128,0.036,41,0,0,0,0,0.404,0.037,0.01,30,60,105,60,100,319,50.18
11:50:01:529,5.83942E+13,0.115,22,1300,4.189,0.563,0.156,1.313,0.174,0.048,41,0,0,0,0,0.313,0.048,0.013,30,60,105,60,100,228,51.108
11:50:01:560,5.83943E+13,0.147,8,1200,4.701,0.713,0.198,1.361,0.217,0.06,40,0,0,0,0,0.348,0.059,0.017,30,60,105,60,100,578,22.011
11:50:01:592,5.83944E+13,0.178,11,1300,4.981,0.869,0.241,2.182,0.286,0.079,41,0,0,0,0,0.129,0.063,0.018,30,60,105,60,100,51,42.448
11:50:01:623,5.83945E+13,0.209,4,1200,3.207,0.969,0.269,0.617,0.305,0.085,41,0,0,0,0,0.289,0.073,0.02,30,60,105,60,100,579,22.765
11:50:01:654,5.83946E+13,0.24,4,1100,3.411,1.076,0.299,0.589,0.323,0.09,41,0,0,0,0,0.343,0.083,0.023,30,60,105,60,100,94,24.458
11:50:01:686,5.83947E+13,0.272,4,1200,3.931,1.202,0.334,0.858,0.351,0.097,41,0,0,0,0,0.37,0.095,0.026,30,60,105,60,100,110,47.187
11:50:01:718,5.83947E+13,0.303,14,1400,4.422,1.339,0.372,1.832,0.408,0.113,40,0,0,0,0,0.13,0.099,0.028,30,60,105,60,100,570,21.957
11:50:01:749,5.83948E+13,0.335,13,3400,4.071,1.466,0.407,1.499,0.454,0.126,40,0,0,0,0,0.141,0.104,0.029,30,60,105,60,100,186,20.744
11:50:01:781,5.83949E+13,0.366,14,2000,5.412,1.638,0.455,3.119,0.554,0.154,41,0,0,0,0,0.119,0.107,0.03,30,60,105,60,100,56,60.594
