System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:52:43:545,5.88484E+13,0.016,8,3100,10.872,0.174,0.048,7.438,0.119,0.033,41,0,0,0,0,0.571,0.009,0.003,30,60,105,60,100,408,93.351
11:52:43:561,5.88484E+13,0.032,11,1700,6.37,0.273,0.076,1.506,0.143,0.04,41,0,0,0,0,0.51,0.017,0.005,30,60,105,60,100,52,89.423
11:52:43:592,5.88485E+13,0.063,23,1900,6.837,0.491,0.136,2.141,0.211,0.059,41,0,0,0,0,0.534,0.034,0.009,30,60,105,60,100,298,55.566
11:52:43:609,5.88486E+13,0.08,18,1300,4.202,0.561,0.156,1.463,0.235,0.065,41,0,0,0,0,0.132,0.036,0.01,30,60,105,60,100,378,23.584
11:52:43:640,5.88486E+13,0.111,4,1300,5.604,0.736,0.205,1.316,0.276,0.077,40,0,0,0,0,0.389,0.048,0.013,30,60,105,60,100,237,34.513
11:52:43:672,5.88487E+13,0.143,4,1200,3.82,0.856,0.238,0.615,0.296,0.082,41,0,0,0,0,0.342,0.059,0.016,30,60,105,60,100,103,27.294
11:52:43:704,5.88488E+13,0.175,4,1200,3.528,0.968,0.269,0.769,0.32,0.089,41,0,0,0,0,0.288,0.068,0.019,30,60,105,60,100,94,26.454
11:52:43:735,5.88489E+13,0.206,3,1200,2.891,1.059,0.294,0.455,0.334,0.093,41,0,0,0,0,0.319,0.078,0.022,30,60,105,60,100,93,22.699
11:52:43:766,5.8849E+13,0.237,14,1300,4.645,1.205,0.335,1.521,0.382,0.106,41,0,0,0,0,0.12,0.082,0.023,30,60,105,60,100,51,22.829
11:52:43:798,5.88491E+13,0.269,15,1300,4.803,1.355,0.376,2.058,0.447,0.124,42,0,0,0,0,0.074,0.084,0.023,30,60,105,60,100,579,21.719
11:52:43:830,5.88492E+13,0.301,14,1300,3.41,1.464,0.407,0.974,0.478,0.133,41,0,0,0,0,0.069,0.087,0.024,30,60,105,60,100,94,23.893
11:52:43:861,5.88493E+13,0.332,6,2200,7.08,1.688,0.469,3.446,0.587,0.163,40,0,0,0,0,0.22,0.094,0.026,30,60,105,60,100,61,58.074
11:52:43:893,5.88494E+13,0.364,3,1300,4.065,1.816,0.504,0.517,0.603,0.167,41,0,0,0,0,0.408,0.106,0.03,30,60,105,60,100,107,61.716
11:52:43:925,5.88494E+13,0.396,4,1300,3.242,1.919,0.533,0.34,0.614,0.17,41,0,0,0,0,0.229,0.114,0.032,30,60,105,60,100,578,22.845
11:52:43:956,5.88495E+13,0.428,4,1200,3.499,2.031,0.564,0.618,0.633,0.176,40,0,0,0,0,0.286,0.123,0.034,30,60,105,60,100,92,25.973
11:52:43:988,5.88496E+13,0.459,4,1200,3.574,2.143,0.595,0.528,0.65,0.181,41,0,0,0,0,0.313,0.133,0.037,30,60,105,60,100,93,23.207
11:52:44:019,5.88497E+13,0.49,4,1200,3.717,2.26,0.628,0.575,0.668,0.186,40,0,0,0,0,0.323,0.143,0.04,30,60,105,60,100,94,22.421
11:52:44:051,5.88498E+13,0.522,5,1200,3.983,2.385,0.663,0.791,0.693,0.192,41,0,0,0,0,0.33,0.153,0.043,30,60,105,60,100,94,23.643
11:52:44:082,5.88499E+13,0.553,14,1300,5.006,2.541,0.706,1.964,0.754,0.209,41,0,0,0,0,0.173,0.159,0.044,30,60,105,60,100,52,56.517
11:52:44:114,5.885E+13,0.585,9,1200,5.029,2.701,0.75,1.356,0.797,0.221,41,0,0,0,0,0.526,0.175,0.049,30,60,105,60,100,370,40.935
11:52:44:145,5.88501E+13,0.616,5,1300,3.656,2.815,0.782,0.587,0.815,0.227,40,0,0,0,0,0.264,0.184,0.051,30,60,105,60,100,722,21.65
11:52:44:176,5.88501E+13,0.647,5,1200,3.694,2.93,0.814,0.87,0.843,0.234,41,0,0,0,0,0.239,0.191,0.053,30,60,105,60,100,75,53.368
11:52:44:208,5.88502E+13,0.679,4,1200,3.648,3.046,0.846,0.927,0.872,0.242,41,0,0,0,0,0.255,0.199,0.055,30,60,105,60,100,722,21.693
11:52:44:239,5.88503E+13,0.71,3,1200,2.606,3.127,0.869,0.494,0.887,0.246,41,0,0,0,0,0.323,0.209,0.058,30,60,105,60,100,68,53.881
11:52:44:270,5.88504E+13,0.741,8,1300,3.895,3.249,0.903,1.274,0.927,0.258,40,0,0,0,0,0.203,0.216,0.06,30,60,105,60,100,723,21.49
11:52:44:302,5.88505E+13,0.773,4,1200,3.167,3.348,0.93,0.365,0.939,0.261,41,0,0,0,0,0.337,0.226,0.063,30,60,105,60,100,117,24.727
11:52:44:333,5.88506E+13,0.804,3,1100,3.386,3.456,0.96,0.62,0.958,0.266,41,0,0,0,0,0.314,0.236,0.066,30,60,105,60,100,117,23.436
