System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:59:58:582, 90342552205731,    0.015,   21.000, 2400,   6.374,   0.097,   0.027,   4.159,   0.064,   0.018, 35,  0,   0.000,   0.000,   0.000,   1.309,   0.020,   0.006,  30.000,  60.000,  87.500,  45.000,  67.000,  603,  65.694
14:59:58:598, 90342597025138,    0.031,   20.000, 2600,   7.902,   0.224,   0.062,   5.398,   0.150,   0.042, 36,  0,   0.000,   0.000,   0.000,   0.618,   0.030,   0.008,  30.000,  60.000,  87.500,  45.000,  67.000,  943,  54.979
14:59:58:613, 90342639856874,    0.047,    9.000, 2000,   2.433,   0.261,   0.072,   0.847,   0.163,   0.045, 36,  0,   0.000,   0.000,   0.000,   0.671,   0.040,   0.011,  30.000,  60.000,  87.500,  45.000,  67.000,  313,  63.995
14:59:58:629, 90342684506092,    0.062,   15.000, 1300,   3.709,   0.320,   0.089,   1.188,   0.182,   0.050, 36,  0,   0.000,   0.000,   0.000,   1.318,   0.061,   0.017,  30.000,  60.000,  87.500,  45.000,  67.000,  826,  68.162
14:59:58:660, 90342770875025,    0.093,   19.000, 1300,   5.109,   0.477,   0.133,   2.845,   0.269,   0.075, 36,  0,   0.000,   0.000,   0.000,   0.963,   0.091,   0.025,  30.000,  60.000,  87.500,  45.000,  67.000,  610,  68.543
14:59:58:723, 90342946534929,    0.156,   32.000, 2800,   4.552,   0.763,   0.212,   2.020,   0.396,   0.110, 36,  0,   0.000,   0.000,   0.000,   0.884,   0.146,   0.041,  30.000,  60.000,  87.500,  45.000,  67.000,  526,  73.633
14:59:58:753, 90343032869036,    0.187,   48.000, 1300,   4.812,   0.911,   0.253,   2.077,   0.460,   0.128, 36,  0,   0.000,   0.000,   0.000,   0.979,   0.176,   0.049,  30.000,  60.000,  87.500,  45.000,  67.000,  406,  80.349
14:59:58:816, 90343209732961,    0.250,   52.000, 1600,   7.570,   1.388,   0.386,   5.412,   0.801,   0.223, 36,  0,   0.000,   0.000,   0.000,   0.689,   0.220,   0.061,  30.000,  60.000,  87.500,  45.000,  67.000,  266,  89.469
14:59:58:863, 90343339361175,    0.296,   17.000, 1300,   3.496,   1.550,   0.431,   1.534,   0.872,   0.242, 35,  0,   0.000,   0.000,   0.000,   0.443,   0.240,   0.067,  30.000,  60.000,  87.500,  45.000,  67.000,  238,  90.954
14:59:58:894, 90343426009889,    0.327,   10.000, 2800,   2.832,   1.638,   0.455,   0.964,   0.902,   0.251, 35,  0,   0.000,   0.000,   0.000,   0.640,   0.260,   0.072,  30.000,  60.000,  87.500,  45.000,  67.000,  641,  64.811
14:59:58:924, 90343510668574,    0.357,    8.000, 2800,   3.088,   1.731,   0.481,   1.297,   0.941,   0.261, 35,  0,   0.000,   0.000,   0.000,   0.711,   0.282,   0.078,  30.000,  60.000,  87.500,  45.000,  67.000,  522,  69.874
14:59:58:955, 90343598106142,    0.388,    8.000, 1300,   2.544,   1.810,   0.503,   0.783,   0.966,   0.268, 36,  0,   0.000,   0.000,   0.000,   0.657,   0.302,   0.084,  30.000,  60.000,  87.500,  45.000,  67.000,  508,  61.037
14:59:58:986, 90343684474993,    0.419,    7.000, 1300,   1.335,   1.851,   0.514,   0.364,   0.977,   0.271, 36,  0,   0.000,   0.000,   0.000,   0.654,   0.322,   0.090,  30.000,  60.000,  87.500,  45.000,  67.000,  482,  73.130
14:59:59:017, 90343772186311,    0.450,    8.000, 2800,   2.979,   1.945,   0.540,   1.564,   1.026,   0.285, 36,  0,   0.000,   0.000,   0.000,   0.573,   0.340,   0.095,  30.000,  60.000,  87.500,  45.000,  67.000,  330,  82.194
14:59:59:033, 90343815889684,    0.466,    6.000, 1200,   3.238,   1.995,   0.554,   1.159,   1.044,   0.290, 35,  0,   0.000,   0.000,   0.000,   0.470,   0.348,   0.097,  30.000,  60.000,  87.500,  45.000,  67.000,  989,  44.614
14:59:59:063, 90343901416797,    0.497,   14.000, 1300,   4.483,   2.132,   0.592,   2.361,   1.116,   0.310, 35,  0,   0.000,   0.000,   0.000,   0.312,   0.357,   0.099,  30.000,  60.000,  87.500,  45.000,  67.000,  328,  68.446
14:59:59:346, 90344694741577,    0.780,   96.000, 1400,   5.098,   3.575,   0.993,   2.961,   1.954,   0.543, 36,  0,   0.000,   0.000,   0.000,   0.744,   0.568,   0.158,  30.000,  60.000,  87.500,  45.000,  67.000,  492,  71.616
14:59:59:392, 90344823840910,    0.826,   32.000, 1500,   5.082,   3.809,   1.058,   3.255,   2.104,   0.584, 37,  0,   0.000,   0.000,   0.000,   0.501,   0.591,   0.164,  30.000,  60.000,  87.500,  45.000,  67.000,  391,  78.372
