System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:57:53:752, 89992626349659,    0.021,   13.000, 1300,   2.620,   0.056,   0.016,   0.303,   0.006,   0.002, 36,  0,   0.000,   0.000,   0.000,   1.086,   0.023,   0.006,  30.000,  60.000,  87.500,  45.000,  67.000,  626,  65.088
14:57:53:783, 89992715542493,    0.053,    9.000, 1300,   3.167,   0.157,   0.044,   1.400,   0.051,   0.014, 36,  0,   0.000,   0.000,   0.000,   0.698,   0.045,   0.013,  30.000,  60.000,  87.500,  45.000,  67.000,  428,  80.767
14:57:53:814, 89992802493902,    0.084,    8.000, 1300,   5.122,   0.316,   0.088,   2.117,   0.117,   0.032, 37,  0,   0.000,   0.000,   0.000,   0.826,   0.071,   0.020,  30.000,  60.000,  87.500,  45.000,  67.000,  516,  64.838
14:57:53:845, 89992888354402,    0.115,    7.000, 1300,   3.882,   0.435,   0.121,   1.626,   0.167,   0.046, 36,  0,   0.000,   0.000,   0.000,   0.446,   0.085,   0.024,  30.000,  60.000,  87.500,  45.000,  67.000,  371,  79.904
14:57:53:877, 89992977665719,    0.147,    7.000, 1300,   4.573,   0.580,   0.161,   2.310,   0.240,   0.067, 37,  0,   0.000,   0.000,   0.000,   0.402,   0.098,   0.027,  30.000,  60.000,  87.500,  45.000,  67.000,  374,  78.633
14:57:53:907, 89993062911456,    0.177,    7.000, 1300,   2.023,   0.642,   0.178,   0.739,   0.263,   0.073, 36,  0,   0.000,   0.000,   0.000,   0.731,   0.120,   0.033,  30.000,  60.000,  87.500,  45.000,  67.000,  894,  62.999
14:57:53:938, 89993148817534,    0.208,    7.000, 1300,   2.500,   0.718,   0.200,   0.932,   0.291,   0.081, 36,  0,   0.000,   0.000,   0.000,   0.466,   0.134,   0.037,  30.000,  60.000,  87.500,  45.000,  67.000,  206,  67.783
14:57:53:969, 89993235867154,    0.239,    7.000, 1300,   2.252,   0.788,   0.219,   0.943,   0.320,   0.089, 36,  0,   0.000,   0.000,   0.000,   0.495,   0.149,   0.042,  30.000,  60.000,  87.500,  45.000,  67.000,  771,  60.765
14:57:54:001, 89993324685660,    0.270,    7.000, 1300,   2.175,   0.857,   0.238,   0.767,   0.345,   0.096, 35,  0,   0.000,   0.000,   0.000,   0.501,   0.165,   0.046,  30.000,  60.000,  87.500,  45.000,  67.000,  533,  45.709
14:57:54:032, 89993412148193,    0.302,    9.000, 1300,   3.832,   0.977,   0.271,   1.980,   0.406,   0.113, 35,  0,   0.000,   0.000,   0.000,   0.411,   0.178,   0.049,  30.000,  60.000,  87.500,  45.000,  67.000,  449,  49.509
14:57:54:062, 89993498096563,    0.332,   42.000, 1300,   2.638,   1.058,   0.294,   0.948,   0.436,   0.121, 36,  0,   0.000,   0.000,   0.000,   0.482,   0.193,   0.054,  30.000,  60.000,  87.500,  45.000,  67.000,  518,  53.544
14:57:54:124, 89993671575899,    0.394,   42.000, 1900,   6.134,   1.437,   0.399,   3.892,   0.676,   0.188, 35,  0,   0.000,   0.000,   0.000,   0.610,   0.231,   0.064,  30.000,  60.000,  87.500,  45.000,  67.000,  430,  68.175
14:57:54:172, 89993805341703,    0.442,   49.000, 1000,   4.767,   1.665,   0.462,   2.911,   0.815,   0.226, 36,  0,   0.000,   0.000,   0.000,   0.394,   0.249,   0.069,  30.000,  60.000,  87.500,  45.000,  67.000,  451,  66.127
