System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:00:48:211,5.01154E+13,0.027,7,2400,6.292,0.167,0.046,3.267,0.087,0.024,43,0,0,0,0,0.386,0.01,0.003,30,60,105,60,100,47,87.342
11:00:48:227,5.01155E+13,0.042,6,1600,6.266,0.265,0.074,2.327,0.123,0.034,42,0,0,0,0,0.428,0.017,0.005,30,60,105,60,100,568,21.754
11:00:48:258,5.01156E+13,0.074,8,1200,3.77,0.384,0.107,0.771,0.147,0.041,42,0,0,0,0,0.341,0.028,0.008,30,60,105,60,100,108,39.086
11:00:48:306,5.01157E+13,0.122,26,1300,4.686,0.609,0.169,1.695,0.229,0.064,43,0,0,0,0,0.254,0.04,0.011,30,60,105,60,100,197,67.2
11:00:48:338,5.01158E+13,0.153,16,1300,4.042,0.736,0.204,1.303,0.27,0.075,43,0,0,0,0,0.066,0.042,0.012,30,60,105,60,100,69,64.891
11:00:48:369,5.01159E+13,0.185,15,1400,3.421,0.844,0.234,0.93,0.299,0.083,42,0,0,0,0,0.058,0.044,0.012,30,60,105,60,100,85,71.55
11:00:48:385,5.01159E+13,0.2,11,2000,4.84,0.92,0.255,1.858,0.328,0.091,42,0,0,0,0,0.14,0.046,0.013,30,60,105,60,100,532,23.953
11:00:48:401,5.0116E+13,0.216,16,1300,4.895,0.996,0.277,1.642,0.354,0.098,42,0,0,0,0,0.346,0.051,0.014,30,60,105,60,100,172,29.08
11:00:48:448,5.01161E+13,0.263,28,1400,4.902,1.227,0.341,2.099,0.453,0.126,43,0,0,0,0,0.044,0.053,0.015,30,60,105,60,100,174,23.724
11:00:48:495,5.01162E+13,0.31,17,1600,5.011,1.464,0.407,2.644,0.578,0.161,43,0,0,0,0,0.049,0.056,0.015,30,60,105,60,100,38,52.642
11:00:48:527,5.01163E+13,0.342,7,1300,3.706,1.581,0.439,0.559,0.595,0.165,43,0,0,0,0,0.283,0.065,0.018,30,60,105,60,100,522,21.129
11:00:48:542,5.01164E+13,0.358,4,1300,3.766,1.64,0.455,0.863,0.609,0.169,43,0,0,0,0,0.288,0.069,0.019,30,60,105,60,100,99,27.767
11:00:48:558,5.01164E+13,0.374,19,1300,3.072,1.689,0.469,0.327,0.614,0.171,43,0,0,0,0,0.106,0.071,0.02,30,60,105,60,100,172,24.775
11:00:48:590,5.01165E+13,0.405,15,1300,3.534,1.8,0.5,1.53,0.662,0.184,42,0,0,0,0,0.066,0.073,0.02,30,60,105,60,100,167,23.804
11:00:48:605,5.01165E+13,0.42,15,1400,4.525,1.87,0.519,1.693,0.688,0.191,42,0,0,0,0,0.134,0.075,0.021,30,60,105,60,100,86,30.269
11:00:48:652,5.01167E+13,0.467,14,1400,5.105,2.11,0.586,2.364,0.8,0.222,42,0,0,0,0,0.052,0.078,0.022,30,60,105,60,100,174,25.893
