System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:58:46:421, 49774034917402,    0.020,   10.000, 2200,   3.654,   0.073,   0.020,   0.770,   0.015,   0.004, 43,  0,   0.000,   0.000,   0.000,   0.403,   0.008,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,   42,  86.594
10:58:46:436, 49774078567164,    0.036,    8.000, 1600,   5.684,   0.161,   0.045,   1.842,   0.044,   0.012, 43,  0,   0.000,   0.000,   0.000,   0.392,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  567,  23.434
10:58:46:452, 49774122652065,    0.051,   12.000, 1300,   4.452,   0.232,   0.064,   1.056,   0.061,   0.017, 43,  0,   0.000,   0.000,   0.000,   0.466,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  257,  31.404
10:58:46:502, 49774263349504,    0.101,   12.000, 1300,   4.729,   0.469,   0.130,   1.685,   0.145,   0.040, 43,  0,   0.000,   0.000,   0.000,   0.338,   0.038,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  166,  60.858
10:58:46:534, 49774351315844,    0.133,    4.000, 1200,   3.964,   0.593,   0.165,   1.155,   0.182,   0.050, 43,  0,   0.000,   0.000,   0.000,   0.319,   0.048,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  252,  28.176
10:58:46:565, 49774438989430,    0.164,    4.000, 1200,   3.251,   0.695,   0.193,   0.656,   0.202,   0.056, 43,  0,   0.000,   0.000,   0.000,   0.304,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  22.388
10:58:46:596, 49774527071396,    0.196,    4.000, 1100,   3.092,   0.792,   0.220,   0.451,   0.216,   0.060, 42,  0,   0.000,   0.000,   0.000,   0.295,   0.067,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  26.423
10:58:46:628, 49774615190530,    0.227,    3.000, 1200,   3.516,   0.903,   0.251,   0.769,   0.240,   0.067, 42,  0,   0.000,   0.000,   0.000,   0.295,   0.077,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  23.875
10:58:46:659, 49774702537225,    0.258,    4.000, 1200,   3.352,   1.007,   0.280,   0.290,   0.249,   0.069, 42,  0,   0.000,   0.000,   0.000,   0.345,   0.087,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  24.598
10:58:46:690, 49774790127750,    0.289,    6.000, 1200,   3.858,   1.128,   0.313,   0.488,   0.265,   0.074, 42,  0,   0.000,   0.000,   0.000,   0.367,   0.099,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  46.006
10:58:46:722, 49774879984648,    0.321,    4.000, 1200,   3.334,   1.234,   0.343,   0.503,   0.281,   0.078, 42,  0,   0.000,   0.000,   0.000,   0.354,   0.110,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.310
10:58:46:754, 49774967430675,    0.353,    4.000, 1200,   3.132,   1.332,   0.370,   0.368,   0.292,   0.081, 42,  0,   0.000,   0.000,   0.000,   0.399,   0.123,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,  111,  37.542
10:58:46:785, 49775054657558,    0.384,    7.000, 1200,   3.484,   1.441,   0.400,   1.236,   0.331,   0.092, 42,  0,   0.000,   0.000,   0.000,   0.216,   0.129,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  20.672
10:58:46:816, 49775143902089,    0.416,    4.000, 1200,   3.673,   1.558,   0.433,   0.993,   0.362,   0.101, 42,  0,   0.000,   0.000,   0.000,   0.284,   0.138,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  23.196
10:58:46:848, 49775233061678,    0.447,    5.000, 1200,   3.201,   1.659,   0.461,   0.422,   0.376,   0.104, 42,  0,   0.000,   0.000,   0.000,   0.330,   0.149,   0.041,  30.000,  60.000, 105.000,  60.000, 100.000,  102,  44.331
10:58:46:880, 49775320714136,    0.479,    4.000, 1200,   3.691,   1.775,   0.493,   0.668,   0.397,   0.110, 42,  0,   0.000,   0.000,   0.000,   0.351,   0.160,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  11.471
10:58:46:911, 49775410062134,    0.511,    3.000, 1100,   3.652,   1.891,   0.525,   0.701,   0.419,   0.116, 42,  0,   0.000,   0.000,   0.000,   0.391,   0.172,   0.048,  30.000,  60.000, 105.000,  60.000, 100.000,  114,  48.894
10:58:46:943, 49775497846809,    0.542,    6.000, 1300,   3.530,   2.002,   0.556,   0.752,   0.443,   0.123, 42,  0,   0.000,   0.000,   0.000,   0.316,   0.182,   0.051,  30.000,  60.000, 105.000,  60.000, 100.000,  191,  65.156
