System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:50:40:676, 73860381392010,    0.022,   22.000, 3900,  12.655,   0.285,   0.079,   9.903,   0.223,   0.062, 53,  0,   0.000,   0.000,   0.000,   0.255,   0.006,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  21.699
11:50:40:692, 73860425256294,    0.038,   33.000, 3900,  24.768,   0.672,   0.187,  19.979,   0.535,   0.149, 54,  0,   0.000,   0.000,   0.000,   0.374,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  135,  45.124
11:50:40:708, 73860469036049,    0.054,   17.000, 4100,  24.074,   1.048,   0.291,  20.181,   0.850,   0.236, 55,  0,   0.000,   0.000,   0.000,   0.180,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  22.991
11:50:40:723, 73860512846078,    0.069,   22.000, 4000,  16.016,   1.298,   0.361,  12.544,   1.047,   0.291, 55,  0,   0.000,   0.000,   0.000,   0.305,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  232,  49.905
11:50:40:751, 73860590588187,    0.097,   20.000, 4000,  22.162,   1.913,   0.531,  17.809,   1.540,   0.428, 55,  0,   0.000,   0.000,   0.000,   0.070,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  214,  42.265
11:50:40:767, 73860634335586,    0.113,   15.000, 4000,  15.738,   2.159,   0.600,  11.921,   1.726,   0.480, 53,  0,   0.000,   0.000,   0.000,   0.493,   0.029,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  141,  62.899
11:50:40:782, 73860678292084,    0.128,   16.000, 4100,  16.706,   2.421,   0.672,  13.039,   1.931,   0.536, 55,  0,   0.000,   0.000,   0.000,   0.156,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  218,  38.658
11:50:40:798, 73860722006627,    0.144,   15.000, 3800,  17.984,   2.701,   0.750,  14.873,   2.163,   0.601, 57,  0,   0.000,   0.000,   0.000,   0.102,   0.033,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  42.014
11:50:40:814, 73860765766704,    0.160,   15.000, 3900,  22.321,   3.049,   0.847,  18.845,   2.457,   0.683, 56,  0,   0.000,   0.000,   0.000,   0.438,   0.040,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  39.350
11:50:40:829, 73860809576527,    0.175,   14.000, 4000,  18.664,   3.341,   0.928,  15.364,   2.697,   0.749, 56,  0,   0.000,   0.000,   0.000,   0.102,   0.041,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  41.829
