System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:47:05:881, 73258264229787,    0.031,   74.000, 2600,  32.516,   1.010,   0.280,  28.301,   0.879,   0.244, 59,  0,   0.000,   0.000,   0.000,   0.122,   0.004,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  22.555
11:47:05:896, 73258308535741,    0.047,   59.000, 3300,  29.140,   1.470,   0.408,  24.954,   1.273,   0.354, 57,  0,   0.000,   0.000,   0.000,   0.193,   0.007,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  102,  44.829
11:47:05:928, 73258396141568,    0.078,   52.000, 3900,  23.172,   2.194,   0.610,  19.061,   1.869,   0.519, 57,  0,   0.000,   0.000,   0.000,   0.176,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  289,  45.894
11:47:05:959, 73258484815988,    0.110,   72.000, 3600,  25.037,   2.986,   0.830,  20.927,   2.531,   0.703, 58,  0,   0.000,   0.000,   0.000,   0.174,   0.018,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  113,  49.598
11:47:05:991, 73258573586922,    0.141,   51.000, 3900,  22.354,   3.694,   1.026,  18.298,   3.110,   0.864, 57,  0,   0.000,   0.000,   0.000,   0.089,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  45.461
11:47:06:023, 73258662576575,    0.173,   61.000, 4000,  15.512,   4.187,   1.163,  11.582,   3.478,   0.966, 56,  0,   0.000,   0.000,   0.000,   0.085,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  48.259
11:47:06:039, 73258707447883,    0.189,   29.000, 3000,  10.043,   4.347,   1.208,   6.101,   3.576,   0.993, 58,  0,   0.000,   0.000,   0.000,   0.130,   0.025,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  46.944
11:47:06:102, 73258884326902,    0.252,   54.000, 1400,  19.594,   5.584,   1.551,  15.777,   4.571,   1.270, 55,  0,   0.000,   0.000,   0.000,   0.044,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  39.775
11:47:06:165, 73259062676088,    0.316,   83.000, 3800,  15.516,   6.571,   1.825,  11.844,   5.325,   1.479, 58,  0,   0.000,   0.000,   0.000,   0.048,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,   30,  66.629
11:47:06:213, 73259195743674,    0.363,   70.000, 3800,  14.026,   7.237,   2.010,   9.947,   5.797,   1.610, 61,  0,   0.000,   0.000,   0.000,   0.139,   0.038,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  567,  23.663
