System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:15:19:466,3.23756E+13,0.03,21,1500,5.586,0.167,0.046,2.938,0.088,0.024,43,0,0,0,0,0.151,0.005,0.001,30,60,105,60,100,26,85.286
09:15:19:497,3.23757E+13,0.061,21,1800,6.139,0.358,0.099,1.999,0.15,0.042,44,0,0,0,0,0.306,0.014,0.004,30,60,105,60,100,314,50.68
09:15:19:513,3.23757E+13,0.077,21,1300,4.134,0.422,0.117,1.036,0.166,0.046,43,0,0,0,0,0.173,0.017,0.005,30,60,105,60,100,215,29.013
09:15:19:528,3.23758E+13,0.092,22,2600,4.214,0.489,0.136,1.368,0.188,0.052,43,0,0,0,0,0.156,0.019,0.005,30,60,105,60,100,189,26.922
09:15:19:544,3.23758E+13,0.108,17,2300,7.618,0.611,0.17,4.696,0.263,0.073,44,0,0,0,0,0.175,0.022,0.006,30,60,105,60,100,111,52.015
09:15:19:560,3.23759E+13,0.124,14,1300,4.53,0.683,0.19,0.95,0.278,0.077,43,0,0,0,0,0.322,0.027,0.008,30,60,105,60,100,579,22.253
09:15:19:591,3.2376E+13,0.155,16,1300,4.074,0.81,0.225,1.092,0.312,0.087,42,0,0,0,0,0.07,0.029,0.008,30,60,105,60,100,184,23.751
09:15:19:608,3.2376E+13,0.172,16,1300,5.296,0.899,0.25,1.519,0.338,0.094,43,0,0,0,0,0.298,0.034,0.01,30,60,105,60,100,76,43.171
09:15:19:625,3.2376E+13,0.189,17,1300,5.893,0.998,0.277,1.428,0.362,0.101,43,0,0,0,0,0.449,0.042,0.012,30,60,105,60,100,583,22.168
09:15:19:657,3.23761E+13,0.221,34,2100,5.819,1.182,0.328,2.841,0.451,0.125,43,0,0,0,0,0.19,0.048,0.013,30,60,105,60,100,266,28.526
09:15:19:720,3.23763E+13,0.284,9,2500,11.373,1.9,0.528,7.543,0.927,0.258,43,0,0,0,0,0.112,0.055,0.015,30,60,105,60,100,42,71.833
09:15:19:751,3.23764E+13,0.315,55,1500,6.211,2.095,0.582,3.078,1.024,0.284,42,0,0,0,0,0.167,0.06,0.017,30,60,105,60,100,571,22.062
09:15:19:845,3.23767E+13,0.409,85,4000,17.935,3.787,1.052,14.176,2.362,0.656,48,0,0,0,0,0.021,0.062,0.017,30,60,105,60,100,108,21.598
09:15:19:861,3.23767E+13,0.425,8,2000,7.616,3.907,1.085,4.054,2.425,0.674,44,0,0,0,0,0.364,0.068,0.019,30,60,105,60,100,31,47.879
09:15:19:877,3.23768E+13,0.441,25,1400,5.219,3.988,1.108,2.081,2.458,0.683,44,0,0,0,0,0.218,0.071,0.02,30,60,105,60,100,186,31.661
09:15:19:971,3.2377E+13,0.535,31,2300,8.773,4.814,1.337,5.928,3.016,0.838,44,0,0,0,0,0.035,0.075,0.021,30,60,105,60,100,187,30.056
09:15:20:018,3.23771E+13,0.582,12,1300,6.204,5.105,1.418,3.087,3.161,0.878,43,0,0,0,0,0.237,0.086,0.024,30,60,105,60,100,66,44.063
09:15:20:049,3.23772E+13,0.613,11,1300,3.313,5.209,1.447,1.189,3.198,0.888,43,0,0,0,0,0.125,0.09,0.025,30,60,105,60,100,65,56.337
09:15:20:081,3.23773E+13,0.645,16,1300,4.011,5.335,1.482,1.326,3.24,0.9,43,0,0,0,0,0.179,0.095,0.026,30,60,105,60,100,570,24.525
09:15:20:124,3.23774E+13,0.688,16,1300,6.079,5.598,1.555,2.687,3.356,0.932,43,0,0,0,0,0.093,0.099,0.028,30,60,105,60,100,108,25.866
09:15:20:140,3.23775E+13,0.704,7,1300,3.761,5.659,1.572,0.475,3.364,0.934,43,0,0,0,0,0.505,0.107,0.03,30,60,105,60,100,104,51.637
09:15:20:171,3.23776E+13,0.735,4,1300,3.922,5.782,1.606,0.821,3.39,0.942,43,0,0,0,0,0.296,0.117,0.032,30,60,105,60,100,226,25.38
09:15:20:203,3.23777E+13,0.767,6,1200,3.809,5.901,1.639,0.889,3.417,0.949,43,0,0,0,0,0.231,0.124,0.034,30,60,105,60,100,93,27.832
09:15:20:234,3.23778E+13,0.798,4,1200,3.566,6.012,1.67,0.824,3.443,0.956,42,0,0,0,0,0.293,0.133,0.037,30,60,105,60,100,94,23.278
09:15:20:250,3.23778E+13,0.814,5,1200,3.019,6.062,1.684,0.359,3.449,0.958,43,0,0,0,0,0.306,0.138,0.038,30,60,105,60,100,94,23.549
09:15:20:282,3.23779E+13,0.846,4,1200,3.358,6.167,1.713,1.018,3.481,0.967,43,0,0,0,0,0.334,0.149,0.041,30,60,105,60,100,180,26.369
09:15:20:313,3.2378E+13,0.877,4,1200,4.528,6.308,1.752,1.283,3.521,0.978,42,0,0,0,0,0.29,0.158,0.044,30,60,105,60,100,93,27.891
09:15:20:344,3.23781E+13,0.908,3,1300,3.827,6.429,1.786,0.683,3.542,0.984,42,0,0,0,0,0.349,0.169,0.047,30,60,105,60,100,94,23.892
09:15:20:376,3.23781E+13,0.94,19,1300,4.468,6.569,1.825,1.737,3.597,0.999,43,0,0,0,0,0.125,0.172,0.048,30,60,105,60,100,62,55.26
09:15:20:438,3.23783E+13,1.002,7,1300,4.304,6.839,1.9,1.659,3.701,1.028,43,0,0,0,0,0.162,0.183,0.051,30,60,105,60,100,570,21.04
09:15:20:470,3.23784E+13,1.034,6,1300,3.728,6.956,1.932,0.451,3.715,1.032,43,0,0,0,0,0.319,0.193,0.054,30,60,105,60,100,50,25.756
09:15:20:485,3.23785E+13,1.049,17,1300,4.285,7.022,1.951,1.604,3.74,1.039,43,0,0,0,0,0.149,0.195,0.054,30,60,105,60,100,93,23.499
09:15:20:501,3.23785E+13,1.065,15,1400,4.054,7.086,1.968,1.514,3.764,1.045,43,0,0,0,0,0.318,0.2,0.056,30,60,105,60,100,189,23.248
09:15:20:532,3.23786E+13,1.096,8,1300,3.866,7.207,2.002,0.882,3.791,1.053,42,0,0,0,0,0.265,0.208,0.058,30,60,105,60,100,186,24.363
09:15:20:548,3.23786E+13,1.112,5,1300,3.267,7.26,2.017,0.165,3.794,1.054,42,0,0,0,0,0.556,0.217,0.06,30,60,105,60,100,135,40.522
09:15:20:580,3.23787E+13,1.144,3,1200,3.308,7.364,2.046,0.497,3.81,1.058,42,0,0,0,0,0.377,0.229,0.064,30,60,105,60,100,201,25.471
09:15:20:617,3.23788E+13,1.181,14,1300,4.814,7.542,2.095,1.606,3.869,1.075,42,0,0,0,0,0.135,0.234,0.065,30,60,105,60,100,43,46.777
09:15:20:636,3.23789E+13,1.2,7,1300,4.566,7.627,2.119,1.072,3.889,1.08,42,0,0,0,0,0.618,0.246,0.068,30,60,105,60,100,538,28.101
09:15:20:652,3.23789E+13,1.216,6,1300,4.624,7.702,2.139,1.516,3.914,1.087,43,0,0,0,0,0.495,0.254,0.07,30,60,105,60,100,249,36.344
09:15:20:683,3.2379E+13,1.247,5,1200,3.978,7.826,2.174,0.934,3.943,1.095,42,0,0,0,0,0.301,0.263,0.073,30,60,105,60,100,87,66.133
09:15:20:715,3.23791E+13,1.279,6,1300,4.164,7.959,2.211,1.016,3.975,1.104,42,0,0,0,0,0.25,0.271,0.075,30,60,105,60,100,571,22.282
09:15:20:746,3.23792E+13,1.31,3,1200,3.945,8.083,2.245,0.719,3.998,1.111,42,0,0,0,0,0.301,0.281,0.078,30,60,105,60,100,106,24.124
09:15:20:778,3.23793E+13,1.342,3,1200,3.532,8.194,2.276,0.512,4.014,1.115,42,0,0,0,0,0.329,0.291,0.081,30,60,105,60,100,93,24.788
09:15:20:809,3.23794E+13,1.373,3,1200,3.297,8.298,2.305,0.381,4.026,1.118,42,0,0,0,0,0.304,0.3,0.083,30,60,105,60,100,93,23.7
09:15:20:841,3.23795E+13,1.405,3,1300,2.947,8.39,2.331,0.657,4.047,1.124,42,0,0,0,0,0.319,0.31,0.086,30,60,105,60,100,94,24.802
09:15:20:872,3.23795E+13,1.436,7,1200,3.446,8.498,2.361,0.732,4.069,1.13,42,0,0,0,0,0.347,0.321,0.089,30,60,105,60,100,93,25.436
09:15:20:903,3.23796E+13,1.467,13,1300,4.593,8.642,2.401,1.629,4.12,1.145,42,0,0,0,0,0.207,0.328,0.091,30,60,105,60,100,162,24.122
09:15:20:935,3.23797E+13,1.498,3,1300,3.453,8.75,2.43,0.434,4.134,1.148,42,0,0,0,0,0.309,0.337,0.094,30,60,105,60,100,56,34.056
09:15:20:951,3.23798E+13,1.515,5,1300,4.322,8.82,2.45,0.991,4.15,1.153,42,0,0,0,0,0.345,0.343,0.095,30,60,105,60,100,579,23.729
09:15:20:982,3.23798E+13,1.546,4,1300,3.986,8.944,2.485,0.762,4.174,1.159,42,0,0,0,0,0.32,0.353,0.098,30,60,105,60,100,180,26.823
09:15:21:013,3.23799E+13,1.577,4,1200,4.438,9.083,2.523,1.073,4.207,1.169,43,0,0,0,0,0.312,0.363,0.101,30,60,105,60,100,62,53.785
09:15:21:045,3.238E+13,1.609,9,1300,3.534,9.196,2.554,1.01,4.24,1.178,42,0,0,0,0,0.207,0.369,0.103,30,60,105,60,100,570,22.16
09:15:21:077,3.23801E+13,1.64,9,1300,4.431,9.335,2.593,1.226,4.278,1.188,43,0,0,0,0,0.409,0.382,0.106,30,60,105,60,100,168,40.262
09:15:21:108,3.23802E+13,1.672,8,1200,3.834,9.455,2.626,0.722,4.301,1.195,43,0,0,0,0,0.378,0.394,0.109,30,60,105,60,100,218,21.692
09:15:21:141,3.23803E+13,1.705,14,1200,4.432,9.601,2.667,1.483,4.349,1.208,42,0,0,0,0,0.13,0.398,0.111,30,60,105,60,100,58,56.636
09:15:21:158,3.23803E+13,1.721,14,1300,5.195,9.688,2.691,1.69,4.378,1.216,42,0,0,0,0,0.503,0.407,0.113,30,60,105,60,100,534,23.163
09:15:21:189,3.23804E+13,1.753,4,1300,4.283,9.822,2.728,1.256,4.417,1.227,42,0,0,0,0,0.317,0.417,0.116,30,60,105,60,100,118,52.917
09:15:21:220,3.23805E+13,1.784,4,1200,3.321,9.925,2.757,0.496,4.432,1.231,42,0,0,0,0,0.324,0.427,0.119,30,60,105,60,100,583,12.232
09:15:21:252,3.23806E+13,1.815,3,1300,4.101,10.054,2.793,1.147,4.469,1.241,42,0,0,0,0,0.35,0.438,0.122,30,60,105,60,100,188,19.002
09:15:21:283,3.23807E+13,1.847,3,1200,3.121,10.152,2.82,0.458,4.483,1.245,42,0,0,0,0,0.357,0.449,0.125,30,60,105,60,100,113,26.763
09:15:21:314,3.23808E+13,1.878,4,1300,3.144,10.251,2.847,0.426,4.496,1.249,42,0,0,0,0,0.348,0.46,0.128,30,60,105,60,100,111,46.999
09:15:21:346,3.23809E+13,1.91,3,1300,3.627,10.365,2.879,0.708,4.519,1.255,42,0,0,0,0,0.325,0.47,0.131,30,60,105,60,100,571,21.435
09:15:21:361,3.23809E+13,1.925,7,1300,4.341,10.433,2.898,0.845,4.532,1.259,42,0,0,0,0,0.318,0.475,0.132,30,60,105,60,100,107,23.667
09:15:21:393,3.2381E+13,1.957,3,1200,2.799,10.521,2.922,0.495,4.547,1.263,43,0,0,0,0,0.347,0.486,0.135,30,60,105,60,100,71,50.599
