System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
09:13:12:374,3.20194E+13,0.029,42,1800,10.637,0.305,0.085,7.986,0.229,0.064,47,0,0,0,0,0.077,0.002,0.001,30,60,105,60,100,27,86.069
09:13:12:406,3.20195E+13,0.06,62,3200,21.804,0.991,0.275,18.056,0.797,0.221,52,0,0,0,0,0.326,0.012,0.003,30,60,105,60,100,318,35.497
09:13:12:472,3.20197E+13,0.126,121,3000,20.771,2.356,0.654,17.111,1.922,0.534,54,0,0,0,0,0.117,0.02,0.006,30,60,105,60,100,216,49.991
09:13:12:503,3.20198E+13,0.157,47,4000,20.509,3.001,0.834,17.068,2.458,0.683,48,0,0,0,0,0.097,0.023,0.006,30,60,105,60,100,61,50.002
09:13:12:519,3.20198E+13,0.173,21,3800,11.186,3.181,0.884,7.265,2.575,0.715,52,0,0,0,0,0.394,0.03,0.008,30,60,105,60,100,93,48.132
09:13:12:636,3.20201E+13,0.29,58,2700,9.423,4.277,1.188,6.333,3.312,0.92,46,0,0,0,0,0.104,0.042,0.012,30,60,105,60,100,37,84.657
09:13:12:651,3.20202E+13,0.305,10,1500,3.878,4.338,1.205,1.416,3.334,0.926,46,0,0,0,0,0.031,0.042,0.012,30,60,105,60,100,42,81.006
09:13:12:683,3.20203E+13,0.337,3,1600,4.272,4.472,1.242,1.693,3.387,0.941,46,0,0,0,0,0.136,0.046,0.013,30,60,105,60,100,568,24.569
09:13:12:698,3.20203E+13,0.352,5,1400,4.057,4.536,1.26,1.584,3.412,0.948,46,0,0,0,0,0.233,0.05,0.014,30,60,105,60,100,102,29.784
09:13:12:714,3.20204E+13,0.369,20,1300,4.829,4.614,1.282,1.797,3.441,0.956,45,0,0,0,0,0.113,0.052,0.014,30,60,105,60,100,187,27.879
09:13:12:730,3.20204E+13,0.384,20,1300,3.697,4.672,1.298,1.165,3.459,0.961,46,0,0,0,0,0.132,0.054,0.015,30,60,105,60,100,182,25.178
09:13:12:746,3.20204E+13,0.4,25,1400,5.267,4.754,1.321,2.397,3.497,0.971,46,0,0,0,0,0.141,0.056,0.016,30,60,105,60,100,187,25.961
09:13:12:761,3.20205E+13,0.416,13,1400,1.733,4.781,1.328,0.257,3.501,0.972,46,0,0,0,0,0.257,0.06,0.017,30,60,105,60,100,188,26.534
09:13:12:824,3.20207E+13,0.478,9,1300,3.678,5.012,1.392,1.113,3.571,0.992,46,0,0,0,0,0.097,0.066,0.018,30,60,105,60,100,187,23.715
09:13:12:855,3.20207E+13,0.51,3,1200,3.411,5.118,1.422,0.523,3.587,0.996,45,0,0,0,0,0.332,0.077,0.021,30,60,105,60,100,46,24.423
09:13:12:887,3.20208E+13,0.541,37,1300,4.033,5.244,1.457,1.257,3.626,1.007,44,0,0,0,0,0.161,0.082,0.023,30,60,105,60,100,94,24.219
09:13:12:918,3.20209E+13,0.572,17,1300,7.914,5.492,1.525,4.213,3.758,1.044,45,0,0,0,0,0.453,0.096,0.027,30,60,105,60,100,123,44.324
09:13:12:949,3.2021E+13,0.604,15,1300,4.025,5.619,1.561,0.959,3.788,1.052,45,0,0,0,0,0.197,0.102,0.028,30,60,105,60,100,578,21.686
09:13:12:981,3.20211E+13,0.635,7,1200,3.788,5.737,1.594,0.673,3.809,1.058,45,0,0,0,0,0.286,0.111,0.031,30,60,105,60,100,106,26.078
09:13:13:012,3.20212E+13,0.666,9,1400,5.091,5.896,1.638,1.982,3.871,1.075,45,0,0,0,0,0.176,0.116,0.032,30,60,105,60,100,94,25.182
09:13:13:043,3.20213E+13,0.697,11,1300,2.865,5.986,1.663,0.353,3.882,1.078,44,0,0,0,0,0.311,0.126,0.035,30,60,105,60,100,94,25.094
09:13:13:059,3.20213E+13,0.713,22,1300,6.219,6.085,1.69,3.138,3.932,1.092,45,0,0,0,0,0.131,0.128,0.036,30,60,105,60,100,93,28.779
09:13:13:092,3.20214E+13,0.746,18,1300,3.306,6.194,1.72,0.515,3.949,1.097,45,0,0,0,0,0.133,0.133,0.037,30,60,105,60,100,185,25.789
09:13:13:108,3.20215E+13,0.762,14,1300,4.276,6.261,1.739,1.057,3.966,1.102,44,0,0,0,0,0.27,0.137,0.038,30,60,105,60,100,68,42.841
