System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:23:57:644, 84284987105445,    0.031,   15.000, 1300,   4.944,   0.151,   0.042,   1.650,   0.051,   0.014, 42,  0,   0.000,   0.000,   0.000,   0.303,   0.009,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  508,  26.393
14:23:57:675, 84285075814984,    0.062,   20.000, 2000,   4.631,   0.298,   0.083,   1.902,   0.111,   0.031, 41,  0,   0.000,   0.000,   0.000,   0.247,   0.017,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  149,  44.771
14:23:57:707, 84285165912668,    0.094,   14.000, 1500,   5.122,   0.463,   0.128,   1.937,   0.173,   0.048, 41,  0,   0.000,   0.000,   0.000,   0.273,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  140,  75.000
14:23:57:725, 84285215929555,    0.112,    5.000, 1300,   4.365,   0.540,   0.150,   0.650,   0.185,   0.051, 42,  0,   0.000,   0.000,   0.000,   0.540,   0.036,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  588,  27.365
14:23:57:757, 84285303646585,    0.144,    3.000, 1200,   3.441,   0.648,   0.180,   0.589,   0.203,   0.056, 42,  0,   0.000,   0.000,   0.000,   0.320,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   72,  59.606
14:23:57:788, 84285391328404,    0.175,    4.000, 1200,   3.237,   0.749,   0.208,   0.484,   0.218,   0.061, 42,  0,   0.000,   0.000,   0.000,   0.242,   0.053,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  21.602
14:23:57:819, 84285479457628,    0.206,    4.000, 1200,   4.110,   0.879,   0.244,   0.924,   0.247,   0.069, 42,  0,   0.000,   0.000,   0.000,   0.346,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  20.795
14:23:57:850, 84285566966603,    0.237,    5.000, 1300,   3.343,   0.983,   0.273,   0.254,   0.255,   0.071, 42,  0,   0.000,   0.000,   0.000,   0.254,   0.072,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  24.205
14:23:57:882, 84285654726829,    0.269,    3.000, 1300,   3.687,   1.098,   0.305,   0.690,   0.277,   0.077, 41,  0,   0.000,   0.000,   0.000,   0.363,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  19.796
14:23:57:914, 84285744383935,    0.301,    5.000, 1200,   3.216,   1.201,   0.334,   0.412,   0.290,   0.081, 41,  0,   0.000,   0.000,   0.000,   0.290,   0.093,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,   67,  57.072
