System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:25:56:216, 84617371025682,    0.026,    6.000, 1500,   6.699,   0.174,   0.048,   3.584,   0.093,   0.026, 42,  0,   0.000,   0.000,   0.000,   0.188,   0.005,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,   35,  85.752
14:25:56:247, 84617458265089,    0.057,   13.000, 1400,   4.823,   0.324,   0.090,   1.734,   0.147,   0.041, 42,  0,   0.000,   0.000,   0.000,   0.239,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  246,  42.321
14:25:56:279, 84617547283166,    0.089,   14.000, 1600,   4.868,   0.479,   0.133,   2.287,   0.220,   0.061, 42,  0,   0.000,   0.000,   0.000,   0.073,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  22.917
14:25:56:312, 84617638716238,    0.122,   26.000, 1500,   5.584,   0.661,   0.184,   2.736,   0.309,   0.086, 42,  0,   0.000,   0.000,   0.000,   0.086,   0.017,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  26.111
14:25:56:353, 84617754394528,    0.163,   18.000, 1500,   7.079,   0.953,   0.265,   4.061,   0.477,   0.132, 41,  0,   0.000,   0.000,   0.000,   0.260,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  150,  50.618
14:25:56:369, 84617799487841,    0.179,   15.000, 1600,   6.530,   1.058,   0.294,   3.855,   0.539,   0.150, 42,  0,   0.000,   0.000,   0.000,   0.114,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  237,  30.039
14:25:56:385, 84617843290832,    0.194,   13.000, 1700,   7.066,   1.169,   0.325,   4.508,   0.609,   0.169, 42,  0,   0.000,   0.000,   0.000,   0.187,   0.033,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  184,  34.268
14:25:56:432, 84617975506487,    0.242,    5.000, 1300,   4.238,   1.369,   0.380,   1.788,   0.693,   0.193, 42,  0,   0.000,   0.000,   0.000,   0.163,   0.041,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  29.720
14:25:56:463, 84618063116930,    0.273,    3.000, 1300,   3.420,   1.475,   0.410,   0.586,   0.712,   0.198, 42,  0,   0.000,   0.000,   0.000,   0.340,   0.051,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  27.028
14:25:56:495, 84618152886082,    0.305,    4.000, 1200,   3.703,   1.594,   0.443,   0.720,   0.735,   0.204, 41,  0,   0.000,   0.000,   0.000,   0.377,   0.063,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  48.078
14:25:56:526, 84618240485749,    0.336,    4.000, 1200,   3.602,   1.707,   0.474,   0.625,   0.754,   0.210, 42,  0,   0.000,   0.000,   0.000,   0.316,   0.073,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  221,  32.790
14:25:56:558, 84618328276714,    0.368,    3.000, 1200,   3.594,   1.819,   0.505,   0.819,   0.780,   0.217, 42,  0,   0.000,   0.000,   0.000,   0.359,   0.084,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  21.507
14:25:56:589, 84618417234706,    0.399,    4.000, 1200,   3.081,   1.917,   0.532,   0.550,   0.797,   0.222, 42,  0,   0.000,   0.000,   0.000,   0.362,   0.096,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  20.214
14:25:56:621, 84618504367637,    0.430,    4.000, 1300,   3.656,   2.031,   0.564,   0.448,   0.811,   0.225, 42,  0,   0.000,   0.000,   0.000,   0.322,   0.106,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,  189,  20.651
14:25:56:652, 84618592257713,    0.462,    5.000, 1200,   3.557,   2.142,   0.595,   0.911,   0.840,   0.233, 42,  0,   0.000,   0.000,   0.000,   0.292,   0.115,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,  115,  47.042
14:25:56:683, 84618680209846,    0.493,    7.000, 1200,   3.807,   2.262,   0.628,   0.794,   0.865,   0.240, 41,  0,   0.000,   0.000,   0.000,   0.300,   0.125,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  23.569
14:25:56:715, 84618768672332,    0.525,   26.000, 1400,   5.694,   2.441,   0.678,   2.487,   0.943,   0.262, 41,  0,   0.000,   0.000,   0.000,   0.077,   0.127,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.109
14:25:56:778, 84618945023932,    0.588,   24.000, 3200,   6.844,   2.872,   0.798,   3.850,   1.186,   0.329, 42,  0,   0.000,   0.000,   0.000,   0.140,   0.136,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   82,  60.313
14:25:56:809, 84619033108577,    0.619,   22.000, 1300,   5.590,   3.047,   0.847,   2.894,   1.276,   0.355, 42,  0,   0.000,   0.000,   0.000,   0.074,   0.138,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   36,  84.555
14:25:56:853, 84619156900881,    0.663,   34.000, 1400,   5.754,   3.302,   0.917,   2.087,   1.369,   0.380, 42,  0,   0.000,   0.000,   0.000,   0.152,   0.145,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,  172,  68.219
14:25:56:885, 84619245670130,    0.695,   26.000, 3900,   9.088,   3.589,   0.997,   6.014,   1.559,   0.433, 45,  0,   0.000,   0.000,   0.000,   0.235,   0.152,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,  589,  25.096
14:25:56:916, 84619333204868,    0.726,   27.000, 3500,  17.748,   4.143,   1.151,  14.589,   2.015,   0.560, 44,  0,   0.000,   0.000,   0.000,   0.270,   0.161,   0.045,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  43.306
14:25:56:983, 84619521601761,    0.793,   26.000, 1600,  12.316,   4.971,   1.381,   9.903,   2.680,   0.744, 47,  0,   0.000,   0.000,   0.000,   0.049,   0.164,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,   36,  73.370
14:25:57:062, 84619740734004,    0.871,   17.000, 3600,   9.888,   5.744,   1.596,   7.171,   3.241,   0.900, 46,  0,   0.000,   0.000,   0.000,   0.027,   0.166,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  87.002
14:25:57:093, 84619829604009,    0.903,   24.000, 4000,  20.113,   6.382,   1.773,  16.799,   3.773,   1.048, 43,  0,   0.000,   0.000,   0.000,   0.104,   0.169,   0.047,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  20.973
14:25:57:139, 84619958843028,    0.949,   48.000, 3300,  15.075,   7.077,   1.966,  12.108,   4.332,   1.203, 43,  0,   0.000,   0.000,   0.000,   0.056,   0.172,   0.048,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  45.181
14:25:57:162, 84620021279754,    0.971,    3.000, 2100,   5.524,   7.200,   2.000,   1.803,   4.372,   1.214, 43,  0,   0.000,   0.000,   0.000,   0.389,   0.181,   0.050,  30.000,  60.000, 105.000,  60.000, 100.000,   64,  43.723
14:25:57:178, 84620066987254,    0.988,    4.000, 1200,   4.148,   7.268,   2.019,   0.786,   4.385,   1.218, 43,  0,   0.000,   0.000,   0.000,   0.367,   0.187,   0.052,  30.000,  60.000, 105.000,  60.000, 100.000,  132,  33.850
14:25:57:209, 84620154977910,    1.019,    3.000, 1300,   3.154,   7.367,   2.046,   0.537,   4.401,   1.223, 43,  0,   0.000,   0.000,   0.000,   0.299,   0.196,   0.054,  30.000,  60.000, 105.000,  60.000, 100.000,  180,  23.924
14:25:57:241, 84620242549004,    1.050,    4.000, 1300,   3.234,   7.468,   2.074,   0.285,   4.410,   1.225, 42,  0,   0.000,   0.000,   0.000,   0.309,   0.206,   0.057,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  28.539
14:25:57:272, 84620332190394,    1.082,    4.000, 1200,   4.548,   7.613,   2.115,   1.214,   4.449,   1.236, 42,  0,   0.000,   0.000,   0.000,   0.397,   0.218,   0.061,  30.000,  60.000, 105.000,  60.000, 100.000,  157,  38.764
14:25:57:304, 84620420137271,    1.114,    4.000, 1200,   3.025,   7.708,   2.141,   0.198,   4.455,   1.238, 42,  0,   0.000,   0.000,   0.000,   0.327,   0.229,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,   88,  66.244
14:25:57:335, 84620507875144,    1.145,   10.000, 1200,   3.814,   7.827,   2.174,   0.722,   4.478,   1.244, 42,  0,   0.000,   0.000,   0.000,   0.343,   0.239,   0.066,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  22.720
