System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:27:51:392, 95031791814746,    0.027,   16.000, 1700,  12.422,   0.333,   0.093,   9.067,   0.243,   0.068, 41,  0,   0.000,   0.000,   0.000,   0.041,   0.001,   0.000,  30.000,  60.000, 105.000,  60.000, 100.000,   31,  86.313
15:27:51:439, 95031922951431,    0.074,   16.000, 1600,   6.517,   0.638,   0.177,   3.755,   0.419,   0.116, 41,  0,   0.000,   0.000,   0.000,   0.331,   0.017,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  324,  49.609
15:27:51:470, 95032010726183,    0.105,   16.000, 1600,   4.867,   0.791,   0.220,   2.518,   0.498,   0.138, 41,  0,   0.000,   0.000,   0.000,   0.097,   0.020,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  100,  34.262
15:27:51:486, 95032054558765,    0.121,   14.000, 1600,   2.654,   0.832,   0.231,   0.304,   0.503,   0.140, 41,  0,   0.000,   0.000,   0.000,   0.172,   0.022,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  32.660
15:27:51:518, 95032143604864,    0.152,   13.000, 1600,   3.603,   0.947,   0.263,   1.310,   0.544,   0.151, 41,  0,   0.000,   0.000,   0.000,   0.104,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  27.341
15:27:51:533, 95032187889712,    0.168,    5.000, 1300,   3.694,   1.005,   0.279,   1.290,   0.565,   0.157, 41,  0,   0.000,   0.000,   0.000,   0.464,   0.033,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  37.561
15:27:51:549, 95032232971053,    0.184,    7.000, 1400,   2.789,   1.050,   0.292,   0.524,   0.573,   0.159, 40,  0,   0.000,   0.000,   0.000,   0.220,   0.036,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  24.090
15:27:51:581, 95032320887136,    0.216,   10.000, 1300,   3.069,   1.146,   0.318,   1.059,   0.606,   0.168, 40,  0,   0.000,   0.000,   0.000,   0.311,   0.046,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   70,  53.755
15:27:51:626, 95032446743447,    0.260,    8.000, 1300,   5.037,   1.372,   0.381,   1.528,   0.675,   0.187, 41,  0,   0.000,   0.000,   0.000,   0.261,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  164,  71.041
15:27:51:657, 95032534281968,    0.292,    5.000, 1300,   3.518,   1.482,   0.412,   0.610,   0.694,   0.193, 41,  0,   0.000,   0.000,   0.000,   0.508,   0.074,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  158,  70.166
