System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:25:52:153,9.46975E+13,0.022,5,1600,5.957,0.129,0.036,3.346,0.073,0.02,40,0,0,0,0,0.462,0.01,0.003,30,60,105,60,100,38,85.264
15:25:52:184,9.46976E+13,0.053,10,1300,3.943,0.252,0.07,1.123,0.108,0.03,40,0,0,0,0,0.223,0.017,0.005,30,60,105,60,100,572,11.738
15:25:52:216,9.46977E+13,0.085,10,1300,3.253,0.356,0.099,0.656,0.128,0.036,40,0,0,0,0,0.376,0.029,0.008,30,60,105,60,100,163,39.314
15:25:52:259,9.46978E+13,0.128,9,1300,4.35,0.545,0.152,1.292,0.185,0.051,39,0,0,0,0,0.246,0.04,0.011,30,60,105,60,100,132,44.747
15:25:52:291,9.46979E+13,0.16,5,1300,3.464,0.656,0.182,0.836,0.212,0.059,39,0,0,0,0,0.328,0.05,0.014,30,60,105,60,100,231,39.199
15:25:52:323,9.4698E+13,0.192,5,1300,3.58,0.77,0.214,1.096,0.246,0.068,40,0,0,0,0,0.319,0.06,0.017,30,60,105,60,100,103,28.481
15:25:52:354,9.46981E+13,0.223,5,1300,3.579,0.882,0.245,0.869,0.274,0.076,39,0,0,0,0,0.316,0.07,0.019,30,60,105,60,100,103,43.388
15:25:52:386,9.46982E+13,0.255,3,1300,3.56,0.993,0.276,1.034,0.306,0.085,39,0,0,0,0,0.265,0.078,0.022,30,60,105,60,100,580,20.971
15:25:52:417,9.46983E+13,0.286,4,1200,3.959,1.118,0.31,1.353,0.348,0.097,40,0,0,0,0,0.319,0.089,0.025,30,60,105,60,100,62,54.208
15:25:52:448,9.46984E+13,0.317,4,1200,3.826,1.238,0.344,1.36,0.391,0.109,40,0,0,0,0,0.295,0.098,0.027,30,60,105,60,100,572,21.623
15:25:52:480,9.46985E+13,0.349,3,1200,3.663,1.352,0.376,1.125,0.426,0.118,39,0,0,0,0,0.301,0.107,0.03,30,60,105,60,100,107,28.717
15:25:52:511,9.46985E+13,0.38,4,1200,3.162,1.451,0.403,0.697,0.448,0.124,39,0,0,0,0,0.288,0.116,0.032,30,60,105,60,100,94,25.381
15:25:52:543,9.46986E+13,0.412,5,1200,3.617,1.567,0.435,0.739,0.472,0.131,39,0,0,0,0,0.324,0.127,0.035,30,60,105,60,100,94,23.229
15:25:52:574,9.46987E+13,0.443,3,1300,3.642,1.681,0.467,1.109,0.506,0.141,39,0,0,0,0,0.234,0.134,0.037,30,60,105,60,100,92,28.159
15:25:52:606,9.46988E+13,0.475,3,1200,3.032,1.776,0.493,1.121,0.541,0.15,39,0,0,0,0,0.27,0.142,0.04,30,60,105,60,100,93,23.588
15:25:52:637,9.46989E+13,0.506,3,1300,3.327,1.881,0.523,0.93,0.571,0.159,39,0,0,0,0,0.369,0.154,0.043,30,60,105,60,100,164,20.539
15:25:52:669,9.4699E+13,0.538,7,1200,3.196,1.982,0.551,0.721,0.594,0.165,39,0,0,0,0,0.306,0.164,0.045,30,60,105,60,100,112,24.621
15:25:52:700,9.46991E+13,0.569,6,1200,4.181,2.112,0.587,1.598,0.643,0.179,40,0,0,0,0,0.235,0.171,0.048,30,60,105,60,100,62,53.32
15:25:52:732,9.46992E+13,0.601,11,1300,4.049,2.242,0.623,1.361,0.687,0.191,39,0,0,0,0,0.446,0.185,0.051,30,60,105,60,100,383,43.372
15:25:52:775,9.46993E+13,0.644,10,1300,5.001,2.456,0.682,1.6,0.755,0.21,39,0,0,0,0,0.237,0.195,0.054,30,60,105,60,100,234,46.825
15:25:52:806,9.46994E+13,0.675,4,1200,3.693,2.571,0.714,0.983,0.786,0.218,38,0,0,0,0,0.484,0.211,0.058,30,60,105,60,100,186,44.932
15:25:52:822,9.46994E+13,0.691,6,1200,2.847,2.618,0.727,0.315,0.791,0.22,40,0,0,0,0,0.247,0.215,0.06,30,60,105,60,100,104,25.363
15:25:52:854,9.46995E+13,0.723,4,1200,3.857,2.739,0.761,1.416,0.836,0.232,40,0,0,0,0,0.323,0.225,0.062,30,60,105,60,100,181,22.403
15:25:52:885,9.46996E+13,0.754,3,1200,2.868,2.828,0.786,0.77,0.86,0.239,40,0,0,0,0,0.309,0.234,0.065,30,60,105,60,100,95,25.935
