System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:59:37:209, 65272846288093,    0.028,   30.000, 1800,   7.819,   0.220,   0.061,   5.059,   0.142,   0.039, 48,  0,   0.000,   0.000,   0.000,   0.174,   0.005,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  23.544
10:59:37:240, 65272933951720,    0.059,   14.000, 1500,  12.536,   0.612,   0.170,   8.958,   0.422,   0.117, 50,  0,   0.000,   0.000,   0.000,   0.355,   0.016,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  163,  44.682
10:59:37:303, 65273110741358,    0.122,   14.000, 2900,  13.825,   1.484,   0.412,  10.173,   1.064,   0.296, 49,  0,   0.000,   0.000,   0.000,   0.045,   0.019,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  212,  36.368
10:59:37:398, 65273374614246,    0.217,   35.000, 3300,  12.111,   2.624,   0.729,   8.714,   1.884,   0.523, 50,  0,   0.000,   0.000,   0.000,   0.057,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,   22,  71.523
10:59:37:429, 65273463308203,    0.248,   27.000, 4000,  17.358,   3.173,   0.881,  14.047,   2.329,   0.647, 51,  0,   0.000,   0.000,   0.000,   0.046,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,   30,  69.972
10:59:37:476, 65273594711870,    0.295,   21.000, 4000,  16.350,   3.939,   1.094,  13.403,   2.957,   0.821, 52,  0,   0.000,   0.000,   0.000,   0.055,   0.028,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,   63,  81.426
10:59:37:523, 65273727428071,    0.342,   25.000, 4000,  21.269,   4.946,   1.374,  17.855,   3.802,   1.056, 57,  0,   0.000,   0.000,   0.000,   0.059,   0.031,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  577,  22.370
10:59:37:580, 65273887213412,    0.399,   20.000, 3400,  19.154,   6.038,   1.677,  15.665,   4.695,   1.304, 55,  0,   0.000,   0.000,   0.000,   0.045,   0.034,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,   61,  45.673
10:59:37:643, 65274064058499,    0.463,   25.000, 3800,  26.093,   7.684,   2.134,  21.499,   6.052,   1.681, 57,  0,   0.000,   0.000,   0.000,   0.242,   0.049,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  89.974
10:59:37:737, 65274326009200,    0.556,   18.000, 3800,  14.604,   9.049,   2.514,  10.631,   7.045,   1.957, 57,  0,   0.000,   0.000,   0.000,   0.110,   0.059,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   16,  90.650
10:59:37:816, 65274546987746,    0.635,   13.000, 1600,  11.125,   9.926,   2.757,   8.035,   7.678,   2.133, 49,  0,   0.000,   0.000,   0.000,   0.015,   0.060,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,   13,  87.113
10:59:37:926, 65274854787704,    0.745,   13.000, 3100,   7.265,  10.723,   2.979,   4.528,   8.176,   2.271, 51,  0,   0.000,   0.000,   0.000,   0.037,   0.064,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   32,  84.226
10:59:38:020, 65275118741240,    0.839,   14.000, 3300,  11.934,  11.847,   3.291,   8.873,   9.011,   2.503, 55,  0,   0.000,   0.000,   0.000,   0.048,   0.069,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,  487,  28.601
10:59:38:126, 65275415514746,    0.945,   18.000, 3900,  14.684,  13.402,   3.723,  10.785,  10.153,   2.820, 50,  0,   0.000,   0.000,   0.000,   0.121,   0.082,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  68.906
10:59:38:204, 65275635797573,    1.023,   16.000, 3200,  13.790,  14.485,   4.024,  10.591,  10.985,   3.051, 54,  0,   0.000,   0.000,   0.000,   0.017,   0.083,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  86.339
10:59:38:282, 65275855108543,    1.101,   13.000, 2700,  11.866,  15.414,   4.282,   8.394,  11.642,   3.234, 50,  0,   0.000,   0.000,   0.000,   0.101,   0.091,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,   98,  66.060
10:59:38:409, 65276209514177,    1.228,   31.000, 2400,  10.610,  16.755,   4.654,   7.478,  12.587,   3.496, 50,  0,   0.000,   0.000,   0.000,   0.029,   0.095,   0.026,  30.000,  60.000, 105.000,  60.000, 100.000,   29,  81.408
10:59:38:440, 65276297390218,    1.259,   16.000, 3100,  21.758,  17.437,   4.844,  18.399,  13.164,   3.657, 53,  0,   0.000,   0.000,   0.000,   0.160,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  25.804
10:59:38:566, 65276648887980,    1.385,   16.000, 2700,   9.878,  18.676,   5.188,   6.677,  14.001,   3.889, 56,  0,   0.000,   0.000,   0.000,   0.055,   0.106,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,  107,  44.559
10:59:38:701, 65277029518187,    1.520,   14.000, 3600,  11.504,  20.238,   5.622,   8.076,  15.098,   4.194, 56,  0,   0.000,   0.000,   0.000,   0.089,   0.119,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,   44,  52.830
10:59:38:764, 65277205940341,    1.583,   13.000, 3800,  10.816,  20.918,   5.811,   7.883,  15.594,   4.332, 58,  0,   0.000,   0.000,   0.000,   0.272,   0.136,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  61.674
10:59:38:843, 65277426808656,    1.662,   14.000, 3500,  11.693,  21.840,   6.067,   8.360,  16.253,   4.515, 50,  0,   0.000,   0.000,   0.000,   0.009,   0.136,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   12,  87.320
10:59:38:953, 65277735617557,    1.772,   15.000, 3900,  12.945,  23.266,   6.463,   9.922,  17.346,   4.818, 56,  0,   0.000,   0.000,   0.000,   0.040,   0.141,   0.039,  30.000,  60.000, 105.000,  60.000, 100.000,   31,  84.397
10:59:38:985, 65277823582532,    1.804,   15.000, 4000,  12.477,  23.657,   6.571,   9.752,  17.652,   4.903, 50,  0,   0.000,   0.000,   0.000,   0.066,   0.143,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,   30,  86.713
10:59:39:001, 65277868844021,    1.820,   14.000, 4000,  16.651,  23.926,   6.646,  11.953,  17.845,   4.957, 50,  0,   0.000,   0.000,   0.000,   0.476,   0.151,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,  506,  27.932
10:59:39:017, 65277912944667,    1.836,   14.000, 3900,   6.518,  24.029,   6.675,   2.568,  17.885,   4.968, 50,  0,   0.000,   0.000,   0.000,   0.202,   0.154,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,  219,  38.184
10:59:39:032, 65277956643445,    1.851,   15.000, 3800,   8.246,  24.157,   6.710,   4.338,  17.953,   4.987, 50,  0,   0.000,   0.000,   0.000,   0.180,   0.156,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  41.320
