System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
10:55:01:641, 64500372327673,    0.014,   32.000, 3800,  15.261,   0.218,   0.060,  11.370,   0.162,   0.045, 44,  0,   0.000,   0.000,   0.000,   0.086,   0.001,   0.000,  30.000,  60.000, 105.000,  60.000, 100.000,   65,  86.599
10:55:01:657, 64500417425531,    0.030,   20.000, 2600,  17.687,   0.502,   0.139,  13.931,   0.386,   0.107, 44,  0,   0.000,   0.000,   0.000,   0.197,   0.004,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  193,  65.169
10:55:01:673, 64500461170733,    0.046,   14.000, 4000,   7.592,   0.621,   0.172,   4.803,   0.461,   0.128, 46,  0,   0.000,   0.000,   0.000,   0.180,   0.007,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  27.152
10:55:01:720, 64500594823821,    0.094,   13.000, 3100,  17.599,   1.460,   0.405,  14.125,   1.135,   0.315, 48,  0,   0.000,   0.000,   0.000,   0.087,   0.011,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  226,  53.861
10:55:01:799, 64500814946608,    0.172,   15.000, 3300,  12.734,   2.460,   0.683,   9.445,   1.876,   0.521, 51,  0,   0.000,   0.000,   0.000,   0.037,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  72.021
10:55:01:877, 64501034178297,    0.250,   17.000, 3300,  12.102,   3.406,   0.946,   9.056,   2.585,   0.718, 52,  0,   0.000,   0.000,   0.000,   0.008,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  86.623
10:55:01:981, 64501325454860,    0.354,   21.000, 3900,  12.931,   4.750,   1.319,   9.510,   3.573,   0.992, 48,  0,   0.000,   0.000,   0.000,   0.177,   0.033,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  116,  73.368
10:55:02:028, 64501456876735,    0.401,   14.000, 1600,  10.713,   5.252,   1.459,   7.585,   3.928,   1.091, 45,  0,   0.000,   0.000,   0.000,   0.042,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   23,  87.453
10:55:02:154, 64501809297357,    0.527,   14.000, 2800,   9.152,   6.403,   1.779,   6.384,   4.731,   1.314, 48,  0,   0.000,   0.000,   0.000,   0.028,   0.039,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,   26,  84.440
10:55:02:232, 64502029933090,    0.606,   15.000, 2800,  10.027,   7.192,   1.998,   7.171,   5.295,   1.471, 51,  0,   0.000,   0.000,   0.000,   0.099,   0.047,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,   20,  68.472
10:55:02:311, 64502249533640,    0.684,   24.000, 3100,  11.278,   8.075,   2.243,   7.995,   5.922,   1.645, 49,  0,   0.000,   0.000,   0.000,   0.045,   0.050,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   40,  83.025
10:55:02:358, 64502382141073,    0.731,   28.000, 4000,  11.142,   8.602,   2.390,   8.309,   6.315,   1.754, 51,  0,   0.000,   0.000,   0.000,   0.083,   0.054,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   23,  85.877
10:55:02:447, 64502631203932,    0.820,   32.000, 4000,  19.682,  10.351,   2.875,  16.168,   7.751,   2.153, 54,  0,   0.000,   0.000,   0.000,   0.170,   0.069,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   91,  79.306
10:55:02:494, 64502763252471,    0.867,   32.000, 4000,  19.282,  11.260,   3.128,  15.548,   8.484,   2.357, 50,  0,   0.000,   0.000,   0.000,   0.101,   0.074,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   77,  77.249
10:55:02:541, 64502893711541,    0.914,   19.000, 3800,  24.147,  12.383,   3.440,  20.795,   9.452,   2.625, 48,  0,   0.000,   0.000,   0.000,   0.016,   0.075,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  86.732
10:55:02:635, 64503159697472,    1.009,   13.000, 3500,   9.355,  13.271,   3.686,   6.399,  10.059,   2.794, 53,  0,   0.000,   0.000,   0.000,   0.058,   0.080,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,  516,  28.055
10:55:02:729, 64503422591659,    1.102,   15.000, 3600,  12.053,  14.401,   4.000,   8.807,  10.885,   3.024, 51,  0,   0.000,   0.000,   0.000,   0.163,   0.095,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  67.907
10:55:02:824, 64503687772868,    1.197,   14.000, 2900,  13.793,  15.706,   4.363,  10.491,  11.877,   3.299, 49,  0,   0.000,   0.000,   0.000,   0.003,   0.096,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   10,  85.220
10:55:02:902, 64503907292848,    1.275,   14.000, 2400,   7.272,  16.276,   4.521,   4.594,  12.237,   3.399, 46,  0,   0.000,   0.000,   0.000,   0.053,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,   45,  81.315
10:55:02:975, 64504112521456,    1.349,   14.000, 2100,   9.484,  16.970,   4.714,   6.649,  12.724,   3.534, 49,  0,   0.000,   0.000,   0.000,   0.082,   0.106,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   28,  83.370
10:55:03:054, 64504333267904,    1.427,   21.000, 3800,  10.028,  17.760,   4.933,   6.971,  13.273,   3.687, 45,  0,   0.000,   0.000,   0.000,   0.019,   0.107,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,   18,  87.610
10:55:03:149, 64504597986461,    1.522,   15.000, 3700,  12.384,  18.929,   5.258,   8.966,  14.119,   3.922, 52,  0,   0.000,   0.000,   0.000,   0.052,   0.112,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,  503,  29.919
10:55:03:290, 64504993626133,    1.663,   13.000, 3600,  12.803,  20.736,   5.760,   9.781,  15.500,   4.305, 51,  0,   0.000,   0.000,   0.000,   0.078,   0.123,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   17,  72.650
10:55:03:384, 64505258318812,    1.757,   20.000, 3700,  12.440,  21.911,   6.086,   9.391,  16.386,   4.552, 47,  0,   0.000,   0.000,   0.000,   0.005,   0.124,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,   10,  86.923
10:55:03:488, 64505550064566,    1.861,   16.000, 2400,  13.791,  23.346,   6.485,   9.876,  17.414,   4.837, 45,  0,   0.000,   0.000,   0.000,   0.210,   0.146,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,   43,  82.458
10:55:03:520, 64505638806975,    1.893,   13.000, 2600,  12.127,  23.730,   6.592,   9.389,  17.712,   4.920, 48,  0,   0.000,   0.000,   0.000,   0.000,   0.146,   0.040,  30.000,  60.000, 105.000,  60.000, 100.000,   39,  84.700
10:55:03:598, 64505858091040,    1.971,   13.000, 2800,  11.179,  24.604,   6.835,   8.508,  18.377,   5.105, 51,  0,   0.000,   0.000,   0.000,   0.087,   0.152,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  22.926
10:55:03:677, 64506078689740,    2.050,   13.000, 3500,  10.928,  25.464,   7.073,   8.075,  19.013,   5.281, 51,  0,   0.000,   0.000,   0.000,   0.040,   0.156,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  65.054
10:55:03:771, 64506343536189,    2.144,   16.000, 3500,  16.573,  27.030,   7.508,  13.450,  20.283,   5.634, 46,  0,   0.000,   0.000,   0.000,   0.014,   0.157,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,   16,  89.347
10:55:03:865, 64506607214130,    2.238,   14.000, 2800,  11.926,  28.152,   7.820,   8.242,  21.059,   5.850, 50,  0,   0.000,   0.000,   0.000,   0.035,   0.160,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,   40,  83.060
10:55:03:944, 64506827976614,    2.317,   20.000, 3700,  13.547,  29.219,   8.116,  11.163,  21.938,   6.094, 51,  0,   0.000,   0.000,   0.000,   0.026,   0.162,   0.045,  30.000,  60.000, 105.000,  60.000, 100.000,   11,  86.467
10:55:03:986, 64506946600740,    2.360,   14.000, 3700,  13.813,  29.803,   8.279,  10.344,  22.375,   6.215, 51,  0,   0.000,   0.000,   0.000,   0.346,   0.177,   0.049,  30.000,  60.000, 105.000,  60.000, 100.000,  226,  58.770
10:55:04:128, 64507343898042,    2.501,   17.000, 1700,   9.656,  31.172,   8.659,   6.936,  23.359,   6.488, 46,  0,   0.000,   0.000,   0.000,   0.104,   0.192,   0.053,  30.000,  60.000, 105.000,  60.000, 100.000,   34,  82.340
10:55:04:175, 64507475541435,    2.548,   13.000, 4000,   9.103,  31.599,   8.778,   6.189,  23.649,   6.569, 54,  0,   0.000,   0.000,   0.000,   0.156,   0.199,   0.055,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  21.262
10:55:04:254, 64507696199938,    2.627,   13.000, 2700,  14.273,  32.723,   9.090,  11.476,  24.552,   6.820, 51,  0,   0.000,   0.000,   0.000,   0.057,   0.203,   0.057,  30.000,  60.000, 105.000,  60.000, 100.000,   68,  45.521
10:55:04:348, 64507961021419,    2.721,   19.000, 3300,  12.188,  33.874,   9.410,   8.398,  25.346,   7.041, 46,  0,   0.000,   0.000,   0.000,   0.129,   0.216,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,   45,  63.449
10:55:04:443, 64508225615283,    2.816,   14.000, 3400,  12.192,  35.025,   9.729,   8.951,  26.191,   7.275, 54,  0,   0.000,   0.000,   0.000,   0.022,   0.218,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,    9,  87.497
10:55:04:521, 64508446316693,    2.895,   14.000, 3000,  17.147,  36.375,  10.104,  13.920,  27.287,   7.580, 46,  0,   0.000,   0.000,   0.000,   0.490,   0.256,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,  163,  67.240
