System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:06:34:274, 61177085785586,    0.025,    6.000, 1800,   4.516,   0.114,   0.032,   0.814,   0.021,   0.006, 41,  0,   0.000,   0.000,   0.000,   0.485,   0.012,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,   35,  86.213
12:06:34:306, 61177173302456,    0.056,    4.000, 1300,   4.193,   0.245,   0.068,   1.009,   0.052,   0.014, 42,  0,   0.000,   0.000,   0.000,   0.454,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  201,  29.182
12:06:34:337, 61177260837527,    0.088,    4.000, 1200,   4.859,   0.396,   0.110,   1.278,   0.092,   0.026, 41,  0,   0.000,   0.000,   0.000,   0.274,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  21.992
12:06:34:369, 61177349912707,    0.119,    3.000, 1200,   4.199,   0.530,   0.147,   1.110,   0.127,   0.035, 41,  0,   0.000,   0.000,   0.000,   0.311,   0.045,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  25.807
12:06:34:400, 61177437731141,    0.151,    4.000, 1300,   3.484,   0.639,   0.177,   0.522,   0.144,   0.040, 42,  0,   0.000,   0.000,   0.000,   0.358,   0.056,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  162,  22.776
12:06:34:431, 61177525286780,    0.182,    4.000, 1200,   2.304,   0.711,   0.197,   0.277,   0.152,   0.042, 41,  0,   0.000,   0.000,   0.000,   0.324,   0.066,   0.018,  30.000,  60.000, 105.000,  60.000, 100.000,   56,  53.907
12:06:34:463, 61177613737700,    0.214,    7.000, 1200,   3.209,   0.812,   0.226,   0.418,   0.165,   0.046, 41,  0,   0.000,   0.000,   0.000,   0.279,   0.075,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  74.085
12:06:34:495, 61177703951104,    0.246,   10.000, 1300,   3.150,   0.914,   0.254,   0.724,   0.189,   0.052, 42,  0,   0.000,   0.000,   0.000,   0.182,   0.081,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,  567,  11.203
12:06:34:526, 61177791682972,    0.277,    4.000, 1200,   3.411,   1.020,   0.283,   0.632,   0.208,   0.058, 41,  0,   0.000,   0.000,   0.000,   0.281,   0.090,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  23.221
12:06:34:558, 61177880187756,    0.309,    6.000, 1200,   3.027,   1.116,   0.310,   0.468,   0.223,   0.062, 42,  0,   0.000,   0.000,   0.000,   0.290,   0.099,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  52.721
12:06:34:589, 61177969381934,    0.340,   15.000, 1300,   3.884,   1.240,   0.344,   1.155,   0.260,   0.072, 41,  0,   0.000,   0.000,   0.000,   0.188,   0.105,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  21.158
12:06:34:619, 61178051432298,    0.370,    9.000, 1300,   5.317,   1.395,   0.388,   1.843,   0.314,   0.087, 42,  0,   0.000,   0.000,   0.000,   0.388,   0.116,   0.032,  30.000,  60.000, 105.000,  60.000, 100.000,  147,  43.108
12:06:34:651, 61178141162089,    0.402,    3.000, 1200,   3.587,   1.510,   0.419,   0.683,   0.336,   0.093, 42,  0,   0.000,   0.000,   0.000,   0.362,   0.128,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  11.654
12:06:34:682, 61178229145118,    0.433,    3.000, 1200,   3.596,   1.623,   0.451,   0.560,   0.353,   0.098, 41,  0,   0.000,   0.000,   0.000,   0.377,   0.140,   0.039,  30.000,  60.000, 105.000,  60.000, 100.000,  110,  24.430
12:06:34:714, 61178317345233,    0.465,    4.000, 1200,   3.449,   1.731,   0.481,   0.500,   0.369,   0.103, 41,  0,   0.000,   0.000,   0.000,   0.275,   0.148,   0.041,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  27.657
12:06:34:745, 61178404621159,    0.496,    4.000, 1200,   3.768,   1.849,   0.514,   1.047,   0.402,   0.112, 42,  0,   0.000,   0.000,   0.000,   0.267,   0.156,   0.043,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  30.351
12:06:34:776, 61178492813360,    0.527,    5.000, 1200,   3.187,   1.949,   0.541,   0.547,   0.419,   0.116, 41,  0,   0.000,   0.000,   0.000,   0.295,   0.166,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  22.360
12:06:34:807, 61178580413242,    0.558,    5.000, 1200,   3.578,   2.061,   0.572,   0.816,   0.444,   0.123, 41,  0,   0.000,   0.000,   0.000,   0.301,   0.175,   0.049,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  21.304
12:06:34:839, 61178667923499,    0.590,    5.000, 1200,   3.664,   2.175,   0.604,   0.751,   0.468,   0.130, 41,  0,   0.000,   0.000,   0.000,   0.371,   0.187,   0.052,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  52.735
12:06:34:871, 61178758249378,    0.622,    5.000, 1200,   3.455,   2.286,   0.635,   1.065,   0.502,   0.139, 41,  0,   0.000,   0.000,   0.000,   0.269,   0.195,   0.054,  30.000,  60.000, 105.000,  60.000, 100.000,  569,  21.832
12:06:34:902, 61178846534544,    0.653,    3.000, 1200,   3.831,   2.407,   0.669,   1.217,   0.541,   0.150, 41,  0,   0.000,   0.000,   0.000,   0.295,   0.205,   0.057,  30.000,  60.000, 105.000,  60.000, 100.000,  105,  23.862
12:06:34:934, 61178934481472,    0.685,    4.000, 1200,   3.348,   2.512,   0.698,   0.825,   0.566,   0.157, 41,  0,   0.000,   0.000,   0.000,   0.300,   0.214,   0.059,  30.000,  60.000, 105.000,  60.000, 100.000,  161,  20.111
12:06:34:966, 61179023396449,    0.716,   20.000, 1300,   4.176,   2.645,   0.735,   1.170,   0.604,   0.168, 42,  0,   0.000,   0.000,   0.000,   0.185,   0.220,   0.061,  30.000,  60.000, 105.000,  60.000, 100.000,  112,  29.200
12:06:34:997, 61179110942046,    0.748,   17.000, 1600,   5.652,   2.821,   0.784,   2.017,   0.667,   0.185, 42,  0,   0.000,   0.000,   0.000,   0.199,   0.226,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,   52,  32.010
12:06:35:013, 61179154724145,    0.763,   19.000, 1300,  10.383,   2.983,   0.829,   7.034,   0.776,   0.216, 42,  0,   0.000,   0.000,   0.000,   0.148,   0.229,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  23.119
12:06:35:044, 61179243777613,    0.795,    7.000, 2100,   7.981,   3.237,   0.899,   4.542,   0.921,   0.256, 42,  0,   0.000,   0.000,   0.000,   0.323,   0.239,   0.066,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  29.833
12:06:35:060, 61179288005785,    0.811,    5.000, 1300,   5.064,   3.317,   0.921,   1.702,   0.948,   0.263, 42,  0,   0.000,   0.000,   0.000,   0.387,   0.245,   0.068,  30.000,  60.000, 105.000,  60.000, 100.000,   70,  38.800
12:06:35:091, 61179376038604,    0.842,   27.000, 3300,   5.708,   3.496,   0.971,   2.768,   1.034,   0.287, 41,  0,   0.000,   0.000,   0.000,   0.120,   0.249,   0.069,  30.000,  60.000, 105.000,  60.000, 100.000,  561,  11.831
12:06:35:107, 61179420630097,    0.858,   10.000, 2100,   9.911,   3.654,   1.015,   6.139,   1.132,   0.314, 42,  0,   0.000,   0.000,   0.000,   0.322,   0.254,   0.070,  30.000,  60.000, 105.000,  60.000, 100.000,  123,  55.963
12:06:35:126, 61179471880983,    0.876,    4.000, 1300,   3.328,   3.714,   1.032,   0.681,   1.145,   0.318, 42,  0,   0.000,   0.000,   0.000,   0.487,   0.263,   0.073,  30.000,  60.000, 105.000,  60.000, 100.000,  583,  27.972
12:06:35:157, 61179560987924,    0.908,    5.000, 1200,   3.833,   3.836,   1.066,   1.321,   1.187,   0.330, 42,  0,   0.000,   0.000,   0.000,   0.273,   0.271,   0.075,  30.000,  60.000, 105.000,  60.000, 100.000,   82,  65.052
12:06:35:189, 61179649239735,    0.940,    7.000, 1200,   4.234,   3.970,   1.103,   1.667,   1.239,   0.344, 42,  0,   0.000,   0.000,   0.000,   0.271,   0.280,   0.078,  30.000,  60.000, 105.000,  60.000, 100.000,  111,  48.919
12:06:35:220, 61179736720463,    0.971,    6.000, 1200,   4.131,   4.099,   1.138,   1.486,   1.285,   0.357, 41,  0,   0.000,   0.000,   0.000,   0.239,   0.287,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  20.346
12:06:35:252, 61179825264384,    1.002,   17.000, 1300,   3.903,   4.222,   1.173,   1.310,   1.327,   0.369, 42,  0,   0.000,   0.000,   0.000,   0.062,   0.289,   0.080,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  22.601
12:06:35:268, 61179869660265,    1.018,   18.000, 1300,   3.665,   4.280,   1.189,   0.863,   1.340,   0.372, 42,  0,   0.000,   0.000,   0.000,   0.123,   0.291,   0.081,  30.000,  60.000, 105.000,  60.000, 100.000,   70,  24.494
12:06:35:299, 61179959272621,    1.050,   17.000, 1700,   4.680,   4.429,   1.230,   2.226,   1.412,   0.392, 42,  0,   0.000,   0.000,   0.000,   0.061,   0.293,   0.081,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  79.814
12:06:35:331, 61180047620702,    1.082,   16.000, 1600,   3.515,   4.540,   1.261,   0.651,   1.432,   0.398, 42,  0,   0.000,   0.000,   0.000,   0.186,   0.299,   0.083,  30.000,  60.000, 105.000,  60.000, 100.000,  586,  22.892
12:06:35:363, 61180136521386,    1.113,    5.000, 1300,   4.936,   4.697,   1.305,   2.560,   1.513,   0.420, 42,  0,   0.000,   0.000,   0.000,   0.331,   0.310,   0.086,  30.000,  60.000, 105.000,  60.000, 100.000,  102,  38.673
12:06:35:394, 61180224030773,    1.145,    4.000, 1200,   3.781,   4.815,   1.337,   1.271,   1.553,   0.431, 41,  0,   0.000,   0.000,   0.000,   0.285,   0.318,   0.088,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  22.734
12:06:35:425, 61180311260184,    1.176,    3.000, 1200,   3.888,   4.936,   1.371,   0.926,   1.582,   0.439, 42,  0,   0.000,   0.000,   0.000,   0.282,   0.327,   0.091,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  25.126
12:06:35:456, 61180399355990,    1.207,    3.000, 1200,   3.979,   5.061,   1.406,   1.088,   1.616,   0.449, 42,  0,   0.000,   0.000,   0.000,   0.252,   0.335,   0.093,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.242
12:06:35:488, 61180487427116,    1.239,    6.000, 1200,   2.450,   5.138,   1.427,   0.583,   1.634,   0.454, 43,  0,   0.000,   0.000,   0.000,   0.319,   0.345,   0.096,  30.000,  60.000, 105.000,  60.000, 100.000,   58,  53.265
12:06:35:519, 61180575000755,    1.270,    4.000, 1200,   3.462,   5.246,   1.457,   0.883,   1.662,   0.462, 41,  0,   0.000,   0.000,   0.000,   0.262,   0.353,   0.098,  30.000,  60.000, 105.000,  60.000, 100.000,  101,  69.010
12:06:35:551, 61180663186397,    1.301,    3.000, 1200,   3.345,   5.351,   1.486,   0.718,   1.684,   0.468, 41,  0,   0.000,   0.000,   0.000,   0.361,   0.365,   0.101,  30.000,  60.000, 105.000,  60.000, 100.000,  532,  11.752
12:06:35:582, 61180751818492,    1.333,    8.000, 1200,   3.911,   5.475,   1.521,   1.039,   1.717,   0.477, 42,  0,   0.000,   0.000,   0.000,   0.332,   0.375,   0.104,  30.000,  60.000, 105.000,  60.000, 100.000,  103,  25.616
12:06:35:612, 61180835635068,    1.363,   18.000, 2500,   5.652,   5.644,   1.568,   1.658,   1.767,   0.491, 43,  0,   0.000,   0.000,   0.000,   0.282,   0.384,   0.107,  30.000,  60.000, 105.000,  60.000, 100.000,  173,  30.496
12:06:35:628, 61180880559718,    1.379,    5.000, 1300,   3.953,   5.707,   1.585,   0.983,   1.783,   0.495, 42,  0,   0.000,   0.000,   0.000,   0.602,   0.393,   0.109,  30.000,  60.000, 105.000,  60.000, 100.000,  572,  26.767
12:06:35:660, 61180968900423,    1.410,    3.000, 1200,   3.476,   5.817,   1.616,   1.026,   1.815,   0.504, 42,  0,   0.000,   0.000,   0.000,   0.260,   0.401,   0.112,  30.000,  60.000, 105.000,  60.000, 100.000,  225,  23.555
12:06:35:692, 61181058664421,    1.442,    3.000, 1200,   3.044,   5.914,   1.643,   0.629,   1.835,   0.510, 42,  0,   0.000,   0.000,   0.000,   0.271,   0.410,   0.114,  30.000,  60.000, 105.000,  60.000, 100.000,  162,  20.684
12:06:35:723, 61181146935291,    1.474,    7.000, 1200,   3.094,   6.012,   1.670,   0.364,   1.847,   0.513, 41,  0,   0.000,   0.000,   0.000,   0.264,   0.418,   0.116,  30.000,  60.000, 105.000,  60.000, 100.000,   55,  51.889
12:06:35:754, 61181234548481,    1.505,    4.000, 1200,   3.343,   6.116,   1.699,   0.730,   1.869,   0.519, 42,  0,   0.000,   0.000,   0.000,   0.348,   0.429,   0.119,  30.000,  60.000, 105.000,  60.000, 100.000,  568,  10.920
12:06:35:786, 61181322644539,    1.537,    7.000, 1200,   4.273,   6.250,   1.736,   1.818,   1.927,   0.535, 41,  0,   0.000,   0.000,   0.000,   0.322,   0.439,   0.122,  30.000,  60.000, 105.000,  60.000, 100.000,  192,  19.893
12:06:35:817, 61181410269553,    1.568,    6.000, 1200,   4.731,   6.398,   1.777,   1.929,   1.987,   0.552, 42,  0,   0.000,   0.000,   0.000,   0.387,   0.452,   0.125,  30.000,  60.000, 105.000,  60.000, 100.000,  210,  29.849
12:06:35:848, 61181498314488,    1.599,    5.000, 1300,   2.433,   6.475,   1.799,   0.501,   2.003,   0.556, 42,  0,   0.000,   0.000,   0.000,   0.272,   0.460,   0.128,  30.000,  60.000, 105.000,  60.000, 100.000,  108,  61.375
12:06:35:880, 61181586469270,    1.631,    4.000, 1300,   3.501,   6.585,   1.829,   1.040,   2.035,   0.565, 42,  0,   0.000,   0.000,   0.000,   0.361,   0.471,   0.131,  30.000,  60.000, 105.000,  60.000, 100.000,  580,  12.123
12:06:35:911, 61181673832983,    1.662,    4.000, 1200,   3.388,   6.690,   1.858,   0.662,   2.056,   0.571, 42,  0,   0.000,   0.000,   0.000,   0.302,   0.481,   0.134,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  22.299
12:06:35:942, 61181761158710,    1.693,    3.000, 1200,   3.074,   6.786,   1.885,   0.627,   2.075,   0.577, 41,  0,   0.000,   0.000,   0.000,   0.302,   0.490,   0.136,  30.000,  60.000, 105.000,  60.000, 100.000,  116,  24.309
12:06:35:959, 61181806976659,    1.709,    5.000, 1200,   3.477,   6.843,   1.901,   0.747,   2.088,   0.580, 42,  0,   0.000,   0.000,   0.000,   0.306,   0.495,   0.138,  30.000,  60.000, 105.000,  60.000, 100.000,   69,  41.400
12:06:35:990, 61181894604385,    1.741,    4.000, 1200,   4.184,   6.974,   1.937,   1.515,   2.135,   0.593, 42,  0,   0.000,   0.000,   0.000,   0.297,   0.505,   0.140,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  22.378
12:06:36:021, 61181982369673,    1.772,    4.000, 1200,   3.328,   7.078,   1.966,   0.647,   2.155,   0.599, 42,  0,   0.000,   0.000,   0.000,   0.374,   0.516,   0.143,  30.000,  60.000, 105.000,  60.000, 100.000,  156,  20.534
12:06:36:053, 61182070510271,    1.803,    5.000, 1300,   3.370,   7.184,   1.996,   0.652,   2.176,   0.604, 42,  0,   0.000,   0.000,   0.000,   0.295,   0.526,   0.146,  30.000,  60.000, 105.000,  60.000, 100.000,  177,  19.010
