System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:04:20:969, 60803401965803,    0.016,    7.000, 3900,   7.130,   0.111,   0.031,   5.574,   0.087,   0.024, 42,  0,   0.000,   0.000,   0.000,   0.610,   0.010,   0.003,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  21.788
12:04:20:984, 60803446201824,    0.031,    5.000, 1900,   5.689,   0.201,   0.056,   2.135,   0.121,   0.034, 42,  0,   0.000,   0.000,   0.000,   1.068,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  311,  35.189
12:04:21:001, 60803491096617,    0.047,   11.000, 1300,   4.120,   0.267,   0.074,   0.701,   0.132,   0.037, 41,  0,   0.000,   0.000,   0.000,   0.404,   0.033,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  257,  26.935
12:04:21:032, 60803579145689,    0.079,    5.000, 1200,   4.893,   0.421,   0.117,   1.807,   0.189,   0.052, 41,  0,   0.000,   0.000,   0.000,   0.494,   0.048,   0.013,  30.000,  60.000, 105.000,  60.000, 100.000,  272,  36.220
12:04:21:063, 60803667900789,    0.110,    3.000, 1200,   3.210,   0.522,   0.145,   0.652,   0.209,   0.058, 42,  0,   0.000,   0.000,   0.000,   0.297,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  231,  21.497
12:04:21:095, 60803756571303,    0.142,    3.000, 1200,   3.695,   0.639,   0.178,   1.065,   0.243,   0.068, 42,  0,   0.000,   0.000,   0.000,   0.316,   0.068,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  24.266
12:04:21:127, 60803845757916,    0.174,    7.000, 1200,   3.578,   0.753,   0.209,   0.963,   0.274,   0.076, 42,  0,   0.000,   0.000,   0.000,   0.299,   0.077,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  26.229
12:04:21:158, 60803933175827,    0.205,   17.000, 1300,   2.981,   0.846,   0.235,   0.427,   0.287,   0.080, 42,  0,   0.000,   0.000,   0.000,   0.074,   0.080,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  24.677
12:04:21:174, 60803976929983,    0.221,   20.000, 1300,   4.368,   0.914,   0.254,   1.103,   0.304,   0.084, 41,  0,   0.000,   0.000,   0.000,   0.141,   0.082,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   84,  44.423
12:04:21:206, 60804065643229,    0.252,   24.000, 1300,   4.868,   1.068,   0.297,   1.689,   0.358,   0.099, 42,  0,   0.000,   0.000,   0.000,   0.116,   0.085,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  570,  24.151
