System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:34:11:888, 55732166347916,    0.027,    7.000, 1300,   5.257,   0.141,   0.039,   2.728,   0.073,   0.020, 42,  0,   0.000,   0.000,   0.000,   0.496,   0.013,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  568,  22.464
11:34:11:919, 55732253303440,    0.058,   15.000, 1300,   4.413,   0.278,   0.077,   1.169,   0.109,   0.030, 43,  0,   0.000,   0.000,   0.000,   0.331,   0.024,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  232,  22.132
11:34:11:950, 55732340949035,    0.089,   16.000, 2800,   4.710,   0.425,   0.118,   2.132,   0.176,   0.049, 43,  0,   0.000,   0.000,   0.000,   0.070,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,   60,  53.867
11:34:11:966, 55732386307944,    0.105,   16.000, 2100,   4.734,   0.502,   0.139,   1.931,   0.207,   0.058, 43,  0,   0.000,   0.000,   0.000,   0.204,   0.029,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  64.993
11:34:11:998, 55732474450443,    0.137,    9.000, 1200,   4.870,   0.655,   0.182,   1.658,   0.260,   0.072, 43,  0,   0.000,   0.000,   0.000,   0.225,   0.036,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  20.720
11:34:12:029, 55732561726605,    0.168,    9.000, 1300,   4.346,   0.790,   0.220,   1.086,   0.293,   0.081, 42,  0,   0.000,   0.000,   0.000,   0.247,   0.044,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  28.094
11:34:12:061, 55732651407046,    0.200,    7.000, 1300,   4.356,   0.930,   0.258,   1.213,   0.332,   0.092, 43,  0,   0.000,   0.000,   0.000,   0.195,   0.050,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  28.790
11:34:12:092, 55732739453139,    0.231,    7.000, 1300,   3.822,   1.050,   0.292,   0.777,   0.357,   0.099, 42,  0,   0.000,   0.000,   0.000,   0.225,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  24.983
11:34:12:123, 55732826628374,    0.262,   20.000, 1300,   4.047,   1.176,   0.327,   1.146,   0.392,   0.109, 43,  0,   0.000,   0.000,   0.000,   0.059,   0.059,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   62,  53.691
11:34:12:155, 55732915276358,    0.294,   15.000, 1300,   4.215,   1.309,   0.364,   1.586,   0.442,   0.123, 43,  0,   0.000,   0.000,   0.000,   0.127,   0.063,   0.017,  30.000,  60.000, 105.000,  60.000, 100.000,  569,  22.513
11:34:12:187, 55733004185441,    0.326,    6.000, 3300,   7.343,   1.542,   0.428,   3.910,   0.566,   0.157, 42,  0,   0.000,   0.000,   0.000,   0.296,   0.072,   0.020,  30.000,  60.000, 105.000,  60.000, 100.000,  107,  34.800
11:34:12:202, 55733048563043,    0.342,    5.000, 1300,   3.890,   1.603,   0.445,   0.763,   0.578,   0.161, 42,  0,   0.000,   0.000,   0.000,   0.416,   0.079,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,   71,  31.007
11:34:12:234, 55733136112213,    0.373,    3.000, 1300,   3.600,   1.716,   0.477,   0.500,   0.594,   0.165, 43,  0,   0.000,   0.000,   0.000,   0.317,   0.089,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  23.135
11:34:12:265, 55733224446859,    0.404,    3.000, 1200,   3.496,   1.826,   0.507,   0.655,   0.615,   0.171, 42,  0,   0.000,   0.000,   0.000,   0.314,   0.099,   0.027,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  24.873
11:34:12:296, 55733312302794,    0.436,    9.000, 1200,   3.696,   1.942,   0.539,   0.709,   0.637,   0.177, 42,  0,   0.000,   0.000,   0.000,   0.315,   0.109,   0.030,  30.000,  60.000, 105.000,  60.000, 100.000,   93,  22.518
11:34:12:345, 55733448521089,    0.484,    7.000, 1300,   4.070,   2.140,   0.594,   1.090,   0.690,   0.192, 42,  0,   0.000,   0.000,   0.000,   0.276,   0.122,   0.034,  30.000,  60.000, 105.000,  60.000, 100.000,  115,  36.430
11:34:12:377, 55733537042504,    0.516,    4.000, 1200,   3.131,   2.238,   0.622,   0.387,   0.702,   0.195, 42,  0,   0.000,   0.000,   0.000,   0.267,   0.130,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,  239,  24.527
11:34:12:408, 55733625503372,    0.547,    8.000, 1200,   3.704,   2.355,   0.654,   0.797,   0.727,   0.202, 42,  0,   0.000,   0.000,   0.000,   0.232,   0.138,   0.038,  30.000,  60.000, 105.000,  60.000, 100.000,   52,  57.788
11:34:12:439, 55733712245009,    0.578,    5.000, 1200,   3.675,   2.469,   0.686,   0.477,   0.742,   0.206, 42,  0,   0.000,   0.000,   0.000,   0.383,   0.150,   0.042,  30.000,  60.000, 105.000,  60.000, 100.000,  587,  22.849
11:34:12:471, 55733801140313,    0.610,    7.000, 1200,   3.747,   2.588,   0.719,   0.839,   0.769,   0.214, 42,  0,   0.000,   0.000,   0.000,   0.250,   0.158,   0.044,  30.000,  60.000, 105.000,  60.000, 100.000,  118,  47.201
11:34:12:502, 55733888592847,    0.641,    5.000, 1200,   3.367,   2.693,   0.748,   0.513,   0.785,   0.218, 42,  0,   0.000,   0.000,   0.000,   0.313,   0.167,   0.046,  30.000,  60.000, 105.000,  60.000, 100.000,  107,  35.088
11:34:12:533, 55733976217701,    0.672,    6.000, 1300,   3.438,   2.800,   0.778,   0.679,   0.806,   0.224, 42,  0,   0.000,   0.000,   0.000,   0.281,   0.176,   0.049,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  23.203
11:34:12:565, 55734065977200,    0.705,   22.000, 1400,   5.530,   2.977,   0.827,   2.264,   0.878,   0.244, 42,  0,   0.000,   0.000,   0.000,   0.152,   0.181,   0.050,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  23.628
11:34:12:597, 55734154959150,    0.736,   26.000, 2100,   6.714,   3.191,   0.886,   3.746,   0.997,   0.277, 42,  0,   0.000,   0.000,   0.000,   0.088,   0.184,   0.051,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  25.985
11:34:12:628, 55734241550755,    0.767,   36.000, 3700,  16.265,   3.693,   1.026,  12.827,   1.394,   0.387, 46,  0,   0.000,   0.000,   0.000,   0.091,   0.187,   0.052,  30.000,  60.000, 105.000,  60.000, 100.000,   92,  43.117
11:34:12:644, 55734286932926,    0.783,   17.000, 3300,   9.252,   3.843,   1.067,   5.406,   1.481,   0.411, 45,  0,   0.000,   0.000,   0.000,   0.287,   0.191,   0.053,  30.000,  60.000, 105.000,  60.000, 100.000,   95,  48.824
11:34:12:660, 55734331044018,    0.799,    3.000, 2000,   4.926,   3.920,   1.089,   1.606,   1.506,   0.418, 43,  0,   0.000,   0.000,   0.000,   0.636,   0.201,   0.056,  30.000,  60.000, 105.000,  60.000, 100.000,  182,  39.707
11:34:12:676, 55734375386969,    0.815,    6.000, 1300,   2.782,   3.964,   1.101,   0.779,   1.519,   0.422, 43,  0,   0.000,   0.000,   0.000,   0.478,   0.209,   0.058,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  29.913
11:34:12:707, 55734464157525,    0.847,    9.000, 1300,   3.755,   4.083,   1.134,   0.756,   1.543,   0.429, 43,  0,   0.000,   0.000,   0.000,   0.235,   0.216,   0.060,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  23.699
11:34:12:739, 55734552286306,    0.878,    5.000, 1300,   2.932,   4.175,   1.160,   0.439,   1.556,   0.432, 42,  0,   0.000,   0.000,   0.000,   0.318,   0.226,   0.063,  30.000,  60.000, 105.000,  60.000, 100.000,  162,  20.298
11:34:12:771, 55734641954755,    0.910,    8.000, 1200,   3.051,   4.273,   1.187,   0.263,   1.565,   0.435, 42,  0,   0.000,   0.000,   0.000,   0.359,   0.238,   0.066,  30.000,  60.000, 105.000,  60.000, 100.000,   67,  50.909
11:34:12:802, 55734730370442,    0.942,   29.000, 1500,   4.807,   4.425,   1.229,   1.873,   1.624,   0.451, 42,  0,   0.000,   0.000,   0.000,   0.124,   0.242,   0.067,  30.000,  60.000, 105.000,  60.000, 100.000,  109,  42.198
11:34:12:834, 55734820077141,    0.974,   42.000, 3300,   7.761,   4.673,   1.298,   4.329,   1.762,   0.490, 46,  0,   0.000,   0.000,   0.000,   0.420,   0.255,   0.071,  30.000,  60.000, 105.000,  60.000, 100.000,  253,  61.945
11:34:12:866, 55734908121549,    1.005,    7.000, 2000,  14.110,   5.116,   1.421,   9.320,   2.055,   0.571, 42,  0,   0.000,   0.000,   0.000,   0.513,   0.271,   0.075,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  31.815
11:34:12:882, 55734952032530,    1.021,    6.000, 1800,   3.772,   5.175,   1.438,   0.366,   2.061,   0.572, 43,  0,   0.000,   0.000,   0.000,   0.351,   0.277,   0.077,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  36.954
11:34:12:897, 55734995934916,    1.036,   23.000, 1400,   4.014,   5.238,   1.455,   1.208,   2.080,   0.578, 43,  0,   0.000,   0.000,   0.000,   0.351,   0.282,   0.078,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  31.311
