System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
11:36:25:995,5.61081E+13,0.026,8,1600,9.838,0.255,0.071,6.004,0.156,0.043,43,0,0,0,0,0.655,0.017,0.005,30,60,105,60,100,35,86.266
11:36:26:026,5.61082E+13,0.057,6,1200,4.972,0.409,0.114,1.183,0.192,0.053,43,0,0,0,0,0.381,0.029,0.008,30,60,105,60,100,219,32.654
11:36:26:058,5.61083E+13,0.089,13,1200,3.642,0.526,0.146,0.659,0.213,0.059,42,0,0,0,0,0.331,0.039,0.011,30,60,105,60,100,578,22.841
11:36:26:230,5.61088E+13,0.262,5,1300,9.013,2.082,0.578,5.834,1.221,0.339,43,0,0,0,0,0.12,0.06,0.017,30,60,105,60,100,92,57.62
11:36:26:263,5.61088E+13,0.294,4,1300,4.295,2.22,0.617,0.579,1.239,0.344,42,0,0,0,0,0.309,0.07,0.019,30,60,105,60,100,25,36.276
11:36:26:294,5.61089E+13,0.325,7,1300,4.226,2.352,0.653,0.83,1.265,0.351,43,0,0,0,0,0.308,0.08,0.022,30,60,105,60,100,571,21.569
11:36:26:325,5.6109E+13,0.356,2,1200,3.416,2.459,0.683,0.657,1.286,0.357,43,0,0,0,0,0.356,0.091,0.025,30,60,105,60,100,108,26.079
11:36:26:357,5.61091E+13,0.388,5,1200,3.624,2.573,0.715,0.56,1.303,0.362,42,0,0,0,0,0.328,0.101,0.028,30,60,105,60,100,94,25.397
11:36:26:388,5.61092E+13,0.42,5,1300,3.472,2.684,0.746,0.564,1.321,0.367,42,0,0,0,0,0.276,0.11,0.031,30,60,105,60,100,103,27.273
11:36:26:420,5.61093E+13,0.451,4,1200,3.714,2.801,0.778,0.747,1.345,0.374,42,0,0,0,0,0.325,0.12,0.033,30,60,105,60,100,578,22.499
11:36:26:452,5.61094E+13,0.483,4,1200,3.159,2.902,0.806,0.493,1.361,0.378,42,0,0,0,0,0.363,0.132,0.037,30,60,105,60,100,162,22.663
11:36:26:483,5.61095E+13,0.514,3,1200,3.083,2.998,0.833,0.298,1.37,0.381,41,0,0,0,0,0.333,0.142,0.04,30,60,105,60,100,110,22.588
11:36:26:514,5.61096E+13,0.546,7,1300,4.103,3.126,0.868,1.136,1.405,0.39,42,0,0,0,0,0.281,0.151,0.042,30,60,105,60,100,53,57.259
11:36:26:546,5.61096E+13,0.577,22,1300,4.061,3.255,0.904,0.543,1.423,0.395,42,0,0,0,0,0.242,0.159,0.044,30,60,105,60,100,588,22.532
11:36:26:578,5.61097E+13,0.609,41,1300,8.324,3.519,0.978,5.087,1.584,0.44,42,0,0,0,0,0.077,0.161,0.045,30,60,105,60,100,60,57.143
11:36:26:626,5.61099E+13,0.658,14,1400,8.799,3.947,1.096,5.44,1.849,0.514,42,0,0,0,0,0.326,0.177,0.049,30,60,105,60,100,375,44.765
11:36:26:659,5.611E+13,0.69,6,1300,4.281,4.084,1.134,1.146,1.885,0.524,41,0,0,0,0,0.294,0.186,0.052,30,60,105,60,100,98,24.304
11:36:26:674,5.611E+13,0.705,6,1300,3.906,4.145,1.152,0.728,1.897,0.527,41,0,0,0,0,0.403,0.193,0.054,30,60,105,60,100,92,26.156
11:36:26:705,5.61101E+13,0.736,13,1300,3.503,4.254,1.182,0.555,1.914,0.532,42,0,0,0,0,0.291,0.202,0.056,30,60,105,60,100,71,62.535
11:36:26:753,5.61102E+13,0.784,7,1300,5.127,4.499,1.25,2.075,2.013,0.559,42,0,0,0,0,0.163,0.21,0.058,30,60,105,60,100,575,21.903
11:36:26:784,5.61103E+13,0.816,8,1200,3.875,4.621,1.284,0.731,2.036,0.566,42,0,0,0,0,0.276,0.218,0.061,30,60,105,60,100,61,27.443
11:36:26:816,5.61104E+13,0.847,4,1200,4.47,4.759,1.322,0.942,2.065,0.574,42,0,0,0,0,0.311,0.228,0.063,30,60,105,60,100,93,27.684
11:36:26:847,5.61105E+13,0.878,4,1200,3.206,4.861,1.35,0.486,2.081,0.578,42,0,0,0,0,0.262,0.236,0.066,30,60,105,60,100,95,27.034
11:36:26:878,5.61106E+13,0.909,18,1300,4.401,4.998,1.388,1.694,2.134,0.593,42,0,0,0,0,0.062,0.238,0.066,30,60,105,60,100,52,32.26
11:36:26:910,5.61107E+13,0.941,17,1500,3.692,5.114,1.421,0.975,2.164,0.601,41,0,0,0,0,0.074,0.24,0.067,30,60,105,60,100,107,76.841
11:36:26:941,5.61108E+13,0.973,16,1400,4.808,5.267,1.463,1.79,2.221,0.617,42,0,0,0,0,0.115,0.244,0.068,30,60,105,60,100,569,22.061
11:36:26:973,5.61108E+13,1.004,7,1900,5.188,5.43,1.508,3.196,2.322,0.645,42,0,0,0,0,0.217,0.251,0.07,30,60,105,60,100,107,26.999
11:36:26:988,5.61109E+13,1.02,5,1300,4.235,5.496,1.527,1.117,2.339,0.65,42,0,0,0,0,0.414,0.257,0.072,30,60,105,60,100,71,34.641
11:36:27:020,5.6111E+13,1.051,6,1300,3.311,5.599,1.555,0.676,2.36,0.656,43,0,0,0,0,0.273,0.266,0.074,30,60,105,60,100,577,22.586
11:36:27:036,5.6111E+13,1.067,8,1300,3.355,5.653,1.57,0.238,2.364,0.657,42,0,0,0,0,0.331,0.271,0.075,30,60,105,60,100,94,24.374
11:36:27:067,5.61111E+13,1.098,10,1200,4.24,5.786,1.607,1.239,2.403,0.667,42,0,0,0,0,0.458,0.286,0.079,30,60,105,60,100,112,49.976
