System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:38:47:025, 2563861556290,    0.017,   31.000, 4000,  17.193,   0.285,   0.079,  13.950,   0.231,   0.064, 50,  0,   0.000,   0.000,   0.000,   0.184,   0.003,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  22.777
12:38:47:041, 2563905026487,    0.032,   28.000, 4100,  18.743,   0.576,   0.160,  14.453,   0.455,   0.127, 54,  0,   0.000,   0.000,   0.000,   0.189,   0.006,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  249,  41.277
12:38:47:056, 2563948765802,    0.048,   16.000, 4100,  11.833,   0.760,   0.211,   8.543,   0.589,   0.164, 54,  0,   0.000,   0.000,   0.000,   0.509,   0.014,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  248,  52.165
12:38:47:072, 2563992534657,    0.063,   22.000, 4100,   8.694,   0.896,   0.249,   5.832,   0.680,   0.189, 55,  0,   0.000,   0.000,   0.000,   0.156,   0.016,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  204,  39.980
12:38:47:087, 2564036366304,    0.079,   18.000, 4000,  21.816,   1.237,   0.344,  18.409,   0.968,   0.269, 55,  0,   0.000,   0.000,   0.000,   0.289,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  186,  41.140
12:38:47:103, 2564080401074,    0.095,   17.000, 4000,  10.355,   1.400,   0.389,   6.815,   1.075,   0.299, 55,  0,   0.000,   0.000,   0.000,   0.155,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  140,  52.201
12:38:47:134, 2564167855925,    0.126,   17.000, 4100,   3.566,   1.511,   0.420,   1.162,   1.111,   0.309, 56,  0,   0.000,   0.000,   0.000,   0.086,   0.026,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  574,  25.344
12:38:47:150, 2564211961210,    0.142,   14.000, 4000,  13.826,   1.729,   0.480,  10.668,   1.279,   0.355, 54,  0,   0.000,   0.000,   0.000,   0.225,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,   94,  45.375
12:38:47:229, 2564432445067,    0.220,   13.000, 3900,  15.681,   2.962,   0.823,  12.073,   2.228,   0.619, 56,  0,   0.000,   0.000,   0.000,   0.071,   0.035,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,   41,  73.995
12:38:47:322, 2564695257445,    0.314,   13.000, 3400,  13.755,   4.252,   1.181,  10.255,   3.190,   0.886, 55,  0,   0.000,   0.000,   0.000,   0.060,   0.041,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  20.916
12:38:47:401, 2564915114884,    0.392,   28.000, 2600,  10.929,   5.109,   1.419,   7.175,   3.753,   1.042, 51,  0,   0.000,   0.000,   0.000,   0.184,   0.055,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   48,  61.635
12:38:47:495, 2565177799331,    0.486,   13.000, 3100,  14.321,   6.451,   1.792,  11.092,   4.792,   1.331, 55,  0,   0.000,   0.000,   0.000,   0.025,   0.057,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,  221,  32.496
12:38:47:573, 2565396889442,    0.564,   18.000, 3400,  10.571,   7.277,   2.021,   7.584,   5.385,   1.496, 57,  0,   0.000,   0.000,   0.000,   0.120,   0.067,   0.019,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  64.757
12:38:47:604, 2565484188775,    0.595,   12.000, 2400,  10.217,   7.595,   2.110,   7.106,   5.606,   1.557, 51,  0,   0.000,   0.000,   0.000,   0.263,   0.075,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.119
12:38:47:760, 2565921933741,    0.752,   13.000, 2700,  10.749,   9.274,   2.576,   7.544,   6.784,   1.884, 57,  0,   0.000,   0.000,   0.000,   0.018,   0.078,   0.022,  30.000,  60.000, 105.000,  60.000, 100.000,   21,  79.238
12:38:47:855, 2566186667870,    0.846,   15.000, 3000,  13.269,  10.527,   2.924,  10.276,   7.755,   2.154, 51,  0,   0.000,   0.000,   0.000,   0.096,   0.087,   0.024,  30.000,  60.000, 105.000,  60.000, 100.000,  571,  22.461
12:38:47:960, 2566481007202,    0.951,   40.000, 3300,  12.147,  11.802,   3.278,   8.526,   8.650,   2.403, 54,  0,   0.000,   0.000,   0.000,   0.126,   0.100,   0.028,  30.000,  60.000, 105.000,  60.000, 100.000,   48,  59.146
12:38:48:022, 2566656512379,    1.014,   18.000, 3400,  16.071,  12.808,   3.558,  13.063,   9.468,   2.630, 58,  0,   0.000,   0.000,   0.000,   0.049,   0.103,   0.029,  30.000,  60.000, 105.000,  60.000, 100.000,   66,  46.528
12:38:48:085, 2566831689247,    1.076,   15.000, 3600,  14.782,  13.732,   3.814,  10.554,  10.127,   2.813, 55,  0,   0.000,   0.000,   0.000,   0.264,   0.120,   0.033,  30.000,  60.000, 105.000,  60.000, 100.000,   64,  63.444
12:38:48:178, 2567094524963,    1.170,   13.000, 3300,  12.634,  14.917,   4.144,   9.526,  11.021,   3.061, 53,  0,   0.000,   0.000,   0.000,   0.061,   0.125,   0.035,  30.000,  60.000, 105.000,  60.000, 100.000,   32,  83.353
12:38:48:241, 2567271420998,    1.233,   13.000, 3800,  13.360,  15.760,   4.378,  10.229,  11.666,   3.241, 59,  0,   0.000,   0.000,   0.000,   0.048,   0.128,   0.036,  30.000,  60.000, 105.000,  60.000, 100.000,  579,  20.996
12:38:48:320, 2567490403225,    1.311,   13.000, 3500,  11.567,  16.663,   4.629,   8.204,  12.307,   3.419, 56,  0,   0.000,   0.000,   0.000,   0.053,   0.133,   0.037,  30.000,  60.000, 105.000,  60.000, 100.000,   46,  51.240
