System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:44:17:422, 3490034107468,    0.029,   25.000, 2800,  13.513,   0.396,   0.110,   9.874,   0.289,   0.080, 49,  0,   0.000,   0.000,   0.000,   0.162,   0.005,   0.001,  30.000,  60.000, 105.000,  60.000, 100.000,  111,  65.936
12:44:17:438, 3490077682862,    0.045,   17.000, 3900,  10.998,   0.567,   0.157,   8.088,   0.415,   0.115, 50,  0,   0.000,   0.000,   0.000,   0.133,   0.007,   0.002,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  22.918
12:44:17:453, 3490121341519,    0.060,   16.000, 4000,  13.904,   0.783,   0.218,  10.942,   0.585,   0.163, 51,  0,   0.000,   0.000,   0.000,   0.541,   0.015,   0.004,  30.000,  60.000, 105.000,  60.000, 100.000,  230,  51.276
12:44:17:469, 3490165136468,    0.076,   21.000, 4000,  12.490,   0.979,   0.272,   9.337,   0.731,   0.203, 53,  0,   0.000,   0.000,   0.000,   0.156,   0.018,   0.005,  30.000,  60.000, 105.000,  60.000, 100.000,  211,  43.458
12:44:17:485, 3490209128318,    0.092,   15.000, 4000,   5.916,   1.071,   0.298,   2.590,   0.772,   0.214, 51,  0,   0.000,   0.000,   0.000,   0.218,   0.021,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  42.425
12:44:17:500, 3490252892485,    0.107,   15.000, 3800,  17.815,   1.350,   0.375,  14.887,   1.004,   0.279, 54,  0,   0.000,   0.000,   0.000,   0.117,   0.023,   0.006,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  39.455
12:44:17:516, 3490296399782,    0.123,   16.000, 4100,  12.002,   1.536,   0.427,   8.825,   1.141,   0.317, 51,  0,   0.000,   0.000,   0.000,   0.142,   0.025,   0.007,  30.000,  60.000, 105.000,  60.000, 100.000,  188,  38.354
12:44:17:531, 3490340277419,    0.139,   16.000, 4000,  15.492,   1.778,   0.494,  12.727,   1.341,   0.372, 54,  0,   0.000,   0.000,   0.000,   0.335,   0.030,   0.008,  30.000,  60.000, 105.000,  60.000, 100.000,  114,  57.154
12:44:17:547, 3490384278441,    0.154,   19.000, 3900,  14.302,   2.003,   0.556,  11.689,   1.524,   0.423, 53,  0,   0.000,   0.000,   0.000,   0.218,   0.034,   0.009,  30.000,  60.000, 105.000,  60.000, 100.000,  578,  22.275
12:44:17:563, 3490428152577,    0.170,   28.000, 4100,   6.497,   2.104,   0.585,   3.323,   1.576,   0.438, 53,  0,   0.000,   0.000,   0.000,   0.187,   0.037,   0.010,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  44.684
12:44:17:578, 3490472170123,    0.186,   13.000, 3800,   8.967,   2.245,   0.624,   5.745,   1.666,   0.463, 55,  0,   0.000,   0.000,   0.000,   0.140,   0.039,   0.011,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  41.511
12:44:17:657, 3490692938446,    0.264,   14.000, 3800,  10.737,   3.091,   0.859,   7.423,   2.251,   0.625, 55,  0,   0.000,   0.000,   0.000,   0.046,   0.043,   0.012,  30.000,  60.000, 105.000,  60.000, 100.000,  187,  39.996
12:44:17:748, 3490946954522,    0.355,   26.000, 3400,  19.526,   4.860,   1.350,  16.261,   3.724,   1.035, 54,  0,   0.000,   0.000,   0.000,   0.075,   0.049,   0.014,  30.000,  60.000, 105.000,  60.000, 100.000,   20,  63.125
12:44:17:779, 3491034558994,    0.386,   12.000, 3200,  15.054,   5.331,   1.481,  11.847,   4.095,   1.137, 54,  0,   0.000,   0.000,   0.000,   0.102,   0.053,   0.015,  30.000,  60.000, 105.000,  60.000, 100.000,   49,  83.688
12:44:17:904, 3491385449647,    0.511,   15.000, 3100,  10.497,   6.645,   1.846,   7.572,   5.042,   1.401, 58,  0,   0.000,   0.000,   0.000,   0.042,   0.058,   0.016,  30.000,  60.000, 105.000,  60.000, 100.000,   30,  85.332
12:44:17:951, 3491516398994,    0.558,   12.000, 2900,  16.336,   7.408,   2.058,  11.973,   5.602,   1.556, 59,  0,   0.000,   0.000,   0.000,   0.345,   0.074,   0.021,  30.000,  60.000, 105.000,  60.000, 100.000,  203,  64.421
12:44:18:092, 3491910722189,    0.699,   14.000, 3000,  11.180,   8.980,   2.495,   8.230,   6.760,   1.878, 54,  0,   0.000,   0.000,   0.000,   0.053,   0.081,   0.023,  30.000,  60.000, 105.000,  60.000, 100.000,   25,  82.639
12:44:18:185, 3492173347646,    0.792,   15.000, 3700,  12.644,  10.165,   2.824,   9.046,   7.607,   2.113, 51,  0,   0.000,   0.000,   0.000,   0.073,   0.088,   0.025,  30.000,  60.000, 105.000,  60.000, 100.000,  573,  22.137
12:44:18:339, 3492603114159,    0.946,   24.000, 3900,  11.503,  11.929,   3.313,   8.398,   8.895,   2.471, 56,  0,   0.000,   0.000,   0.000,   0.153,   0.112,   0.031,  30.000,  60.000, 105.000,  60.000, 100.000,   47,  61.150
